"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000289901",4.86093781625653e-48,1.97118430774672,0.836,0.4,8.54358430585248e-44
"RPS4Y1",1.38476654119141e-37,1.44900749192578,0.676,0.245,2.43386567279803e-33
"HLA-A",1.61810485486404e-30,0.596805206919665,0.993,0.979,2.84398109290903e-26
"DDX3Y",1.25715790476419e-25,1.65358047943316,0.475,0.14,2.20958073341354e-21
"HLA-DRB5",5.58019469424799e-14,-0.639204253722278,0.45,0.661,9.80775019461027e-10
"HBB",2.19896405748502e-13,0.976698128460368,0.306,0.112,3.86489922743567e-09
"HLA-DQB1",6.88518213555235e-13,0.498400013773783,0.951,0.939,1.21013961214468e-08
"RHOA",1.09829279053644e-11,-0.52008429600977,0.816,0.857,1.93035940864685e-07
"UTY",7.82693415142804e-11,1.494367238342,0.277,0.089,1.37566194645499e-06
"EIF1AY",3.69280310005942e-10,1.92507447753734,0.191,0.044,6.49047072866444e-06
"EMP3",5.40701303637622e-10,-0.412483117516471,0.829,0.916,9.50336611273484e-06
"RBFOX2",5.47650828391128e-10,-0.352037422670498,0.967,0.979,9.62551095980246e-06
"USP9Y",1.14971499272813e-09,1.3452095732867,0.233,0.076,2.02073907121896e-05
"TSC22D3",1.67086938889163e-09,-0.764959639805125,0.823,0.871,2.93672003791592e-05
"RPL37A",7.42826851352909e-09,-0.246513732735253,0.993,0.997,0.000130559247393787
"RPL34",1.34741654795085e-08,-0.195709939858745,0.998,0.998,0.000236821932467842
"ZFY",1.6141349764514e-08,1.54569546847342,0.217,0.068,0.000283700363461099
"CYBA",3.64627314608929e-08,0.418235827582568,0.92,0.827,0.000640868968156653
"RBM39",3.85734835499842e-08,-0.383007981356705,0.9,0.939,0.000677967546874522
"ZFAS1",5.74898381527629e-08,-0.355332897030244,0.9,0.924,0.00101044139537296
"TAF1D",1.41516531830536e-07,-0.479797689182795,0.698,0.74,0.00248729456345349
"XIST",9.32259943992479e-07,-1.47870674158594,0.058,0.148,0.0163854007756118
"C1orf115",1.48453017812803e-06,-5.66564621352249,0,0.038,0.0260921024107783
"MT-CO2",1.80585999818966e-06,-0.281441868899949,0.991,1,0.0317397953281815
"RPL39",2.24199173798421e-06,-0.226338785409968,1,1,0.0394052467868104
"DDX21",2.56065131246699e-06,-0.269670487350374,0.82,0.875,0.0450060074679198
"SRSF3",2.69907308606757e-06,-0.44919081992781,0.758,0.773,0.0474389085607237
"ARRDC2",3.17236878366975e-06,-0.536220080472351,0.61,0.644,0.0557575537417794
"RPS29",3.61743682355728e-06,-0.231222401740801,0.989,0.995,0.0635800696108427
"IFITM1",3.93478414711162e-06,0.782515509656277,0.461,0.31,0.0691577661696338
"RSRC2",4.56637727255927e-06,-0.426876663682567,0.729,0.741,0.0802586469425017
"STAT1",5.16181658512354e-06,1.01626272259686,0.319,0.166,0.0907240883001313
"TAP2",1.25008762206227e-05,0.745007622598721,0.324,0.173,0.219715400453664
"MT-ND4L",1.2738314466567e-05,-0.336285289053619,0.969,0.984,0.223888615064382
"CHI3L2",1.32278264990567e-05,1.79212077806699,0.111,0.033,0.23249227854742
"BCL2A1",1.45041659651227e-05,0.510449126095334,0.63,0.432,0.254925221002997
"MCRIP2",2.12009836293235e-05,3.51111689190353,0.042,0.003,0.37262848826899
"CXCR4",2.45924016504802e-05,-0.300887491434751,0.947,0.977,0.43223605140884
"SYNPO",3.23981931257157e-05,5.15333188605928,0.022,0,0.56943064237758
"LCN8",4.67494660174985e-05,-5.54504585938832,0,0.03,0.821668614723553
"N4BP3",4.70242223013322e-05,-0.857576776207473,0.137,0.217,0.826497731168215
"CDC42",5.01781932873431e-05,-0.336786751419243,0.763,0.768,0.881931925218342
"CD52",5.45924251343558e-05,0.320709832154055,0.851,0.768,0.959516464161438
"ISG15",7.2585630888159e-05,0.50073166402962,0.386,0.229,1
"PPDPF",7.70898294806898e-05,0.317048351521889,0.836,0.727,1
"RPL28",8.50129734427414e-05,0.156235132828974,1,0.998,1
"SERP1",8.64028567768125e-05,0.368378694655375,0.78,0.703,1
"HEIH",8.65600972272048e-05,-2.21834601253065,0.018,0.059,1
"MT-ND3",8.67494917736245e-05,-0.315206498651357,0.969,0.987,1
"CD83",8.90037988821762e-05,-0.276349022391964,0.984,0.993,1
"HLA-C",9.82140629277828e-05,0.23717712409131,0.993,0.974,1
"PLAAT4",0.000110506895503734,0.943411338117944,0.208,0.105,1
"THEM4",0.000121997813164761,5.00038308087863,0.022,0,1
"NOP58",0.000125495023015106,-0.333114397973934,0.605,0.616,1
"HLA-DQA2",0.000127373534870641,-0.608848098897174,0.255,0.336,1
"HLA-DRB6",0.000148332668252474,-1.9865019073661,0.029,0.091,1
"XRCC5",0.000152532461798951,-0.414491580281907,0.446,0.489,1
"EIF5",0.000154005268163276,-0.418807000772211,0.674,0.707,1
"RGCC",0.000154268344056213,-0.705470655148954,0.242,0.336,1
"CD72",0.000177124331346637,0.645330837180788,0.339,0.203,1
"POLB",0.00017954207629235,0.528576058070676,0.379,0.224,1
"RAP1GDS1",0.000194700600805451,1.00891548838222,0.237,0.119,1
"S1PR1",0.000202327389620604,-0.815267372009042,0.266,0.336,1
"GYPC",0.000209350690480445,0.673113736835372,0.346,0.236,1
"IL3RA",0.000232115232306065,1.24655028516003,0.146,0.063,1
"CREBRF",0.000234432777698918,-0.531366254534155,0.328,0.443,1
"VCPKMT",0.000238101143543577,-0.678401508661492,0.368,0.427,1
"RPL37",0.000248574602358189,-0.161762998204292,0.998,0.998,1
"PIM2",0.000253282711518207,-0.366118552141005,0.639,0.707,1
"ODF3L1",0.000253927257918268,4.79515629425227,0.022,0,1
"LY6E",0.000283495468002897,0.511802227583063,0.537,0.425,1
"HSPA5",0.000313351379508222,0.41567992495592,0.608,0.478,1
"BFAR",0.000326197859175914,-0.823650884857214,0.186,0.244,1
"EAF2",0.00032961991242223,0.56362515823756,0.246,0.14,1
"SON",0.000361836729516623,-0.296890453272455,0.798,0.812,1
"MT-ND4",0.000367400706094078,-0.394890777075921,0.894,0.903,1
"SNHG17",0.000378685886725011,-0.644824319924001,0.273,0.338,1
"RRP1B",0.000391205804972246,1.27926653673256,0.177,0.079,1
"PSMC5",0.000410061251145341,0.545603161976301,0.208,0.112,1
"GSDMD",0.000449322171511721,1.73729735095491,0.078,0.028,1
"HLA-E",0.000471739561909098,0.277561918426071,0.933,0.87,1
"C3orf38",0.000509037285465871,-1.01842106963223,0.102,0.168,1
"UBC",0.000513136406235627,0.193804134226337,0.969,0.977,1
"CLCN7",0.000524039442560013,1.08320039611299,0.202,0.099,1
"IFITM2",0.000529840117220771,0.532190645769884,0.472,0.341,1
"CEBPG",0.00053116256586967,-0.48558181570103,0.266,0.301,1
"DDX39A",0.000561350198333479,-0.453436897656093,0.619,0.651,1
"ENSG00000290122",0.000588768780374966,-2.87681385415287,0.013,0.051,1
"STK17A",0.000602805792855459,-0.390848705150445,0.69,0.705,1
"ATP5F1E",0.00060469030152166,-0.21076823664652,0.909,0.9,1
"IFITM3",0.000606373767965512,2.38456831500265,0.06,0.012,1
"SRSF10",0.000616996008384357,-0.261139392127117,0.67,0.738,1
"TBC1D10C",0.000638895129556209,0.320745600040368,0.377,0.305,1
"CTNNB1",0.000642023554638855,0.288061525462527,0.506,0.357,1
"TAMALIN",0.000660366874255163,-0.274462092708589,0.829,0.822,1
"VIM",0.000680998865756082,0.645980941869326,0.696,0.562,1
"GAPDH",0.000682735424123575,0.535593741936087,0.63,0.499,1
"REL",0.000685983414706997,-0.15303969115586,0.951,0.941,1
"ENSG00000290450",0.000719320099515396,-4.1483321621686,0,0.016,1
"ZNF331",0.000781048384448063,-0.29326069987752,0.721,0.7,1
"EIF1AX",0.000818161326561112,-0.282665816505463,0.417,0.404,1
"NDUFV1",0.000852548005876249,0.774879529499111,0.222,0.115,1
"SRSF2",0.000856786785193407,-0.216127252998019,0.863,0.87,1
"KLF6",0.000896766092508612,-0.373734398528868,0.814,0.843,1
"TAGAP",0.000930408409213968,-0.321300668267928,0.882,0.867,1
"BPTF",0.000930454129671981,-0.128417635151555,0.557,0.476,1
"TMBIM1",0.00102553334371517,-0.450626949606754,0.404,0.381,1
"PRPF4B",0.00107609177860775,-0.445369007276208,0.443,0.502,1
"ZRSR2",0.00110953261928713,-0.881098122053156,0.122,0.16,1
"SEC62",0.00113788234558116,-0.420709106436195,0.483,0.547,1
"MIEN1",0.00115466266180169,0.687676735268943,0.237,0.13,1
"KDM5D",0.00118320684743676,1.44711591902769,0.086,0.03,1
"RPS4X",0.00123558566451049,-0.195776478374037,0.987,0.993,1
"PSMA1",0.00123977259391818,-0.49827966481182,0.357,0.39,1
"RRAS",0.0012562100898955,4.35824270722175,0.018,0,1
"CXCL8",0.00126375565158703,2.05095449616749,0.011,0.016,1
"ZCRB1",0.0013063615285738,1.09456726115734,0.155,0.063,1
"CEP170",0.00131760462575711,-0.584333949827877,0.186,0.204,1
"ABHD14B",0.00132410438659985,0.895560445194158,0.195,0.109,1
"ENSG00000280441",0.00134752840708637,0.449441130405652,0.991,0.985,1
"ZNF165",0.00138550070922162,-0.690356607377278,0.171,0.188,1
"TGIF1",0.00140993126946761,-0.426714868012222,0.439,0.471,1
"PPIA",0.00146692688884585,-0.190933069210473,0.929,0.946,1
"TXLNGY",0.00146762057942557,1.54938740214019,0.089,0.028,1
"EOLA2",0.0014946487373709,-0.895891707478597,0.129,0.17,1
"GBP2",0.00149739569290341,0.607636209655485,0.191,0.097,1
"TCIRG1",0.00150964642842567,0.749986486326223,0.228,0.135,1
"TMEM123",0.00157380382258958,-0.273156685913935,0.856,0.867,1
"NDUFA11",0.001596853360359,0.649678109857807,0.401,0.26,1
"AIRE",0.0016250841040941,4.82403849985389,0.013,0,1
"SNHG5",0.00163157253852132,-0.346724328570934,0.448,0.507,1
"UBXN2A",0.00163503691534181,-0.870638439772764,0.095,0.143,1
"SNRPN",0.00165120755557615,0.614440784374359,0.242,0.137,1
"ELF1",0.00167314609732866,-0.21560121136987,0.756,0.797,1
"TOR3A",0.00169480885731194,0.432076805022272,0.435,0.301,1
"DUS1L",0.00173641387554588,0.576843285074739,0.177,0.092,1
"NLRC5",0.00175326330202314,0.737352282120796,0.222,0.114,1
"EDEM1",0.00176410908854253,-0.494979710703907,0.186,0.237,1
"MYL12A",0.00177989004784637,-0.341712117353669,0.475,0.465,1
"NUCKS1",0.00178087459266684,-0.387420301910242,0.353,0.344,1
"TUBB2A",0.00178156965831258,-0.834189766623279,0.177,0.27,1
"MRFAP1",0.00182228839432106,-0.254661456324258,0.348,0.402,1
"ENSG00000290758",0.0018354390112896,4.39302775487851,0.016,0,1
"FAM174B",0.00183883970229448,-4.37985280429805,0,0.016,1
"ZNF24",0.00188469182800849,-0.334843176511268,0.419,0.488,1
"PSMB9",0.00196708557051395,0.639731743031702,0.399,0.262,1
"BACH1",0.00202322398741146,-0.286687816713329,0.674,0.662,1
"FFAR1",0.00206337398292041,-4.38995357014222,0,0.016,1
"SC5D",0.00213478164215994,-0.376091761356538,0.377,0.374,1
"BCLAF1",0.00216092568031543,-0.315778263239911,0.632,0.654,1
"EIF3G",0.00221946802614746,0.327420040397384,0.579,0.418,1
"ZNF521",0.002263061145208,4.52794653951359,0.011,0,1
"GPX4",0.00229171454399745,-0.220914793765784,0.738,0.784,1
"CD55",0.00233940867881598,-0.32146623812968,0.94,0.951,1
"ATF7IP",0.00237776801329935,-0.405205209914794,0.608,0.657,1
"PPIL4",0.00239407897376019,-0.502910093087612,0.408,0.458,1
"UIMC1",0.00243128366515642,-0.563520055875142,0.222,0.287,1
"TMEM14B",0.0024457836971309,0.748542571174126,0.184,0.096,1
"TGIF2",0.00246285043672246,-0.440936820809294,0.412,0.461,1
"EID3",0.00248142427190784,-1.72844274735893,0.02,0.051,1
"ENSG00000215022",0.00252545020924556,4.31300601123785,0.016,0,1
"SYNGR1",0.00255773545392538,4.19842841317513,0.013,0,1
"CCNL1",0.00260990693662011,-0.242396113932284,0.78,0.768,1
"SIN3B",0.00263211428676572,1.33744213275176,0.075,0.03,1
"PKM",0.00263230031296181,0.733117333094656,0.313,0.194,1
"KIF20B",0.00263720967690506,-0.758011314764676,0.129,0.168,1
"IGKV1-8",0.00265251512867201,0.263610385109197,0.038,0.013,1
"TMEM147-AS1",0.00274348563067975,4.13492131304418,0.016,0,1
"ENSG00000271737",0.00275024630306638,4.21243334525344,0.016,0,1
"OSBPL2",0.00277205638813334,-1.14448044786811,0.04,0.081,1
"ENSG00000271918",0.00283117491592459,2.62629931846378,0.029,0.003,1
"ARF6",0.00287667405928729,-0.210052263528437,0.696,0.674,1
"ENSG00000288865",0.00298146666261043,4.5851871943417,0.016,0,1
"NPEPPSP1",0.00299300995031016,-0.537810880143482,0.226,0.305,1
"ZNF66",0.00300314377074167,1.01497310110719,0.069,0.021,1
"POU2F1",0.00304956997536814,-0.755253542021616,0.093,0.107,1
"RMDN2",0.0030732759021637,-4.05933280528397,0.002,0.021,1
"ENSG00000290879",0.00310376159729746,-4.11161505268704,0,0.015,1
"HSPE1",0.00311832232117435,0.448084932855881,0.678,0.542,1
"CISH",0.00312142443282577,4.18957526158652,0.013,0,1
"MT-ND5",0.00320696871029489,-0.15294712082552,0.953,0.901,1
"WHAMM",0.00321607451103776,-0.444773879429057,0.437,0.504,1
"SPSB1",0.00324326610907543,1.52427052664424,0.091,0.033,1
"ATP6AP1",0.00327987776150756,-1.00445946558118,0.058,0.092,1
"NSUN4",0.00328659404423303,-0.63801452329959,0.089,0.127,1
"TRIM28",0.00328908384956338,0.440368151829317,0.537,0.384,1
"CNOT4",0.00332297839958693,-0.493887665704249,0.337,0.402,1
"RRP7A",0.00336763472524857,-0.81751752725288,0.222,0.277,1
"ENSG00000283360",0.00342921304117364,4.17403949556325,0.013,0,1
"EBLN3P",0.003469122707765,-0.379144802306354,0.268,0.262,1
"HERC6",0.00354433222794242,2.09914282310301,0.038,0.008,1
"NDUFB10",0.00356810870936552,0.608656318033935,0.264,0.152,1
"ENSG00000291032",0.00358159815479443,4.33657310422431,0.011,0,1
"SAE1",0.00368212873040111,-1.0277524815552,0.073,0.094,1
"EIF5B",0.00369214715035893,-0.316788043874272,0.424,0.418,1
"GGA3",0.00369518857587881,-0.966120515846482,0.055,0.091,1
"CSNK1D",0.00374718743098313,-0.300147342994149,0.514,0.488,1
"SMNDC1",0.00382854976713748,-0.542518832723943,0.337,0.376,1
"SCAND1",0.00394641113023987,0.426739196789083,0.439,0.306,1
"ENSG00000289385",0.00401763144640575,-3.49191999312508,0,0.012,1
"TBC1D24",0.00402520920569275,4.06591464036302,0.013,0,1
"IER3-AS1",0.00415243291087519,4.26177423650247,0.013,0,1
"PAIP2",0.00415267719652721,-0.299299041688295,0.632,0.654,1
"MRPL54",0.00417098759246025,0.332824056267974,0.532,0.41,1
"MAP1LC3B",0.00421313342913799,-0.325273193365706,0.692,0.672,1
"PNRC2",0.00423390069983923,-0.316239436542448,0.483,0.534,1
"BAZ2A",0.00434051853931159,-0.119926626718115,0.324,0.353,1
"CLCF1",0.00437476781077602,-0.715178010877379,0.122,0.173,1
"GABPB1-AS1",0.00449996285160334,0.721354779286968,0.213,0.127,1
"PNRC1",0.00454163080268096,-0.205627443476657,0.976,0.967,1
"MED24",0.00455289199243814,0.993285164164129,0.086,0.033,1
"KYAT3",0.00461091694406073,-1.04407752054719,0.051,0.091,1
"POLR2J3",0.00478976346633084,-0.709057226790514,0.12,0.163,1
"KDM4B",0.0048400749304987,-0.252712846043259,0.639,0.647,1
"SF1",0.00485999461870186,-0.244788567340476,0.814,0.84,1
"ENSG00000259712",0.00487938884696751,3.94140017948894,0.013,0,1
"IGHV3-66",0.00489318203313216,-5.22581496802689,0.002,0.023,1
"PARVB",0.00491445856978628,0.675048208503965,0.226,0.12,1
"FBXO4",0.00498122534144162,1.62708957390785,0.04,0.012,1
"THAP5",0.00501058448654511,-1.14924756024461,0.06,0.105,1
"ENAH",0.00506848759086722,-3.87295614605258,0,0.012,1
"TAB1",0.00507994569591633,2.57640073478263,0.031,0.005,1
"P2RY10",0.00510643890807228,-0.528341049168255,0.328,0.39,1
"GCLC",0.00511923232579493,-1.6466810212773,0.013,0.04,1
"FAM3C",0.00536639113191159,-0.427882400249201,0.506,0.552,1
"SRSF4",0.00541601316462319,-0.228533011982707,0.47,0.517,1
"NUAK2",0.00542342877145108,-0.402897453636983,0.373,0.427,1
"ZNF787",0.00546690785044158,-0.590201799916449,0.149,0.178,1
"LMNTD2",0.00558004722991524,2.87882069729976,0.035,0.005,1
"TUBB3",0.00560206022519232,-1.90553109086061,0.013,0.038,1
"SRFBP1",0.00560268559023884,0.666427116347681,0.206,0.138,1
"ACAP1",0.00561756879973625,0.591889365008636,0.239,0.142,1
"RNF149",0.00569876302137764,-0.232964102652141,0.271,0.236,1
"TFRC",0.00576942481043399,-0.63540024527399,0.211,0.26,1
"MAT2A",0.00584341692895907,0.674550717581527,0.304,0.186,1
"CD200",0.00584724392450949,1.18532918410761,0.131,0.061,1
"HBG2",0.0058537740330426,2.79334170736118,0.027,0.003,1
"CWC25",0.00590839386664294,-0.437097928595776,0.324,0.349,1
"FBXO31",0.00599223875363506,-1.32017301333081,0.035,0.069,1
"GNA15",0.00600977484918541,-1.02354556438349,0.038,0.058,1
"SH3RF3",0.00605933204092974,2.5166572012498,0.031,0.005,1
"PIAS1",0.00606020416652202,-0.399458970269999,0.455,0.502,1
"IFNAR1",0.0060997172481705,-0.504255850547543,0.328,0.343,1
"CHIC1",0.00613147241539103,0.844112923383779,0.102,0.043,1
"CPPED1",0.00615437450636486,2.98583909889103,0.031,0.003,1
"TRIM33",0.00624507467121782,0.644548405490855,0.344,0.213,1
"RBM5",0.00626507414840181,-0.403270118340779,0.304,0.325,1
"RINL",0.00635618424401679,1.57270054468937,0.049,0.013,1
"AGER",0.00645782298499282,1.73169186334581,0.027,0.005,1
"HARS2",0.00663304076654231,1.1964299792416,0.1,0.04,1
"IFI44L",0.00666450254927094,0.636786564769133,0.231,0.163,1
"ENSG00000290968",0.00670978591020461,-0.69345587533856,0.129,0.16,1
"POLDIP3",0.00672102127005454,-0.439871944073452,0.226,0.267,1
"SIK1",0.00673501841477921,0.407505814774026,0.608,0.509,1
"FBXO16",0.00675842371181011,-4.01085147041468,0,0.013,1
"ACTB",0.00677483437705682,-0.140908042771176,0.978,0.98,1
"STMN1",0.00678619760538875,-0.626737673168422,0.306,0.372,1
"TBKBP1",0.00679279257874062,4.31599177732711,0.011,0,1
"RFTN1",0.00682818367016605,0.29203484473736,0.681,0.534,1
"ZNF207",0.00685378568115565,-0.243004712653162,0.554,0.596,1
"SMDT1",0.00685499160758281,-0.401208672322049,0.45,0.483,1
"INTS6",0.00689065269746955,-0.138942986273098,0.428,0.461,1
"ANKRD12",0.00689769818371274,-0.20823058595749,0.734,0.755,1
"ENSG00000291188",0.00700146030221704,3.87366546425108,0.013,0,1
"CBLL1",0.00704740600929349,-0.565097764529636,0.208,0.255,1
"ZCCHC18",0.00704873429777854,3.52355040573324,0.022,0.002,1
"TCFL5",0.00706899137868275,-1.10669316843754,0.051,0.086,1
"KLF9",0.00711130671742385,-0.537154314678822,0.118,0.166,1
"PIK3IP1",0.00716995067912055,-0.671953844842511,0.29,0.325,1
"TXNIP",0.00720936740771759,-0.311680055710098,0.459,0.522,1
"P4HA1",0.00726580964956586,0.52040377548124,0.188,0.143,1
"RHOG",0.00731564233276447,-0.249853110236973,0.732,0.713,1
"COMMD1",0.00736130397288523,0.615793631062893,0.253,0.15,1
"AGGF1",0.00736858767642167,1.31244796833997,0.078,0.03,1
"CD63",0.00737214023960451,-0.546306126355271,0.14,0.145,1
"RREB1",0.00739408616502897,0.756213964132148,0.169,0.105,1
"SNX9",0.00747703950052877,-0.16556083216805,0.882,0.909,1
"MT-ATP8",0.00751936780835092,-0.231090924314397,0.987,0.993,1
"STIL",0.00758974321636538,4.21704259662387,0.016,0,1
"YRDC",0.00760172976635872,0.295742726334824,0.211,0.189,1
"CD164",0.00761799121644623,-0.217568357862701,0.47,0.514,1
"YWHAB",0.00763073252763898,-0.292375761053799,0.641,0.644,1
"ENSG00000290948",0.00764825327875173,2.00141249999362,0.044,0.012,1
"SMG1",0.0076941944725136,0.383709258296841,0.521,0.404,1
"ZFAND6",0.00774942624323493,-0.422983847594332,0.395,0.412,1
"EBF1",0.00777724245286267,0.362027787748371,0.725,0.605,1
"ERI3",0.00778776264013782,0.908729694744216,0.075,0.03,1
"ABCB4",0.00785683305035922,0.683881266864273,0.155,0.081,1
"JUN",0.00794992700091285,-0.174452952796515,0.827,0.876,1
"GORAB",0.00795832642285125,-1.26069694073597,0.051,0.091,1
"MAP2K6",0.00796637612725845,-3.36353415859995,0,0.01,1
"ZFYVE21",0.00812791726141755,1.56417704179607,0.027,0.005,1
"ADAM17",0.00817199128595301,-0.596970197483149,0.213,0.244,1
"CCDC191",0.00818497932296703,-1.24955673658115,0.067,0.102,1
"ZNF575",0.00821469941295263,4.03234352289621,0.011,0,1
"XAB2",0.00822511681903208,0.611180119036066,0.246,0.142,1
"ENSG00000257732",0.00829011605408574,-0.720945690959284,0.104,0.155,1
"AMPD3",0.00846925537720463,1.03846446352615,0.111,0.044,1
"SLFN5",0.00847885348585951,1.09459870414552,0.069,0.036,1
"COX19",0.00849252395222147,-0.487037970585224,0.173,0.229,1
"FUOM",0.00854309422381729,0.921632756216524,0.093,0.04,1
"MACROD2",0.00857256858196828,-0.720677987898698,0.098,0.15,1
"ZC3H7A",0.00870712037942647,-0.494045042206245,0.251,0.285,1
"KTN1",0.00877443008717785,-0.228937286205303,0.525,0.512,1
"RBM15B",0.00878590069888028,-0.608389029175065,0.14,0.163,1
"SSR4",0.00880177381421086,0.289127804235674,0.654,0.517,1
"ATP6V0D1",0.00888534462764474,-0.324310493936231,0.541,0.596,1
"LINC01800",0.00890984264150083,-1.0317666519142,0.018,0.041,1
"ZBP1",0.00902886031616234,1.08294346225827,0.12,0.059,1
"CHD1-DT",0.00905803968272569,-2.28635673406377,0.009,0.031,1
"EIF1",0.00909247267004165,-0.177810526020789,0.996,0.998,1
"CSRP2",0.00912396908700759,2.12213528102418,0.031,0.007,1
"ARHGAP45",0.00925435985050733,0.562699153302348,0.344,0.221,1
"TIMP2",0.00940016525999843,-0.827112294861087,0.078,0.12,1
"CNBP",0.00949248713492883,-0.254643739921106,0.705,0.717,1
"COX7C",0.00961069724503933,-0.17973852111435,0.847,0.86,1
"CREM",0.00963980906768995,-0.189290645192574,0.783,0.743,1
"SLC30A7",0.00973232080890972,-0.434179189629186,0.162,0.204,1
"LINC02863",0.00977045146420372,-3.89720514622495,0,0.012,1
"USP22",0.00979106006506902,-0.418920508783782,0.277,0.298,1
"HSPA1A",0.00979158215165827,0.650968823205691,0.186,0.125,1
"SP2",0.00982037230669217,-0.804289406550938,0.115,0.165,1
"CCNA1",0.00991374455975895,3.88798229269094,0.016,0,1
"CNEP1R1",0.00992381602730965,-0.728556686613608,0.04,0.066,1
"OPRL1",0.0100043893292565,3.84982459256031,0.013,0,1
"ENSG00000290003",0.0100219946386561,-2.00370313407865,0.009,0.036,1
"IDS",0.0100406084880066,0.440227759069799,0.585,0.435,1
"PLCH2",0.0100569166771181,2.64929045592267,0.029,0.003,1
"WDR1",0.0100677342568404,0.515711438397003,0.346,0.259,1
"MLLT11",0.0101809837258806,-3.26618276804723,0,0.01,1
"PTPRO",0.010189463703079,-1.54534803845937,0.022,0.056,1
"FAXDC2",0.0103042079332858,-3.34236462011611,0,0.01,1
"OTUD5",0.0103336696902986,-0.381705426417104,0.264,0.315,1
"SP1",0.0103753450848934,-1.25201100952343,0.058,0.104,1
"HAPLN3",0.0103802508342947,1.31195421878601,0.055,0.018,1
"RPSA2",0.0104332595816291,1.01657890488882,0.131,0.069,1
"RPS16",0.0105169903692394,-0.1364280762092,0.991,0.997,1
"ENSG00000287263",0.010543235736674,1.02904425059856,0.073,0.03,1
"ADPRM",0.010599071832791,-0.989233606004439,0.071,0.114,1
"LINC01135",0.0106363854078669,1.76583954268784,0.04,0.012,1
"SPRY1",0.0106624384526015,0.712509724862241,0.193,0.114,1
"RABGGTB",0.0106722073660911,-0.414617009256164,0.313,0.321,1
"PPP1R14B",0.0106749978743356,-0.423703170563801,0.286,0.306,1
"BTG1",0.0106963110446672,-0.213946685503903,0.984,0.98,1
"HSBP1",0.0107085349949276,0.309863175105531,0.288,0.196,1
"BRI3",0.0107506499022882,-0.3537197883274,0.446,0.465,1
"CAPZA1",0.0107510582837529,-0.273050625750032,0.537,0.56,1
"LINC02964",0.0107546405580397,3.73784342847329,0.011,0,1
"ENSG00000284977",0.0107850435076262,-0.460203103709722,0.126,0.122,1
"MIR142HG",0.0108572479813484,0.362686142483706,0.341,0.222,1
"WDR73",0.01102840830585,-1.2224786150306,0.024,0.054,1
"CCPG1",0.011068192910374,0.687690346666953,0.239,0.133,1
"TAFAZZIN",0.0111225394139892,0.560496601861888,0.153,0.086,1
"HSP90AA1",0.0111354922134664,0.158505631521217,0.94,0.9,1
"FDXACB1",0.0112710501349223,1.4981118480734,0.031,0.007,1
"FBXL22",0.0112927707006786,-3.3191673043526,0,0.01,1
"ATP5MC2",0.0113025195688428,0.24533176187704,0.734,0.654,1
