"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",0,-0.876571750547299,0.513,0.913,0
"RPS14",2.34526065140584e-292,0.347991294650853,0.999,0.999,4.1220301209109e-288
"RPS29",8.12951081546549e-246,0.371886756380154,1,1,1.42884282092621e-241
"HBB",3.81084463125373e-233,-1.72587479099457,0.058,0.275,6.69794052389156e-229
"HLA-B",3.39999772570747e-192,-0.385688681554751,1,1,5.97583600270345e-188
"RPS25",4.57932335603267e-163,0.23789168368616,1,1,8.04861873056301e-159
"HLA-C",7.64608036780117e-135,-0.348254425337874,0.994,0.996,1.34387508544473e-130
"RPS4X",3.28054874111216e-132,0.274750148651811,0.999,0.999,5.76589246737873e-128
"RPS27",1.0532190133367e-121,0.150206112128676,1,1,1.85113773784059e-117
"DDX3Y",5.06660736730644e-101,-1.17465313350916,0.173,0.331,8.9050691087778e-97
"RPL37A",1.74283515920376e-90,0.213717784619329,1,0.999,3.06320707581652e-86
"ENSG00000289901",2.78505892267604e-88,0.882417742141694,0.588,0.379,4.89501956249541e-84
"RPS21",2.02897301188794e-86,0.159738903168537,1,1,3.56612296569425e-82
"HLA-A",2.8293073147609e-85,-0.275250382739719,0.997,0.998,4.97279053642376e-81
"TUBA1B",8.26953865983683e-85,-0.660054418701184,0.57,0.677,1.45345411485292e-80
"RPL39",4.51992143451529e-84,0.136615801194874,1,1,7.94421391330407e-80
"RPL41",8.93052168090352e-84,0.183452230163331,0.999,1,1.5696284906356e-79
"ANK3",3.49410908580988e-74,-0.83732473321459,0.262,0.396,6.14124612921945e-70
"XIST",5.32401589109689e-71,2.3899843782351,0.11,0.021,9.3574903301919e-67
"ENSG00000289707",6.38106291407722e-69,-1.40671001121763,0.08,0.19,1.12153561777821e-64
"FYB1",2.98212612730906e-64,0.380091946694869,0.892,0.804,5.24138488135841e-60
"GNG8",5.47596416926395e-64,-1.61083516562582,0.074,0.17,9.62455462389831e-60
"EIF2S3",2.69646761312681e-63,0.658872977370876,0.552,0.383,4.73931147683167e-59
"GAPDH",2.26373300498837e-60,-0.427465330903979,0.727,0.771,3.97873712956756e-56
