"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PECAM1",4.04898220698051e-182,1.9797468520691,0.414,0.245,5.54710562356329e-180
"CR2",2.86593234087607e-177,5.63696855010719,0.438,0.209,3.92632730700021e-175
"CD47",4.4834450491938e-159,1.4136020223688,0.666,0.516,6.14231971739551e-157
"CD48",1.7075434803113e-152,2.02977344143146,0.993,0.995,2.33933456802648e-150
"CD99",7.93568211850345e-108,-1.64781629652512,0.514,0.606,1.08718845023497e-105
"CD44",1.99040017973053e-83,2.61614011382814,0.991,0.997,2.72684824623082e-81
"CD45RA",2.22313388425705e-64,0.711653910297697,0.954,0.915,3.04569342143216e-62
"IL7R",1.57860892129324e-55,0.625396861613547,0.771,0.804,2.16269422217174e-53
"CD4",1.43733112354884e-51,1.66405560819645,0.995,0.995,1.96914363926191e-49
"CD5",1.76865443449705e-41,3.60579319641734,0.999,1,2.42305657526095e-39
"ITGAL",3.64482099769125e-37,1.16855038529299,0.877,0.923,4.99340476683701e-35
"CD69",8.49618548067395e-37,-0.468248440398523,0.097,0.152,1.16397741085233e-34
"ITGB1",1.85345025975086e-36,1.35137596471507,0.084,0.034,2.53922685585868e-34
"CD45",4.8797560382236e-35,2.59676512651967,0.993,0.998,6.68526577236634e-33
"TNFRSF9",2.44875656395437e-34,0.375514132730505,0.249,0.201,3.35479649261748e-32
"CD45RO",1.52533629021527e-27,0.291127747629883,0.141,0.087,2.08971071759493e-25
"CD52",1.85623511876401e-24,1.74680766703356,0.775,0.74,2.54304211270669e-22
"HLA-A",7.80274568770419e-23,1.17300268542938,0.391,0.279,1.06897615921547e-20
"ITGA6",1.90319099304169e-22,1.18866445015915,0.028,0.008,2.60737166046712e-20
"SELL",2.50571782924984e-21,-4.92321591377057,0.991,0.987,3.43283342607229e-19
"BTLA",2.14413787411948e-18,0.909879246872299,0.254,0.172,2.93746888754369e-16
"CD7",3.28011742921167e-18,8.60852076833897,0.996,0.997,4.49376087801998e-16
"CD27",1.07832615589179e-16,-7.90586994143982,0.929,0.937,1.47730683357175e-14
"GGT1",8.4055306863789e-15,0.631241275163099,0.179,0.105,1.15155770403391e-12
"FCGR3A",9.96056868487638e-12,-5.16823964276818,0.014,0.007,1.36459790982806e-09
"DPP4",1.22314351958214e-11,0.154685944346593,0.799,0.824,1.67570662182754e-09
"CD38",1.16465661804115e-10,2.76968301128311,0.799,0.797,1.59557956671638e-08
"TNFRSF14",8.35354891854918e-10,0.646187932009173,0.099,0.063,1.14443620184124e-07
"CR1",3.0167838129918e-09,2.32218267668501,0.128,0.072,4.13299382379877e-07
"SLAMF6",1.0677513733917e-08,0.928483900670287,0.523,0.437,1.46281938154663e-06
"ITGA4",1.11582571574533e-08,1.14296717709663,0.45,0.45,1.52868123057111e-06
"ITGB2",2.55884152501207e-08,0.375699758024739,0.822,0.818,3.50561288926653e-06
"TFRC",4.14214913390717e-08,-13.6415403584855,0.049,0.022,5.67474431345283e-06
"CD33",1.22744997036873e-07,-5.02171154926532,0.03,0.017,1.68160645940516e-05
"CD82",2.80969144148463e-07,0.676538588866511,0.185,0.155,3.84927727483394e-05
"CD81",1.79145899559158e-06,0.694198006088992,0.244,0.25,0.000245429882396046
"ICAM1",1.80679366357569e-06,-8.10989296941889,0.017,0.01,0.000247530731909869
"IL2RB",1.14278974834908e-05,-0.834231948305398,0.014,0.008,0.00156562195523823
