"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FCGR2A",2.05667643795177e-20,5.9249955165801,0.946,0.943,2.81764671999393e-18
"LAMP1",2.70220486188448e-14,1.22639943290588,0.243,0.077,3.70202066078174e-12
"CD19",1.67677134771618e-11,0.479073888279657,0.989,0.991,2.29717674637117e-09
"IGHM",2.50676713237832e-11,-4.41686748443612,0.719,0.778,3.4342709713583e-09
"CD48",1.46655969201024e-07,-1.84490702767939,0.953,0.983,2.00918677805403e-05
"BTLA",3.11021771902351e-07,1.88580342192677,0.454,0.376,4.26099827506221e-05
"CCR6",5.46061416296128e-07,6.58229568581598,0.67,0.63,7.48104140325696e-05
"CD52",1.46950666632975e-06,-1.01302125843867,0.563,0.755,0.000201322413287175
"CD45RA",2.14363995095919e-06,-1.59675166706439,0.963,0.903,0.00029367867328141
"ENTPD1",8.66691236756506e-06,5.4189760719764,0.661,0.584,0.00118736699435641
"CR2",1.30912587272862e-05,11.6943102181169,0.973,0.972,0.00179350244563822
"CD79B",1.79450865373738e-05,0.980635897295616,0.494,0.453,0.00245847685562022
"CD45",2.67871359279828e-05,0.33298408107771,0.894,0.972,0.00366983762213365
"ITGA4",0.000100286422523058,1.25320223527962,0.806,0.838,0.013739239885659
"CD69",0.000111246905273428,9.63741609498841,0.457,0.496,0.0152408260224597
"CXCR5",0.000143821453150594,2.06886009513884,0.682,0.598,0.0197035390816313
"HLA-DRA",0.000197375458056661,5.22166895286974,0.972,0.974,0.0270404377537626
"CD1D",0.000606898673879149,1.53025579591072,0.266,0.231,0.0831451183214434
"Rat-IgG2a",0.000648549284825911,-7.24638315044662,0,0.017,0.0888512520211498
"CD82",0.00100103466923248,1.10035445554177,0.32,0.285,0.13714174968485
"IGLC1",0.00119988447151568,0.863895678219658,0.406,0.39,0.164384172597648
"NT5E",0.0012435926986705,5.00804973262289,0.504,0.43,0.170372199717858
"FCER2",0.00127443676570152,3.92573923455535,0.054,0.011,0.174597836901108
"PECAM1",0.00193950261893286,3.41976044998113,0.279,0.188,0.265711858793802
"ITGA6",0.00282907517716812,2.89013197802159,0.016,0.011,0.387583299272033
"TNFRSF13C",0.00335718926102651,1.49947490181206,0.965,0.957,0.459934928760632
"SELL",0.00465333138172079,3.84321772934857,0.199,0.339,0.637506399295748
"TFRC",0.00520176308218525,3.75544991732813,0.11,0.048,0.712641542259379
"CD40",0.00963233364107023,2.80503483366119,0.924,0.963,1
"CD24",0.010323934782693,-6.52386503942961,0.354,0.493,1
"ADGRG1",0.0117867832996567,4.83522125502007,0.016,0.051,1
"GP1BB",0.0125112433300314,4.39174239044565,0.023,0.006,1
"ICAM1",0.0158666211228151,-1.03472407766804,0.226,0.333,1
"KLRD1",0.0275876714389353,-3.00311351135387,0.01,0.017,1
"CD44",0.0399954477943552,-0.567321117332378,0.81,0.769,1
"ITGB7",0.0415295155103734,0.3695115052699,0.225,0.225,1
"ITGA2B",0.0440066484628158,1.66010678444171,0.021,0.037,1
"TNFRSF14",0.0564490022635796,0.46968233970665,0.245,0.225,1
"ITGA2",0.0645556191447217,0.420735457409597,0.014,0.006,1
"IL7R",0.0708002493967231,0.67751848349145,0.044,0.074,1
"CD83",0.0781646969883945,7.05397893498326,0.106,0.097,1
"SLAMF7",0.0841199773197064,0.590665513575709,0.013,0.003,1
"ENG",0.0846020495767395,-7.69021989604099,0.01,0.009,1
"NCAM1",0.0884043598061797,-3.89459437441746,0.008,0.034,1
"IL2RA",0.0908538613768154,1.36028288412511,0.031,0.028,1
"IL3RA",0.104918377203794,3.72488070261397,0.32,0.393,1
"SIGLEC7",0.121478182782112,0.619041129591913,0.017,0.04,1
"CD86",0.127868379335538,7.0976110948642,0.042,0.083,1
"CD101",0.130731985599894,-1.85702347772652,0.004,0.017,1
"CD58",0.137118187794881,1.57725276652126,0.01,0.003,1
"CD33",0.140973486105592,0.38001083448736,0.008,0.028,1
"B3GAT1",0.156005932700331,11.8491483585923,0.016,0.006,1
"ITGAX",0.15700626207108,2.76052183179617,0.027,0.066,1
"CD2",0.16829813911171,-1.74185598247666,0.047,0.054,1
"TCR-vA7.2",0.17248019188044,-1.77348069597241,0.03,0.06,1
"CXCR3",0.19646619126817,-1.82571591123073,0.035,0.06,1
"DPP4",0.196531295693926,0.849249817198146,0.042,0.028,1
"KLRK1",0.196757697683589,-4.0842406084277,0.003,0.023,1
"CD7",0.213105473116852,-1.82920172214404,0.028,0.06,1
"CD4",0.244349676483447,1.42119696084554,0.027,0.023,1
"CD1C",0.263873687001493,3.34902267375085,0.754,0.769,1
"OLR1",0.265743730071231,-1.66429366249036,0.003,0.011,1
"ITGAM",0.280156134516002,-2.12209905575976,0.01,0.023,1
"CD28",0.28977499911752,2.95655533335484,0.028,0.023,1
"CD22",0.295048497759325,-4.83507884749057,0.914,0.929,1
"FCER1A",0.302805712030949,0.81031288253921,0.007,0.011,1
"TIGIT",0.320211194385447,1.47739713791898,0.01,0.014,1
"CX3CR1",0.320854101467881,-1.8553822349134,0.004,0.014,1
"IFNGR1",0.339685412743453,-0.265057767517399,0.082,0.085,1
"KIR2DL3",0.343068662049631,5.68020462919832,0.01,0.02,1
