Feature,Coefficient,OddsRatio,Layer
(Intercept),0.3794896217049037,1.4615384615384615,Plasma
CD14,0,1,Plasma
CD163,0,1,Plasma
CD25,0,1,Plasma
CRP,0,1,Plasma
D-Dimer,0,1,Plasma
GM-CSF,0,1,Plasma
ICAM-1,0,1,Plasma
iFABP,0,1,Plasma
IFN-a2,0,1,Plasma
IFN-g,0,1,Plasma
IL-10,0,1,Plasma
IL-13,0,1,Plasma
IL-17A,0,1,Plasma
IL-18,0,1,Plasma
IL-1a,0,1,Plasma
IL-1b,0,1,Plasma
IL-1RA,0,1,Plasma
IL-2,0,1,Plasma
IL-22,0,1,Plasma
IL-27,0,1,Plasma
IL-4,0,1,Plasma
IL-5,0,1,Plasma
IL-6,0,1,Plasma
IL-8,0,1,Plasma
IP-10,0,1,Plasma
LBP,0,1,Plasma
MCP-1,0,1,Plasma
MMP-9,0,1,Plasma
Neopterin,0,1,Plasma
TNFa,0,1,Plasma
TNFb,0,1,Plasma
TNF-RI,0,1,Plasma
TNF-RII,0,1,Plasma
VCAM-1,0,1,Plasma
