"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"LRRC4",4.875985342884,0.00207904304402201,1.73619268022274,0.999913713198787,TRUE,FALSE,FALSE,TRUE,"CD8_Naive_T","week44"
"B4GALNT1",3.1008229127291,0.00323497357731474,2.32775198335501,0.813438235320508,TRUE,FALSE,FALSE,TRUE,"CD8_Naive_T","week44"
"LINC01801",-1.1301011233256,0.206563360102051,-0.751789477798046,0.452693996926068,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"LRP6",1.25419174428277,0.423502949416632,0.998477428153789,0.585116440342313,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"IQCA1",1.31258891062261,0.423502949416632,0.714972795943736,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"TMEM132D",-2.33250370072265,0.423502949416632,-0.421198076863072,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SPATA17",2.83477352623414,0.423502949416632,2.29531879369905,0.444733464197365,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SLIT3",2.33631407059902,0.423502949416632,-0.112938003047399,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"LINC01376",0.984864713128498,0.423502949416632,0.877724182208841,0.97290768495458,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"MTND4P12",2.09836427049352,0.423502949416632,1.4969374046062,0.904383040421591,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ENSG00000288018",1.2859079376565,0.423502949416632,0.746273921375466,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"LINC02964",-0.776207164497435,0.486416623933678,-0.821130609627978,0.270340813425273,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ENSG00000287288",4.84394096594612,0.494252084726709,2.33224272862261,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"GML",-3.26910060863785,0.503316499862647,-2.55159850598939,NA,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
