"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"OR3A2",-3.14339912016395,0.0366864259788592,-2.39316600488201,NA,TRUE,FALSE,FALSE,TRUE,"DC","week12"
"SDK2",-1.67048965420655,0.143188643762077,-0.786566381261741,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"OAS3",2.47704446090924,0.143188643762077,-0.0869220697046341,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"CRADD",-1.44052331665471,0.143188643762077,0.0618568983043626,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"TEX41",-3.26424501622787,0.143188643762077,-1.05653594249977,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"LINC00520",-4.03710300855673,0.143188643762077,-0.749562703509637,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"NMNAT3",3.17893494802443,0.15945421673415,1.15823937817807,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"IFIT2",5.17945257910916,0.218183693258442,-0.698964637688533,NA,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"XAF1",2.19064763748235,0.218183693258442,-0.0314231042745963,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"CACNB3",-3.1323949005806,0.218183693258442,0.673473546776452,NA,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"ADGRB1",-5.21286852950235,0.218183693258442,-0.28951277170588,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"ENSG00000188897",-2.33084479104041,0.218183693258442,-0.267147959792679,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"C12orf75",-1.47828328891774,0.218183693258442,0.376603204511966,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"NRP1",-1.94070433897715,0.252790818445148,-0.218300989740722,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"IFI44",2.42221627826486,0.266136772360547,-0.195710074046155,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"PHEX",-2.94363296814221,0.288817214320762,-0.296070354401108,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"LMCD1-AS1",-2.44640855598095,0.288817214320762,-0.663853017910234,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"ENSG00000255240",-2.26299025896501,0.288817214320762,-0.226195189012761,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"LINC02752",-5.50160279925097,0.331599104546679,NA,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"RALYL",-3.32740395608946,0.342270367274644,-1.32536642753522,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"KIF3B",-1.04197967836423,0.362774968786549,0.0831125815998466,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"IFI44L",2.2378191924166,0.362774968786549,-0.199012431148556,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"RNF165",-1.91891524580575,0.362774968786549,-0.422253645562607,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"IGFBP7",-2.77422180970075,0.362774968786549,0.223351986636696,NA,FALSE,FALSE,TRUE,FALSE,"DC","week12"
"ZCCHC24",4.27061362246589,0.362774968786549,0.992018265186398,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"GNG12",-2.62672184441501,0.362774968786549,NA,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"EFNA5",-2.85744350586236,0.362774968786549,-2.58373893296163,0.948429773148963,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"PMP22",-3.35421328231541,0.384201413537601,-0.647642660181775,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"DAB2",-1.8616249976392,0.384201413537601,-0.367417827543752,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"PXDC1",-3.24869011398034,0.384201413537601,-1.91359811264529,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"ENTHD1",-2.38996727037745,0.384201413537601,-1.30838382150814,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"RGS6",-3.65074178439443,0.384201413537601,-0.53322431172916,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"ENSG00000285658",-2.92342362522125,0.384201413537601,-0.993612812461823,NA,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"HMOX1",2.46709661255237,0.387078013257312,0.340377093394783,0.998162825079668,FALSE,FALSE,FALSE,FALSE,"DC","week12"
"SEPTIN9",-0.547320089025112,0.387078013257312,0.0349095142493614,0.998162825079668,FALSE,FALSE,TRUE,FALSE,"DC","week12"
