"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"MTCO1P12",4.57972947922138,0.462962976758771,5.30324250307693,0.0291496856513049,FALSE,TRUE,FALSE,FALSE,"MAIT","week12"
"IL18RAP",1.57913403345181,0.864829546123029,1.2943488194163,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"DPM1",0.0673470052079755,0.99997837369161,0.195577105682796,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"SCYL3",-0.169734854808392,0.99997837369161,-0.191131678909345,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"C1orf112",1.08803329476224,0.99997837369161,-0.559783792959629,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CFH",-0.97640463401457,0.99997837369161,-1.98454128750008,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"FUCA2",0.436063852121902,0.99997837369161,0.953869835164226,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"GCLC",0.199652073933315,0.99997837369161,0.0776196214622245,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"NFYA",-0.126442908837798,0.99997837369161,-0.35159360460395,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"STPG1",0.964615848739209,0.99997837369161,-1.00232400103866,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"NIPAL3",-0.00284506518805074,0.99997837369161,-0.204935582789853,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"LAS1L",0.215021912157752,0.99997837369161,0.459966504164258,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ENPP4",0.795066373517402,0.99997837369161,-0.104558230522801,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CFTR",-0.497766310451009,0.99997837369161,NA,NA,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ANKIB1",0.130240325143116,0.99997837369161,0.0482913409203368,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"CYP51A1",0.446413143177384,0.99997837369161,0.227501708429005,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"KRIT1",0.0131175262472546,0.99997837369161,-0.263815429308618,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"RAD52",-0.00331719279044028,0.99997837369161,0.0356372783549535,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"BAD",0.512695761496019,0.99997837369161,-0.585440877756872,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"LAP3",0.527546035422144,0.99997837369161,0.251318664176084,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"CD99",0.443190855715238,0.99997837369161,0.159025805832048,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"HS3ST1",2.07497923177685,0.99997837369161,NA,NA,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"HECW1",2.09084322154642,0.99997837369161,NA,NA,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"MAD1L1",-0.295556832325449,0.99997837369161,-0.215550261971923,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"LASP1",-0.355882595544511,0.99997837369161,-0.295338815981183,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"SNX11",-0.45462711305006,0.99997837369161,0.253786313925653,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"M6PR",-0.0979133127884261,0.99997837369161,-0.075822057085679,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"KLHL13",0.268578374246278,0.99997837369161,-1.97949745203729,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"ALS2",-0.0234048974875861,0.99997837369161,0.320492410352068,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CASP10",0.0445432290201396,0.99997837369161,0.113529040522681,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"CFLAR",0.0418750413617918,0.99997837369161,0.0503551023137742,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"TFPI",0.147010783685572,0.99997837369161,0.77106814901454,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"NDUFAF7",0.0497627455445307,0.99997837369161,-0.0744982240874762,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"RBM5",0.0687347835842184,0.99997837369161,0.202319379812896,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ARF5",0.0127006401619289,0.99997837369161,0.538306376133013,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"SARM1",-0.26148018332093,0.99997837369161,-0.200030835283323,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"POLDIP2",-0.304958708759529,0.99997837369161,-0.00214313528498844,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"PLXND1",0.0878528861731105,0.99997837369161,-0.140409972993497,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"AK2",0.709600310477324,0.99997837369161,-0.193122577638657,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CD38",-0.627650621301533,0.99997837369161,-0.0645127865147222,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
