"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"RASSF8",-2.76194885817402,0.00844408464351062,-1.84388695920722,0.288723799078024,TRUE,FALSE,FALSE,TRUE,"gdT","week44"
"HPGD",2.41975636200799,0.00844408464351062,0.919210002659183,0.999615528159732,TRUE,FALSE,FALSE,TRUE,"gdT","week44"
"NEDD4L",-0.93373993340017,0.03554863532222,-0.691600877592777,0.999615528159732,TRUE,FALSE,FALSE,TRUE,"gdT","week44"
"FMNL2",-1.40009353558768,0.03554863532222,-1.09611844659793,0.473478940852732,TRUE,FALSE,FALSE,TRUE,"gdT","week44"
"HFM1",-2.46902391428196,0.03554863532222,-2.24465783313881,0.999615528159732,TRUE,FALSE,FALSE,TRUE,"gdT","week44"
"RPS3",-0.959769938904611,0.0543160157523275,-0.392372897351497,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"DPY19L1P1",-2.20422326439555,0.0576413101995891,-1.78540930760895,0.960192213002573,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"B4GALNT1",2.73540840333681,0.0631361733368613,2.8103912548215,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"OR3A2",-2.76313886529728,0.0687646758011489,-0.444520302304855,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"NCAM1",2.21966031241994,0.0970270831124268,0.18123274916693,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"SLC9A9",0.897857717849245,0.0970270831124268,0.415215849515684,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"UBA7",1.13363976293206,0.0970270831124268,0.306392822973051,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"LINC02021",2.38918178177587,0.0970270831124268,2.29991471926801,0.808742211968887,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"KCTD14",-3.8601533086963,0.099937366480758,-0.452270110341494,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"FER",-0.756685540472465,0.099937366480758,-0.472110708667168,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"SPINT2",-2.1044559465424,0.099937366480758,-1.22179087864978,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"MT-ATP8",-1.03801919605149,0.099937366480758,-0.547734057106872,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"TEKT4P2.1",-3.36912428771244,0.130337659216526,-2.52859971194712,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"RPL14",-0.875057113675228,0.132453508199665,-0.505796028383285,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"USP2-AS1",-3.3861299964483,0.146063438893026,-2.7579196380995,NA,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"LINC00861",0.594216407475593,0.167496020648336,0.52969084498203,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"GPHN",-0.829035441951261,0.17013920298157,-0.333562278964572,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"AKT3",-0.625794729692475,0.218269737298103,-0.492942681425087,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"DUSP4",0.874381187021008,0.218269737298103,0.539912240280828,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"NAALADL2",-1.62139981945054,0.218269737298103,0.118079856617206,0.999615528159732,FALSE,FALSE,TRUE,FALSE,"gdT","week44"
"KLF7",-1.06620513797347,0.243193171787293,-0.711817978800775,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"GAB1",-1.75491963241299,0.27994832989813,-1.1808291585365,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"MME",-1.83471185031996,0.285690954681448,-1.47855459185104,0.288723799078024,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"RPS27AP16",-1.02795480194751,0.285690954681448,-0.687240168874232,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"MYL12A",-0.875568660983183,0.315681428515859,-0.635595720482432,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"RAPH1",-0.996783582377824,0.315681428515859,-1.13522857448761,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"DDX60L",1.13300593320248,0.315681428515859,0.505473880405478,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"PDE4DIPP2",-0.935652331206877,0.315681428515859,-0.773052846239671,0.473478940852732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"USP18",1.6435013155368,0.320299708935265,0.432762466310585,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"STARD4-AS1",-1.44314863759265,0.329432977234885,-1.01911932260303,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"GZMB",1.22662152095752,0.33620162440775,0.822851112885903,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"RNF24",-0.713168090347793,0.33620162440775,-0.483172858665348,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"DHX58",1.56153808815324,0.33620162440775,0.666722533630017,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"TCIRG1",0.90734248196998,0.33620162440775,0.171977450209274,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"EPSTI1",1.13858357069832,0.33620162440775,0.558744777141732,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"CMPK2",1.64963936191499,0.33620162440775,1.13850421418062,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"RERG",-3.51530306831654,0.33620162440775,0.140749759626454,0.999615528159732,FALSE,FALSE,TRUE,FALSE,"gdT","week44"
"RPS27A",-0.814300244576692,0.33620162440775,-0.620833727581574,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"SCML4",0.532516995321316,0.33620162440775,0.239998738213548,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"TMEM132D",-2.37339258440423,0.33620162440775,-0.782888093117556,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"RPL27A",-0.732321528894513,0.33620162440775,-0.477830818671299,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ZDHHC14",0.865085193542519,0.33620162440775,0.582152057819225,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ODF3B",3.14556586253302,0.33620162440775,0.649400389567869,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"TAP2",0.757185429526357,0.33620162440775,0.134214489418443,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"PRCD",-2.25548696062923,0.33620162440775,-0.0515508198709528,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"LINC00623",-0.775976407388267,0.33620162440775,-0.600738258432948,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"CDKN2B-AS1",1.6467773406164,0.33620162440775,0.801896766228917,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ENSG00000259723",3.92951705147064,0.33620162440775,1.85595186255853,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"FMNL1-DT",-0.639862385148369,0.33620162440775,-0.622723633195701,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"EZR",-0.572024880274754,0.350845929196801,-0.451501188220629,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"CACNB2",-1.8352402356365,0.367362500195484,0.189197997638193,0.999615528159732,FALSE,FALSE,TRUE,FALSE,"gdT","week44"
"DTX3L",0.989503489882467,0.369028892215436,0.0642498066170314,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"GRAMD1C",-1.13769609406456,0.369028892215436,-0.8820271441901,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"LINC02981",4.86049153817627,0.369028892215436,0.955170814934814,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ENSG00000272657",-0.917097829300432,0.369028892215436,-0.733389083431735,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
