"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"SERPINB10",1.79303216853654e-77,-7.42075960715061,0.011,0.302,1.12441047288926e-72,5,3,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000265781",1.08566135995184e-72,-12.1976820744447,0,0.255,6.808182388258e-68,0,2,TRUE,"CD14_Mono_Infl","week12"
"PRDM14",1.85709495637042e-49,-7.52509033121673,0.003,0.19,1.16458424713989e-44,1,3,TRUE,"CD14_Mono_Infl","week12"
"CD5L",1.50469342835595e-47,-7.87646771802907,0.001,0.181,9.43593248922013e-43,1,3,TRUE,"CD14_Mono_Infl","week12"
"LINC02899",7.43775630226314e-45,-5.23724555568617,0.016,0.207,4.66421697714921e-40,5,4,FALSE,"CD14_Mono_Infl","week12"
"DCLRE1A",1.31976172491402e-44,-5.52422364905004,0.011,0.205,8.27622577693581e-40,3,3,FALSE,"CD14_Mono_Infl","week12"
"TFCP2",1.11785722273621e-42,-4.05263056813281,0.473,0.587,7.01008264377879e-38,6,4,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000285658",2.09719371019149e-41,-4.63898188728662,0.029,0.226,1.31515017566108e-36,5,3,FALSE,"CD14_Mono_Infl","week12"
"RALYL",7.83134083916657e-36,-5.2348520562076,0.018,0.19,4.91103384024136e-31,5,4,FALSE,"CD14_Mono_Infl","week12"
"MTCO1P12",4.92516983427827e-35,3.42102688355311,0.159,0.013,3.0885740030759e-30,5,3,FALSE,"CD14_Mono_Infl","week12"
"FBLIM1",2.09121058274437e-34,8.30147768925185,0.133,0.002,1.311398156439e-29,5,2,FALSE,"CD14_Mono_Infl","week12"
"XIST",1.01282391874189e-33,-1.00977834465908,0.287,0.571,6.35141879443039e-29,5,4,FALSE,"CD14_Mono_Infl","week12"
"TTC39B",2.74451706035647e-32,3.64943544353814,0.294,0.116,1.72108664854954e-27,6,4,FALSE,"CD14_Mono_Infl","week12"
"ERC2",7.6651516738681e-31,5.20277828690907,0.189,0.051,4.80681661468268e-26,5,4,FALSE,"CD14_Mono_Infl","week12"
"ABCA1",1.3498306465881e-27,-0.832742241925877,0.615,0.801,8.46478798475396e-23,6,4,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000285834",7.68688728869796e-25,6.67128336045109,0.103,0.003,4.82044701874249e-20,3,3,FALSE,"CD14_Mono_Infl","week12"
"BACE2",1.14521094233906e-24,-5.53583456225134,0.006,0.113,7.18161781940824e-20,2,2,FALSE,"CD14_Mono_Infl","week12"
"HLA-C",1.91879908321742e-24,-0.516518133684511,0.867,0.929,1.20327890508565e-19,6,4,FALSE,"CD14_Mono_Infl","week12"
"PRKY",2.8752540461142e-24,2.63406019863421,0.242,0.077,1.80307181231822e-19,6,4,FALSE,"CD14_Mono_Infl","week12"
"LAPTM4B",1.12807801398355e-23,-3.8397852085412,0.031,0.16,7.07417722569085e-19,6,3,FALSE,"CD14_Mono_Infl","week12"
"SLC16A10",5.55300902616606e-23,-1.97099299700719,0.165,0.313,3.48229196030873e-18,6,4,FALSE,"CD14_Mono_Infl","week12"
"UTY",1.86749764360137e-22,1.1038249508298,0.454,0.234,1.17110777230242e-17,6,4,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000283907",2.90452495946339e-22,2.72022814917913,0.23,0.077,1.82142760207949e-17,6,4,FALSE,"CD14_Mono_Infl","week12"
"BANP",5.74169562626459e-22,-0.732734955606612,0.839,0.883,3.60061732723052e-17,6,4,FALSE,"CD14_Mono_Infl","week12"
"SLC25A37",1.02128160727752e-21,-0.72155863746677,0.589,0.736,6.40445695923732e-17,6,4,FALSE,"CD14_Mono_Infl","week12"
"PLD1",1.79574293547057e-21,-0.770376499403597,0.474,0.675,1.12611039483359e-16,6,4,FALSE,"CD14_Mono_Infl","week12"
"PLCD1",1.94322778509004e-21,3.61641000010604,0.126,0.016,1.21859814402996e-16,5,4,FALSE,"CD14_Mono_Infl","week12"
"FNDC3B",6.88069258616579e-20,-0.445918716543513,0.98,0.981,4.31488232078457e-15,6,4,FALSE,"CD14_Mono_Infl","week12"
"FBN1",1.4747312385835e-19,-2.90320039071924,0.025,0.135,9.24803959715714e-15,6,4,FALSE,"CD14_Mono_Infl","week12"
"CACNA1B",1.65928154571887e-19,-3.10858198468031,0.011,0.111,1.04053545732031e-14,4,4,FALSE,"CD14_Mono_Infl","week12"
"DDX3Y",1.67320537410106e-19,0.784105044588267,0.393,0.191,1.04926709009877e-14,6,4,FALSE,"CD14_Mono_Infl","week12"
"PDE4DIP",1.68412854140504e-19,-0.628159938033411,0.77,0.859,1.0561170083151e-14,6,4,FALSE,"CD14_Mono_Infl","week12"
"ADAMTS3",1.98435302703418e-19,-7.76172870914152,0.169,0.291,1.24438778325314e-14,6,4,FALSE,"CD14_Mono_Infl","week12"
"VAV2",4.10005496923546e-19,-0.893654830818322,0.438,0.614,2.57114447120756e-14,6,4,FALSE,"CD14_Mono_Infl","week12"
"HTR4",1.77207890128451e-18,-3.62713572358528,0.014,0.108,1.11127067899552e-13,6,4,FALSE,"CD14_Mono_Infl","week12"
"MB21D2",2.45267554465257e-18,-1.22606347838872,0.156,0.328,1.53807283405163e-13,6,4,FALSE,"CD14_Mono_Infl","week12"
"ACSS2",1.11580841611281e-17,2.61839889587973,0.19,0.084,6.99723457744346e-13,6,4,FALSE,"CD14_Mono_Infl","week12"
"B4GALNT1",4.81821705190105e-17,7.37150237829937,0.17,0.114,3.02150391324715e-12,6,4,FALSE,"CD14_Mono_Infl","week12"
"DLG2",5.23355788713127e-17,2.63929118021664,0.225,0.109,3.28196415102002e-12,6,4,FALSE,"CD14_Mono_Infl","week12"
"JAKMIP2",9.99174359195078e-17,-0.937520531423428,0.426,0.58,6.26582240651234e-12,6,4,FALSE,"CD14_Mono_Infl","week12"
"RBFOX1",3.03097679034151e-16,-2.18557873919061,0.16,0.222,1.90072554522316e-11,6,4,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000289724",3.2717748677749e-16,-1.05387172115779,0.289,0.433,2.05173001958164e-11,6,4,FALSE,"CD14_Mono_Infl","week12"
"NEDD4L",3.60071770045543e-16,-0.846955914581928,0.417,0.591,2.2580100699556e-11,6,4,FALSE,"CD14_Mono_Infl","week12"
"TMC7",3.8516572355857e-16,4.29826116809773,0.11,0.039,2.41537425243579e-11,6,4,FALSE,"CD14_Mono_Infl","week12"
"GRM7",4.10163045262162e-16,5.05727386093599,0.118,0.043,2.57213245683902e-11,6,4,FALSE,"CD14_Mono_Infl","week12"
"SNTG1",5.24810091010781e-16,3.84379771301669,0.125,0.037,3.29108408072861e-11,6,4,FALSE,"CD14_Mono_Infl","week12"
"MEAK7",1.30058452503367e-15,3.1426692030539,0.103,0.016,8.15596555648613e-11,6,3,FALSE,"CD14_Mono_Infl","week12"
"DNAH14",2.27958728269815e-15,-3.4823952773906,0.039,0.143,1.42952918498001e-10,6,4,FALSE,"CD14_Mono_Infl","week12"
"ZNF395",2.27986054062153e-15,-4.10556183869684,0.123,0.16,1.42970054502376e-10,6,4,FALSE,"CD14_Mono_Infl","week12"
"CCDC144BP",2.49381988138027e-15,2.25923539016628,0.208,0.112,1.56387444761357e-10,6,4,FALSE,"CD14_Mono_Infl","week12"
"MMP14",2.80855116544313e-15,-0.670718862494625,0.459,0.631,1.76124243584939e-10,6,4,FALSE,"CD14_Mono_Infl","week12"
"KCNMA1",2.93671195838721e-15,2.78934383947237,0.113,0.021,1.84161206910462e-10,5,4,FALSE,"CD14_Mono_Infl","week12"
"YPEL4",4.31497771545604e-15,-4.3779446513028,0.02,0.101,2.70592252536248e-10,5,3,FALSE,"CD14_Mono_Infl","week12"
"FAM222B",4.43502091066762e-15,-2.84416918587753,0.28,0.337,2.78120161307967e-10,6,4,FALSE,"CD14_Mono_Infl","week12"
"SLCO5A1",7.87574141227695e-15,-1.38648230261729,0.202,0.333,4.93887743963887e-10,6,4,FALSE,"CD14_Mono_Infl","week12"
"C3orf70",1.1656809784562e-14,-2.28439932629364,0.024,0.116,7.30998541589885e-10,4,4,FALSE,"CD14_Mono_Infl","week12"
"EFCAB10",1.33404128701107e-14,-3.416618052538,0.044,0.13,8.36577291084641e-10,5,4,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000233635",1.39314131977967e-14,3.70316004994802,0.111,0.026,8.7363892163383e-10,4,4,FALSE,"CD14_Mono_Infl","week12"
"CCDC144A",1.64733573739638e-14,2.78910733795253,0.109,0.025,1.03304424092127e-09,5,2,FALSE,"CD14_Mono_Infl","week12"
"DNAAF1",2.9177505827187e-14,2.39575596023437,0.156,0.048,1.8297213904229e-09,5,4,FALSE,"CD14_Mono_Infl","week12"
"MET",3.12036524472466e-14,-0.735563802394765,0.567,0.649,1.95678104496683e-09,6,4,FALSE,"CD14_Mono_Infl","week12"
"SEMA6B",6.37706235251801e-14,-0.917137458541568,0.31,0.441,3.99905580126405e-09,6,4,FALSE,"CD14_Mono_Infl","week12"
"CDH12",6.7209236873983e-14,2.68426685710654,0.144,0.06,4.21469124436748e-09,5,4,FALSE,"CD14_Mono_Infl","week12"
"BAALC",9.32228797892225e-14,-0.77466130311276,0.519,0.668,5.84600679158214e-09,6,4,FALSE,"CD14_Mono_Infl","week12"
"EPB41L3",1.06100249584906e-13,-0.549514233553714,0.725,0.793,6.65354665146948e-09,6,4,FALSE,"CD14_Mono_Infl","week12"
"TREML4",1.38269696584377e-13,-0.598253474314552,0.139,0.28,8.67089267280629e-09,5,4,FALSE,"CD14_Mono_Infl","week12"
"ANTXR2",1.40934710172562e-13,-0.721955445565659,0.431,0.564,8.83801567492135e-09,6,4,FALSE,"CD14_Mono_Infl","week12"
"DPP10",1.88423862183051e-13,-1.97629505511654,0.054,0.153,1.18160603974991e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"MED13L",2.17500969226983e-13,0.344669878545101,0.952,0.957,1.36394857802241e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"RPS4Y1",2.23438549255446e-13,1.0199745988676,0.307,0.153,1.4011831423809e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"PTPRJ",2.68155675475216e-13,0.402680929237793,0.979,0.957,1.68160424090508e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"ATP6V1A",2.72227692187124e-13,-0.652738736409193,0.504,0.64,1.70713985770545e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"GRAMD1B",2.98915192333514e-13,1.59052929638005,0.186,0.072,1.87449717112347e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"RN7SKP255",3.20581120050304e-13,-1.79214847441777,0.169,0.266,2.01036420383545e-08,5,4,FALSE,"CD14_Mono_Infl","week12"
"SLFN5",3.37689903955513e-13,0.640260603257995,0.63,0.493,2.11765338770502e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"NECAP2",3.48155656678492e-13,1.47911391114153,0.412,0.319,2.18328412303082e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"CMPK2",3.83183044018873e-13,1.63132495318262,0.285,0.15,2.40294086904235e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"NPAS3",4.0232367950083e-13,2.76859487206333,0.108,0.03,2.5229717941497e-08,5,4,FALSE,"CD14_Mono_Infl","week12"
"AAMDC",7.57832751520753e-13,-1.0864939011506,0.255,0.391,4.75236918478664e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"USP9Y",1.56254287092485e-12,2.0896894267444,0.154,0.059,9.79870634356971e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"NBPF19",1.57651446448405e-12,-0.529948699528891,0.712,0.781,9.8863222067795e-08,6,4,FALSE,"CD14_Mono_Infl","week12"
"MT-ND5",1.75701431055894e-12,0.368404758091055,0.864,0.839,1.10182367415151e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"PRLR",1.78117731799715e-12,-1.06625046951425,0.13,0.263,1.11697629611601e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"SAMD4A",3.73618170705734e-12,1.82115204940592,0.258,0.134,2.34295954849566e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"PLEKHB2",4.24598837625463e-12,-0.515683155033055,0.727,0.809,2.66265931074928e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"PSTPIP2",7.21883659780695e-12,-0.512056572795469,0.721,0.81,4.52693243048474e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"KDM5D",1.02387428978474e-11,1.96235946867625,0.128,0.037,6.42071567124009e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"GRIK4",1.02974701091807e-11,-6.02026468045537,0.044,0.12,6.45754350546723e-07,5,4,FALSE,"CD14_Mono_Infl","week12"
"SLC11A1",1.49804278624875e-11,-0.748791759572791,0.279,0.421,9.39422631256594e-07,6,4,FALSE,"CD14_Mono_Infl","week12"
"SLC4A5",1.80333366900009e-11,-3.2208711997302,0.084,0.103,1.13087054382996e-06,6,4,FALSE,"CD14_Mono_Infl","week12"
"ENSG00000286533",3.07197697913081e-11,1.17506946705164,0.647,0.603,1.92643676361293e-06,6,4,FALSE,"CD14_Mono_Infl","week12"
"TNIP3",3.09470747848493e-11,-0.750738097872559,0.426,0.568,1.9406910597579e-06,6,4,FALSE,"CD14_Mono_Infl","week12"
"FANCI",3.70063526947989e-11,1.63145706224394,0.128,0.041,2.32066837749084e-06,6,4,FALSE,"CD14_Mono_Infl","week12"
