"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"MT-RNR1",5.63359313194266e-161,0.800695908359812,0.981,0.998,3.53282625304124e-156,5,5,FALSE,"CD8_Naive_T","week44"
"HFM1",4.65991805851891e-130,-3.13916523099605,0.065,0.287,2.92223461449721e-125,5,5,FALSE,"CD8_Naive_T","week44"
"UTY",2.58069685974059e-113,0.738045376804486,0.704,0.411,1.61835500074332e-108,5,5,FALSE,"CD8_Naive_T","week44"
"XIST",3.58480895942863e-102,-0.975330432761242,0.183,0.429,2.24803369845769e-97,5,5,FALSE,"CD8_Naive_T","week44"
"OXR1",1.68318879159956e-99,6.75900208295396,0.49,0.355,1.05552769121208e-94,5,5,FALSE,"CD8_Naive_T","week44"
"USP9Y",2.0965606713531e-99,0.809176489663693,0.602,0.327,1.31475319700553e-94,5,5,FALSE,"CD8_Naive_T","week44"
"LINC02934",5.19628208281583e-96,6.31002627392119,0.12,0.021,3.25858849413381e-91,5,5,FALSE,"CD8_Naive_T","week44"
"SMOC2",3.31103942682204e-93,-6.6370981853952,0.003,0.122,2.0763528245601e-88,3,4,FALSE,"CD8_Naive_T","week44"
"LRRC52-AS1",3.8615164246307e-91,-10.0466673674711,0.002,0.103,2.42155694988591e-86,2,3,FALSE,"CD8_Naive_T","week44"
"SLC35F4",1.13056491787819e-90,5.852565960052,0.116,0.008,7.08977260001411e-86,5,5,FALSE,"CD8_Naive_T","week44"
"LINC01091",1.29589680068053e-89,-5.28890931343861,0.014,0.148,8.12656883706762e-85,5,5,FALSE,"CD8_Naive_T","week44"
"ENSG00000287424",4.64911996136867e-89,7.00253830355807,0.102,0.003,2.91546312777429e-84,4,4,FALSE,"CD8_Naive_T","week44"
"ANK3",1.0982533771775e-85,-1.21181987513314,0.464,0.649,6.88714692828008e-81,5,5,FALSE,"CD8_Naive_T","week44"
"SLC30A10",4.16232571503781e-83,4.3948622599197,0.129,0.022,2.61019445590021e-78,5,5,FALSE,"CD8_Naive_T","week44"
"PLCH1",5.13931442116178e-77,-5.06539959710245,0.008,0.12,3.22286407351055e-72,4,5,FALSE,"CD8_Naive_T","week44"
"MTCO1P12",1.01941494744049e-76,3.55333759981354,0.118,0.011,6.39275113539928e-72,4,4,FALSE,"CD8_Naive_T","week44"
"EPN2",2.72244880609552e-76,-3.1544353406457,0.052,0.191,1.7072476463025e-71,5,5,FALSE,"CD8_Naive_T","week44"
"NLGN1",7.26934754569762e-76,-5.3009509588429,0.011,0.122,4.55860784590698e-71,5,5,FALSE,"CD8_Naive_T","week44"
"IL12RB2",3.82341144130618e-73,-3.0911295450823,0.043,0.162,2.3976613148431e-68,5,5,FALSE,"CD8_Naive_T","week44"
