"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"TFCP2",2.36591684032458e-17,-3.22295319412716,0.425,0.621,1.48366645056754e-12,6,4,FALSE,"MAIT","week12"
"CYP2C23P",3.81065150465503e-16,-8.30668577268923,0,0.143,2.38965955856917e-11,0,1,TRUE,"MAIT","week12"
"PRDM14",7.07747267869415e-15,-7.0474770439679,0,0.121,4.4382831168091e-10,0,2,TRUE,"MAIT","week12"
"CD5L",2.82452332538383e-14,-7.21420482049552,0,0.115,1.7712585773482e-09,0,1,TRUE,"MAIT","week12"
"ENSG00000265781",1.14216852284406e-13,-9.67122014079944,0,0.104,7.16253880675513e-09,0,1,TRUE,"MAIT","week12"
"ENSG00000283982",2.02149868330545e-13,-7.40390614865956,0.002,0.137,1.26768182430085e-08,1,1,TRUE,"MAIT","week12"
"DCLRE1A",3.39835904155187e-11,-3.94542618920739,0.032,0.159,2.13111095495718e-06,5,3,FALSE,"MAIT","week12"
"DMGDH",2.54016901249302e-10,4.49299728220344,0.203,0.038,1.59293998773438e-05,6,4,FALSE,"MAIT","week12"
"GRIK4",5.13534848508742e-10,-5.15704417692649,0.022,0.154,3.22037703499832e-05,4,2,FALSE,"MAIT","week12"
"ADAMTS3",1.12921499726267e-09,-8.40449982891775,0.134,0.297,7.0813072478342e-05,6,4,FALSE,"MAIT","week12"
"FAM210A",1.56205149836453e-09,-2.50000861149959,0.151,0.308,9.79562494624399e-05,6,4,FALSE,"MAIT","week12"
"ENSG00000285658",1.70118866966983e-09,-3.38372203222174,0.028,0.148,0.000106681541474995,5,2,FALSE,"MAIT","week12"
"EFCAB10",1.77517541437782e-09,-4.35004348508284,0.032,0.17,0.000111321250235633,5,4,FALSE,"MAIT","week12"
"SNED1",2.2678435741108e-09,-1.27166463896622,0.341,0.582,0.000142216470532488,6,4,FALSE,"MAIT","week12"
"B2M",2.27666064723283e-09,-0.579793861311845,0.836,0.984,0.000142769389187971,6,4,FALSE,"MAIT","week12"
"RPS6",3.02685935178576e-09,-0.687128704542577,0.663,0.874,0.000189814349950485,6,4,FALSE,"MAIT","week12"
"PLEC",1.78313058378049e-08,1.14396038177053,0.672,0.473,0.00111820118908875,6,4,FALSE,"MAIT","week12"
"FLNA",3.12026538554447e-08,0.919709461952693,0.762,0.643,0.00195671842327494,6,4,FALSE,"MAIT","week12"
"GRAP2",3.27222731968599e-08,-0.601143386956782,0.672,0.863,0.00205201375217508,6,4,FALSE,"MAIT","week12"
"MTCO1P12",3.62262828800213e-08,5.16622669549633,0.112,0,0.00227175019940613,6,0,TRUE,"MAIT","week12"
"RNF217",4.85744542888921e-08,-5.15769695559438,0.019,0.137,0.00304610402845642,4,3,FALSE,"MAIT","week12"
"ENSG00000287596",5.4034167900121e-08,-6.00267640817571,0.009,0.11,0.00338848266901658,3,1,TRUE,"MAIT","week12"
"CDH12",1.01142103426255e-07,5.59595678514442,0.147,0.011,0.00634262130586044,6,2,FALSE,"MAIT","week12"
"RNF149",2.80571735033481e-07,0.882366037970923,0.862,0.725,0.0175946535039496,6,4,FALSE,"MAIT","week12"
"TPT1",3.13218053411162e-07,-0.738067445652713,0.691,0.857,0.019641904129414,6,4,FALSE,"MAIT","week12"
"RPL19",3.46652767645171e-07,-0.798657344195789,0.503,0.687,0.0217385950590287,6,4,FALSE,"MAIT","week12"
"MYH9",4.75215054810656e-07,0.426618798991653,0.946,0.896,0.0298007360871762,6,4,FALSE,"MAIT","week12"
"RALYL",6.13320090211553e-07,-4.09681241634732,0.019,0.11,0.0384613028571665,4,1,TRUE,"MAIT","week12"
"TRIB2",1.00310782156344e-06,-1.30085568871067,0.181,0.324,0.0629048914902431,NA,NA,NA,"MAIT","week12"
"LTB",1.27409930749451e-06,-0.938921249181191,0.365,0.544,0.0798987675729806,NA,NA,NA,"MAIT","week12"
"MAN1C1",2.19485714665638e-06,-0.666553654232299,0.486,0.665,0.137639491666821,NA,NA,NA,"MAIT","week12"
"ENSG00000284418",2.76405047552085e-06,-4.225150560948,0.017,0.11,0.173333605319912,NA,NA,NA,"MAIT","week12"
"SELL",3.52984324489921e-06,-0.663749761595557,0.473,0.621,0.22135646988763,NA,NA,NA,"MAIT","week12"
"TAB2",4.31432246448844e-06,0.468668626469161,0.883,0.83,0.27055116174807,NA,NA,NA,"MAIT","week12"
"PFKFB3",4.47777650725655e-06,0.676782224237925,0.778,0.709,0.280801364770058,NA,NA,NA,"MAIT","week12"
"ERC2",5.78410371003811e-06,4.59819190140087,0.13,0.038,0.36272114365649,NA,NA,NA,"MAIT","week12"
"LTBP3",6.24818228333575e-06,-1.18731014708794,0.192,0.28,0.391823510987985,NA,NA,NA,"MAIT","week12"
"PTMA",8.04275808951144e-06,-0.512008263238084,0.687,0.846,0.504361359793262,NA,NA,NA,"MAIT","week12"
"MIR3667HG",8.81971593002583e-06,-0.96669858773686,0.287,0.396,0.55308438597192,NA,NA,NA,"MAIT","week12"
"FMN1",9.05180202050237e-06,-0.737965581844338,0.197,0.363,0.567638504705703,NA,NA,NA,"MAIT","week12"
"MCEE",9.96792886068837e-06,2.67682382353183,0.171,0.049,0.625088818853767,NA,NA,NA,"MAIT","week12"
"DNAH14",1.10899606217099e-05,-2.43879584103223,0.03,0.126,0.695451430587426,NA,NA,NA,"MAIT","week12"
"FAM117A",1.23647783228253e-05,-0.55763812601075,0.469,0.626,0.775395248624376,NA,NA,NA,"MAIT","week12"
"RPL34",1.58160101490395e-05,-0.650281437044408,0.505,0.659,0.991821996446264,NA,NA,NA,"MAIT","week12"
"ANP32A",1.66208539609073e-05,-0.439762805378681,0.376,0.522,1,NA,NA,NA,"MAIT","week12"
"NBPF26",1.72519584968651e-05,-1.79376556290221,0.063,0.176,1,NA,NA,NA,"MAIT","week12"
"KDM6B",2.34307436482001e-05,1.17692741769325,0.523,0.324,1,NA,NA,NA,"MAIT","week12"
"RPS16",2.41688234585787e-05,-0.902205089590801,0.361,0.5,1,NA,NA,NA,"MAIT","week12"
