"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"ENSG00000265781",3.64013441708383e-58,-11.9263957531166,0,0.229,2.28272829295327e-53,0,2,TRUE,"Treg","week12"
"TFCP2",2.05706446358061e-38,-3.08920135165336,0.511,0.539,1.2899851251114e-33,6,4,FALSE,"Treg","week12"
"PRDM14",1.42922931539804e-37,-7.54937538506473,0.001,0.152,8.96269703686108e-33,1,2,TRUE,"Treg","week12"
"CD5L",4.77183667991639e-37,-8.20672989973044,0,0.139,2.99241878197557e-32,0,1,TRUE,"Treg","week12"
"ENSG00000260990",2.25794278864065e-32,8.66571289820316,0.167,0,1.41595592275655e-27,1,0,TRUE,"Treg","week12"
"LINC02899",3.69761172985645e-31,-3.48755374005579,0.023,0.197,2.31877231579298e-26,5,4,FALSE,"Treg","week12"
"DCLRE1A",1.18155908965064e-30,-4.35012084008341,0.028,0.181,7.40955705119917e-26,5,3,FALSE,"Treg","week12"
"ENSG00000285658",1.3049349962087e-30,-4.5486308282045,0.027,0.181,8.18324736122475e-26,4,4,FALSE,"Treg","week12"
"CDH12",7.70714472715954e-28,4.42129304321232,0.213,0.027,4.83315045840175e-23,6,4,FALSE,"Treg","week12"
"CYP2C23P",1.29876037819455e-26,-7.58410876081682,0.003,0.139,8.14452633165802e-22,2,2,FALSE,"Treg","week12"
"ENSG00000283982",4.5746095853644e-26,-8.90827475064823,0.001,0.13,2.86873767098201e-21,1,2,TRUE,"Treg","week12"
"CCDC144A",1.48571295451396e-25,3.86442229906121,0.197,0.016,9.31690593775706e-21,4,4,FALSE,"Treg","week12"
"ERC2",4.27191451040759e-25,6.59150028115456,0.171,0.016,2.6789175894766e-20,3,4,FALSE,"Treg","week12"
"SAMD4A",3.60441634873296e-24,3.44625212709749,0.239,0.053,2.26032949229044e-19,5,4,FALSE,"Treg","week12"
"ENSG00000250137",2.76764390750373e-23,7.06174081829525,0.134,0.002,1.73558949439559e-18,3,1,TRUE,"Treg","week12"
"FBLIM1",4.21728825035996e-20,7.86539885165047,0.102,0,2.64466146180073e-15,2,0,TRUE,"Treg","week12"
"RBFOX1",2.9790353484545e-19,-2.76214088296146,0.126,0.252,1.86815306701581e-14,5,4,FALSE,"Treg","week12"
"RALYL",5.08585735839409e-18,-3.88114473489909,0.015,0.117,3.18934114944893e-13,4,4,FALSE,"Treg","week12"
"LTBP3",5.48129438746938e-18,-1.25312942572551,0.215,0.366,3.43731971038205e-13,6,4,FALSE,"Treg","week12"
