"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"VSIR",102.142859362992,1.35407210643434,0.261784725106068,5.17246415307734,2.31026830940272e-07,0.00287618556094504,"B","week44","media_treated",5,5
"ANKRD36C",886.490484500578,0.482293160143441,0.0949292949289811,5.08055137778339,3.76340930447502e-07,0.00287618556094504,"B","week44","media_treated",5,5
"CLIP4",87.6153340840429,1.14483043801776,0.249940880947085,4.58040490887175,4.64076582918226e-06,0.0171230342681629,"B","week44","media_treated",5,5
"TENM2",73.253274000381,-1.62484424444605,0.363543801769671,-4.46945935135347,7.8417559618672e-06,0.0171230342681629,"B","week44","media_treated",5,5
"NEB",189.335582247234,-0.770425970586131,0.169769020466783,-4.53808338216143,5.67678153432581e-06,0.0171230342681629,"B","week44","media_treated",5,5
"LINC00632",25.4453292395198,-3.52222552724608,0.78654081371817,-4.47812175263438,7.53026520280313e-06,0.0171230342681629,"B","week44","media_treated",5,5
"IGLL5",483.383863461734,-0.908369877539473,0.198519467603008,-4.57572191033675,4.74580609588461e-06,0.0171230342681629,"B","week44","media_treated",5,5
"APLP2",1180.88206331239,-0.538839899733826,0.12199469466404,-4.41691256507288,1.00120705545092e-05,0.0191293123032092,"B","week44","media_treated",5,5
"SYNPO2",85.8055106447345,-0.806469236032273,0.186732167341816,-4.31885543617143,1.56840470813874e-05,0.0266367399598896,"B","week44","media_treated",5,5
"CD79B",770.678764788765,-0.899978086704587,0.213721245869662,-4.21099026932231,2.54253699206569e-05,0.0372335479541277,"B","week44","media_treated",5,5
"BACH2",24546.7730502023,-0.494694797222094,0.118365803588512,-4.17937260783406,2.92314409845949e-05,0.0372335479541277,"B","week44","media_treated",5,5
"IGHV1-46",33.2695717946505,-1.5612206114692,0.37313706479696,-4.18404055442397,2.863729890567e-05,0.0372335479541277,"B","week44","media_treated",5,5
"C1QTNF3",42.1831415186476,0.822958522275239,0.205926346373234,3.99637315365007,6.43203206409429e-05,0.0427450478694266,"B","week44","media_treated",5,5
"RGS1",138.974352114085,0.924827224885768,0.230697281268332,4.00883452029098,6.10191552207428e-05,0.0427450478694266,"B","week44","media_treated",5,5
"PPFIBP1",306.417931268704,-0.608297344624219,0.152056335951155,-4.00047351410349,6.32158626237797e-05,0.0427450478694266,"B","week44","media_treated",5,5
"DTX1",657.629780977526,-0.743284031696255,0.18206597617737,-4.08249826410258,4.45541449494526e-05,0.0427450478694266,"B","week44","media_treated",5,5
