"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"SOX4",155.257747336538,-0.719856888261223,0.148800886713341,-4.83771907655361,1.31337589505686e-06,0.026692553763473,"CD4_TCM","week44","BCG_treated",6,4
"TEKT4P2.1",7.95926811378853,-3.53610393736441,0.747784936419107,-4.72877128857079,2.25882658572167e-06,0.026692553763473,"CD4_TCM","week44","BCG_treated",6,4
"USP46",89.0707709685258,0.980551117531689,0.212380731325108,4.61694952933693,3.89421930525523e-06,0.0306786596868007,"CD4_TCM","week44","BCG_treated",6,4
"DPY19L1P1",32.1829409498413,-1.74946814077218,0.385148117316058,-4.54232556805294,5.56370281004952e-06,0.0328731380531776,"CD4_TCM","week44","BCG_treated",6,4
"NOTCH2NLR",4.49394068984532,-3.94165824686113,0.88869310629844,-4.43534243590435,9.19260470227315e-06,0.0434516039067047,"CD4_TCM","week44","BCG_treated",6,4
"RUSC2",18.6461446891788,-2.5989467627611,0.591519279153079,-4.39368056858974,1.11447538164088e-05,0.0438991852828344,"CD4_TCM","week44","BCG_treated",6,4
"RPL13A",1141.89106055338,-0.753805732839394,0.182305340573911,-4.13485271723997,3.55182350533325e-05,0.0925274387013448,"CD4_TCM","week44","BCG_treated",6,4
"HFM1",161.597331310234,-2.83313662200175,0.685224218026525,-4.13461250707295,3.55554039133387e-05,0.0925274387013448,"CD4_TCM","week44","BCG_treated",6,4
"OR3A2",42.2561301989204,-1.76894721594229,0.43014554907019,-4.11243873095066,3.91501390798615e-05,0.0925274387013448,"CD4_TCM","week44","BCG_treated",6,4
"KCNMB2-AS1",49.4403190013722,-1.17160067591741,0.284704597263213,-4.11514491574665,3.86936237412716e-05,0.0925274387013448,"CD4_TCM","week44","BCG_treated",6,4
"RPS27A",392.488273826351,-0.985261188122224,0.241144198304185,-4.08577604209823,4.39297370533304e-05,0.09438503686531,"CD4_TCM","week44","BCG_treated",6,4
"RPL14",560.674674795199,-0.744910361095532,0.184349751013288,-4.04074514340862,5.3281636543727e-05,0.0995232082845914,"CD4_TCM","week44","BCG_treated",6,4
"STX18-AS1",305.320005952951,0.563620842906717,0.13970394290727,4.03439467188716,5.47432388804133e-05,0.0995232082845914,"CD4_TCM","week44","BCG_treated",6,4
