"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"IFI30",93.4789295372413,-2.47194996716285,0.400743687083795,-6.16840650728946,6.89816168074064e-10,6.01243772093354e-06,"DC","week12","media_treated",5,4
"IL1R1",27.0035693577875,-3.55825294589807,0.599338072281766,-5.93697131962816,2.90335432054893e-09,1.26528181289522e-05,"DC","week12","media_treated",5,4
"TBC1D8",111.530952347372,-1.86071255172408,0.318194264528683,-5.84772498800448,4.98341553951443e-09,1.44784832808026e-05,"DC","week12","media_treated",5,4
"WNT5B",25.087151754865,-5.0734717389116,0.881895727025713,-5.75291566047431,8.77172529535048e-09,1.91135894185687e-05,"DC","week12","media_treated",5,4
"LAMP3",305.878753309447,-1.87922406322209,0.346925021883884,-5.41680174297449,6.06745543522631e-08,0.000105767883146865,"DC","week12","media_treated",5,4
"IL13RA1",66.428327096645,-1.36262486274202,0.255614946175878,-5.33077147141646,9.77964219882657e-08,0.000142065602341621,"DC","week12","media_treated",5,4
"CTSH",35.0103055390462,-1.53064430586603,0.298365399690487,-5.13009989581187,2.89588457378685e-07,0.000315506624314077,"DC","week12","media_treated",5,4
"ENSG00000224228",23.6539054608924,-3.3452910862903,0.651890917831373,-5.13167309865121,2.87177949990929e-07,0.000315506624314077,"DC","week12","media_treated",5,4
"RAB9A",67.7150509794155,-1.43458470438927,0.28451537742258,-5.04220445792824,4.60199187309722e-07,0.000342969849107253,"DC","week12","media_treated",5,4
"SPECC1",101.285621024026,-1.8564944257784,0.368550959161614,-5.0372801362438,4.72193459073777e-07,0.000342969849107253,"DC","week12","media_treated",5,4
"EMILIN2",54.0054308442185,-1.5982634835063,0.316452748336459,-5.05055965514002,4.40517508284379e-07,0.000342969849107253,"DC","week12","media_treated",5,4
"MS4A6E",33.0449443359417,-1.92662679020458,0.379384121368364,-5.07830107189416,3.8082488427981e-07,0.000342969849107253,"DC","week12","media_treated",5,4
"ADGRL1",28.787429976722,1.63923931198861,0.328000275278899,4.99767663485882,5.80251804663198e-07,0.000389036517649572,"DC","week12","media_treated",5,4
"KDM2B",344.757548183874,-1.22582179474866,0.256915983272332,-4.77129440969532,1.83045755704968e-06,0.00113959057623178,"DC","week12","media_treated",5,4
"LYZ",115.355082674484,-1.81944265971097,0.384925692877549,-4.72673737652987,2.28156039980824e-06,0.00132573869631524,"DC","week12","media_treated",5,4
"ANXA2",95.4864973510899,-1.04088374174414,0.226013650892511,-4.60540209688117,4.11669630105518e-06,0.00224257030999981,"DC","week12","media_treated",5,4
"BIRC3",566.204795448925,-1.47217265098338,0.327322602166679,-4.49761990537311,6.87184072303446e-06,0.00352323316129226,"DC","week12","media_treated",5,4
"MAP3K14",267.425126205288,-1.0533494134703,0.236732827486161,-4.44952829168516,8.6059093417263e-06,0.00357674421271098,"DC","week12","media_treated",5,4
"P2RX7",10.2572822964683,-2.30724882182981,0.515162357531111,-4.47868286201496,7.51050171027619e-06,0.00357674421271098,"DC","week12","media_treated",5,4
"NRXN2",12.7711680500728,-3.40195747118431,0.765194091471004,-4.44587524799677,8.75347376365881e-06,0.00357674421271098,"DC","week12","media_treated",5,4
"DUSP1",12.9241722885833,-2.07234147798219,0.466824302918287,-4.43923220155257,9.02803725099145e-06,0.00357674421271098,"DC","week12","media_treated",5,4
"TBC1D4",156.602342854812,-1.23651458889236,0.277125453738584,-4.46193076893897,8.12244699010752e-06,0.00357674421271098,"DC","week12","media_treated",5,4
"KCNK13",9.97093368577166,-3.14355433933591,0.715681582187076,-4.39239239569281,1.12110121044288e-05,0.00424848615226963,"DC","week12","media_treated",5,4
"RASSF4",90.1220427627486,-1.93587126175731,0.441874823338215,-4.38103996768237,1.18114200783498e-05,0.00428951405845404,"DC","week12","media_treated",5,4
"FAM20C",30.2730836113317,-2.21754211392933,0.508102079772629,-4.36436338721868,1.27493493652579e-05,0.00444493316270353,"DC","week12","media_treated",5,4
"FABP5",20.9499463958855,-1.97813074706134,0.461390383199835,-4.28732548204105,1.80837228516969e-05,0.00583769364353296,"DC","week12","media_treated",5,4
"ZNF366",138.426284298619,-1.02246524679673,0.238325148283609,-4.29021131072577,1.78503190145936e-05,0.00583769364353296,"DC","week12","media_treated",5,4
"PPP2R2B",9.89275204202535,-3.33705211300154,0.795460133217085,-4.19512175865493,2.72725044428789e-05,0.00848954102586188,"DC","week12","media_treated",5,4
"BASP1",144.273429623511,-1.56712469896768,0.379921571566403,-4.1248636988589,3.70954373757362e-05,0.0111490976609282,"DC","week12","media_treated",5,4
"NAV1",82.2667616569502,-1.4091609990977,0.345951646993811,-4.07328888687993,4.6353869055458e-05,0.0134673440895791,"DC","week12","media_treated",5,4
"PTPRK",185.714131426965,-2.48908604343289,0.622224121886938,-4.00030464245674,6.32609925913398e-05,0.0177865423040683,"DC","week12","media_treated",5,4
"CFP",22.8203115061735,-1.68811659846774,0.424148817716565,-3.98001014727764,6.89123266432294e-05,0.0187699949694496,"DC","week12","media_treated",5,4
"SLC15A3",22.4632482650041,-1.3991630707311,0.352913923399636,-3.96460150184187,7.35186596141042e-05,0.019417837490804,"DC","week12","media_treated",5,4
"NAA25",164.597523867141,-1.10839501525495,0.28354644335266,-3.90904220892089,9.26627743384409e-05,0.0237543747392309,"DC","week12","media_treated",5,4
"ITGAX",25.8381760072388,-2.96896269598454,0.765661197728294,-3.87764549750387,0.000105472251785186,0.0262656041874194,"DC","week12","media_treated",5,4
"STON2",29.9650282445595,1.33216067520377,0.345186045956458,3.85925413500581,0.000113733617073224,0.0275361724002839,"DC","week12","media_treated",5,4
"HCK",59.7763014248907,-1.4507239677013,0.382286988754357,-3.79485572456529,0.000147729336085215,0.0334809618540685,"DC","week12","media_treated",5,4
"KYNU",1097.62974655927,-1.24594798718096,0.328042980502286,-3.79812421309309,0.000145795260440465,0.0334809618540685,"DC","week12","media_treated",5,4
"CRLF2",280.95922403963,-1.08504209538271,0.286437072821834,-3.78806445930138,0.00015182546385719,0.0334809618540685,"DC","week12","media_treated",5,4
"ENSG00000253194",16.382663541541,-1.99489315510459,0.527039801682359,-3.78509013690561,0.00015365287679701,0.0334809618540685,"DC","week12","media_treated",5,4
"TIMP1",15.4328246203632,-2.11365208183199,0.559586747769372,-3.77716607882056,0.000158622963521253,0.0337209207329572,"DC","week12","media_treated",5,4
"HLA-L.1",37.1519194109836,-1.3537332187915,0.360433978763598,-3.75584239708817,0.000172759390281298,0.0358516868021855,"DC","week12","media_treated",5,4
"TTYH2",37.4359250246141,-1.4513999231782,0.395380130890541,-3.67089747253894,0.000241700287029371,0.0478786295851818,"DC","week12","media_treated",5,4
"CERS6",584.780752610556,-0.702445693319679,0.191193220833526,-3.67400941444104,0.000238773928712452,0.0478786295851818,"DC","week12","media_treated",5,4
"ADAM9",57.7418602801544,-0.95554879296146,0.261164681717393,-3.65879791508509,0.000253401053178098,0.04908096843334,"DC","week12","media_treated",5,4
"CSF2RA",313.699706146699,-0.850760134584237,0.233728499333997,-3.63995035696739,0.000272690609141749,0.051668942375641,"DC","week12","media_treated",5,4
"PNRC1",91.3521856576623,-0.752205475074522,0.209729778444623,-3.58654589087422,0.000335087116337165,0.0621408362977602,"DC","week12","media_treated",5,4
"TSC22D2",150.186656302126,-0.633848232563412,0.177711012779226,-3.56673580691847,0.000361455559413956,0.0656343053302508,"DC","week12","media_treated",5,4
"FLT3",86.9473949023016,-1.1850424760641,0.338848595418467,-3.49726247087025,0.000470059103733381,0.0836129622069418,"DC","week12","media_treated",5,4
"DAPP1",233.287504136857,-0.918473918924334,0.2676712986916,-3.43135003048109,0.000600585104449417,0.0987679201958702,"DC","week12","media_treated",5,4
"REL",462.283075840909,-0.998596651115806,0.290581855011553,-3.43654166250712,0.000589191728704998,0.0987679201958702,"DC","week12","media_treated",5,4
"IDO2",25.926084305757,-1.71631024042555,0.499752993449298,-3.43431707848224,0.000594048863020234,0.0987679201958702,"DC","week12","media_treated",5,4
"SIRPA",51.8507047337078,-1.35223770610292,0.393484519657555,-3.43657155122584,0.000589126722392557,0.0987679201958702,"DC","week12","media_treated",5,4
"TBL1X",272.375617415886,-0.913927780741109,0.26783960403044,-3.41222047444947,0.000644359742759451,0.099477739476757,"DC","week12","media_treated",5,4
"CD58",283.772529835532,-0.877422347127087,0.257298244524724,-3.41013732428624,0.000649301773645796,0.099477739476757,"DC","week12","media_treated",5,4
"ITFG1",216.268950072782,-0.567100389466951,0.166156963428454,-3.41304016253968,0.00064242473760526,0.099477739476757,"DC","week12","media_treated",5,4
"WNT2B",43.3713229578102,-1.28570797121617,0.37726052916459,-3.40801083554449,0.000654382961317442,0.099477739476757,"DC","week12","media_treated",5,4
"NDUFAF2",34.775905135942,1.01942263726356,0.299401772111607,3.40486507502552,0.000661967518317107,0.099477739476757,"DC","week12","media_treated",5,4
"RNF144B",131.839165655842,-1.06617625998798,0.314822447319498,-3.38659542566217,0.000707656610709376,0.104541271507507,"DC","week12","media_treated",5,4
"RUFY3",216.415139212762,-0.863058187025053,0.255771954211606,-3.37432690650291,0.000739964357403835,0.106530901319206,"DC","week12","media_treated",5,4
"KCNN1",9.60263982856191,-1.79415767595888,0.532035916160703,-3.37224916863874,0.000745569639797108,0.106530901319206,"DC","week12","media_treated",5,4
"PKD2L2-DT",10.7740366637525,-1.57947844644814,0.470322439809427,-3.35828851178807,0.000784267090983266,0.110252773629196,"DC","week12","media_treated",5,4
"GSAP",103.562063775018,-1.32213113525114,0.395387546166971,-3.34388664506091,0.000826134855391872,0.114295101580882,"DC","week12","media_treated",5,4
"CD83",594.529151423892,-1.0757288017129,0.323002541926695,-3.33040351724858,0.000867202113826394,0.117038081354637,"DC","week12","media_treated",5,4
"GABPB1-AS1",40.2183182589926,1.05842497863576,0.317978433153667,3.32860618293651,0.000872817265724115,0.117038081354637,"DC","week12","media_treated",5,4
"CCL22",276.008407332112,-1.53599856648558,0.463577729184163,-3.31335711313988,0.000921831955455861,0.118157166525784,"DC","week12","media_treated",5,4
