"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"IGSF9B",59.314967298612,-1.00871751009997,0.256463414828427,-3.9331828704488,8.38284131811544e-05,0.303966928755197,"MAIT","week12","BCG_treated",6,4
"CA5A",3.31310009391353,-5.16143632032969,1.27714747965968,-4.04137846453335,5.31379187615822e-05,0.303966928755197,"MAIT","week12","BCG_treated",6,4
"MME",4.69017006667414,-3.94593063157134,1.00642160462321,-3.92075310530387,8.82726669827783e-05,0.303966928755197,"MAIT","week12","BCG_treated",6,4
"ENSG00000227240",13.5255926546039,3.00366249146448,0.708480227346472,4.2395854895123,2.23932901705766e-05,0.303966928755197,"MAIT","week12","BCG_treated",6,4
"MTCO1P12",4.79397316362779,5.01415884036798,1.31508606957268,3.81279899193006,0.000137401856257748,0.378514633618844,"MAIT","week12","BCG_treated",6,4
"ATXN1",257.678816427448,0.537400837111514,0.150400913024729,3.57312217262375,0.000352750079103908,0.809796598262871,"MAIT","week12","BCG_treated",6,4
"ZNF215",2.69556738451419,4.20347209809093,1.20886805998583,3.47719675722113,0.000506685842168145,0.872386348753004,"MAIT","week12","BCG_treated",6,4
"ENSG00000287352",3.51982525989153,-4.9135273449188,1.41079340310491,-3.48281139825646,0.000496177788429057,0.872386348753004,"MAIT","week12","BCG_treated",6,4
"GRAP2",187.640083212184,-0.603178222644058,0.179208822649624,-3.36578419369088,0.000763263972276193,0.95574526855748,"MAIT","week12","BCG_treated",6,4
"IL1RL1",5.98317837926593,4.55560421545518,1.34928514037355,3.37630948354916,0.000734652313344028,0.95574526855748,"MAIT","week12","BCG_treated",6,4
"DIAPH2",62.1473814663733,0.743474810589021,0.217626379454336,3.41628993899162,0.000634806187149772,0.95574526855748,"MAIT","week12","BCG_treated",6,4
"DPM1",16.6674587061476,0.0725107595116994,0.388293782615509,0.186742005043897,0.851862920109633,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SCYL3",25.9140369393201,-0.228790679474421,0.291191174714242,-0.785706090505463,0.432039694271974,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"C1orf112",12.9886960712107,0.927566962865257,0.557891558780745,1.66262949898799,0.0963866224532458,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CFH",8.19036433012382,-1.47348300878015,1.25292011621102,-1.17603907042066,0.239579263690966,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"FUCA2",1.1792793245838,0.339621328826332,1.30025865052624,0.261195208114078,0.793941973265357,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"GCLC",13.3883433309822,0.413692302996579,0.383077624922687,1.07991768791004,0.280178835956406,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"NFYA",11.3302476686897,0.0349134798141937,0.406281013630895,0.0859343130563135,0.931518634516464,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"STPG1",3.23309752063669,1.18436741568536,0.885071909777521,1.33815953551511,0.180844436645915,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"NIPAL3",39.6269494840393,-0.035943945726506,0.296092477029352,-0.121394322770797,0.903378713398849,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"LAS1L",14.7054580192602,0.207342080459362,0.363264607265086,0.570774240904943,0.568152686171767,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ENPP4",2.63776299316371,0.601551237732688,0.848424580707869,0.70902146332299,0.47831115764772,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CFTR",0.827236135272711,-0.0769014081525839,1.47253620604381,-0.0522237808734029,0.958350384388743,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ANKIB1",94.0354226283326,0.068663403954345,0.177535512490675,0.386758699659887,0.698934855206364,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CYP51A1",8.33476229600733,0.33529127090127,0.503132462223289,0.666407548858313,0.505150638725891,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"KRIT1",46.9594695956377,-0.00911689813895085,0.203664217980409,-0.0447643588518225,0.964295134115563,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RAD52",8.89102229619178,0.16969378698449,0.465496022450928,0.36454401068997,0.715451815539625,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"BAD",5.1813255514138,-0.00168486437084028,0.625100480116179,-0.00269534966686818,0.997849424718797,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"LAP3",11.2161310953168,0.557247214003204,0.49243624864092,1.13161290530735,0.257797212051636,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CD99",38.2216554463892,0.455246040496573,0.301292568082001,1.51097666761124,0.130794395621119,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"HS3ST1",1.50450868270044,1.14910474099962,1.38007383897448,0.83264004327008,0.405047768239291,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"HECW1",0.872076335056043,2.61305800303181,1.47209030127398,1.77506638062244,0.0758869272954865,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MAD1L1",72.961039496586,0.0472375259907022,0.242944469130092,0.194437544348488,0.845833294696743,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"LASP1",41.0007526099162,-0.173440476086696,0.25534049262226,-0.679251748539846,0.496978363627096,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SNX11",2.98594307926803,-0.0216462242681476,0.752866366436346,-0.028751748295795,0.977062584234496,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"M6PR",17.6407248317579,0.102833202642193,0.367605229000684,0.279738138986052,0.779678415316745,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"KLHL13",1.06077627435879,-0.507884597110824,1.41301356924076,-0.359433630480789,0.719270719862637,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ALS2",10.5341791305182,0.395910329426645,0.444776370667418,0.89013345927652,0.373394228730716,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CASP10",29.5865709652759,0.0524877539858293,0.366696980188753,0.143136586395699,0.886182310661247,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CFLAR",157.726117524364,0.0143313770862017,0.190372082546766,0.0752808757170641,0.939991237266546,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TFPI",4.05182591578591,0.185284926975599,0.781671044693119,0.237036958492355,0.812628118424309,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"NDUFAF7",16.8529079698661,0.0370855518914981,0.409841006696977,0.0904876556652564,0.927899703062142,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RBM5",95.9113458770328,0.020688222489177,0.21876433775188,0.0945685329783565,0.924657544832514,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ARF5",3.59429775891032,-0.0473146055474448,0.699172972942387,-0.0676722461801217,0.946046542989303,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SARM1",9.74677897035892,0.399792619355683,0.472778147366162,0.84562415074157,0.397762448429896,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"POLDIP2",5.91084093828816,-0.397076264884961,0.619987996634632,-0.640457987961602,0.5218748938214,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PLXND1",19.9112416742674,0.237209251368815,0.537651456856343,0.441195217354719,0.65907167531825,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"AK2",11.0284530940388,0.749804376794946,0.448544151679955,1.67164006929232,0.0945953184664342,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CD38",11.6148027371497,-1.03504473875938,0.682872720124378,-1.51572131710117,0.129589835047524,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"FKBP4",7.09365517803349,-0.28026676968975,0.47810868437877,-0.586198868263424,0.557741882143176,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"KDM1A",32.3994639489731,0.146482332805526,0.267477571510632,0.547643422879305,0.583936767304666,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RBM6",160.040054341604,0.33498077992033,0.217628451287717,1.5392324759848,0.123747551889701,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CAMKK1",3.48132158072931,-0.430031853635515,0.670286282747898,-0.641564454925978,0.521156018291342,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RECQL",22.8286590546173,-0.0538959685323872,0.289321523223622,-0.186283992742323,0.852222059695909,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"VPS50",46.9321673900043,-0.333993971755143,0.206807905001508,-1.61499615671222,0.10631152716333,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ARHGAP33",1.42713609229265,1.64301950651387,1.4559193689484,1.12850995841934,0.259104613588347,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"NDUFAB1",5.24645734515352,-0.366128268812776,0.66312161052355,-0.552128392443295,0.58086039058048,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ABCB5",1.96163470702283,2.91357379153197,1.50014968809535,1.9421887126685,0.0521142590249805,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SLC25A13",29.5887323651922,-0.0996738515710348,0.290550368669118,-0.343051884695919,0.731559427480124,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ST7",17.3050908690589,0.201636230763146,0.372281541840775,0.541622960316914,0.588078271368758,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CDC27",44.5978533403859,0.0466982383943083,0.270865691775973,0.17240366651134,0.863120189880274,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"HCCS",1.85003757081719,0.538075665805206,1.02076798330778,0.52712827459731,0.598104513040206,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"DVL2",7.75597072436143,-0.3726736528004,0.488467184238546,-0.762945116530904,0.445496127994025,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"UPF1",20.5107484437433,0.245806286422324,0.310901581908873,0.790624109768507,0.429163373367694,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SKAP2",10.9333013100183,-0.226664018261226,0.460920793258567,-0.491763490769817,0.622886548783942,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SLC25A5",5.44012534539081,-0.513943942732929,0.609397514122692,-0.843364028934084,0.399024883134079,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MCUB",111.918514697682,-0.129009988585976,0.228611303429603,-0.564320252982165,0.572536200472389,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"POLR2J",0.949491011716089,0.724000861479518,1.5581485858908,0.464654570196592,0.642178846557344,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"DHX33",10.3005488399567,-0.0976029414957719,0.418426085468137,-0.233262085910761,0.815557897637898,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"THSD7A",3.93626247094325,1.61895904372157,1.25792978477628,1.28700271137112,0.19809334309464,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"LIG3",11.3696479469424,-0.253978970702998,0.41001288407097,-0.619441438476934,0.535625589590688,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RPAP3",16.3607668199715,0.245027461868127,0.383026059580091,0.639714859445201,0.522357993167598,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ACSM3",4.70342368192042,-0.296213222492335,0.697520243990402,-0.424666129828357,0.671080077930416,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CIAPIN1",8.3819361668738,0.391295850915125,0.513529808410058,0.761973004306445,0.446076116320472,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SPPL2B",11.6687095072075,0.290763448666386,0.439590265890248,0.661441963637521,0.508328921973131,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ATOSB",0.561426705142883,1.1514201333602,1.65651888540243,0.695084217576227,0.487002524821761,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MSL3",44.8471738853462,0.0731970016425551,0.239965983969579,0.305030739906179,0.760342740215862,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CREBBP",140.168688454643,0.139362775552159,0.142261919134819,0.979621084825147,0.327273193105126,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TSPOAP1",14.3345726435931,0.0591918957431164,0.444018985039554,0.133309380313645,0.893948709398239,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"GCFC2",22.2953962484289,0.0475754205999709,0.32529982061153,0.146250989350483,0.883723254574814,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"WDR54",2.54014424604848,-0.287656219892193,0.843613698160172,-0.340980973305127,0.733117905421695,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CROT",9.09516531964439,-0.58527578151255,0.413064627966406,-1.41691091874405,0.156508973785552,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"KMT2E",271.323451783318,0.212228099189652,0.163401791250735,1.29881133838977,0.19400868253885,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RHBDD2",12.1229237928956,0.344220045017089,0.398934958692791,0.862847533204437,0.388221300790546,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"IBTK",20.7178433262587,0.538505041423143,0.317863393255777,1.69413985016457,0.0902387114237547,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ZNF195",18.6458225033188,0.491023510366186,0.359201580545982,1.36698594037319,0.171629712452448,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MYCBP2",221.603288381031,0.123229922565932,0.169681529170517,0.726242409343775,0.467690177639142,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"FBXL3",30.2718758683079,0.128135879752657,0.278650427669919,0.459844547249155,0.645627805455807,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ITGAL",104.172693234261,-0.0368363890768846,0.29267718756493,-0.125860130689935,0.899842642743188,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PDK2",1.73106669352428,0.910271787332732,1.05652009425645,0.861575461064333,0.38892117929392,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ITGA3",4.67960478719767,0.219769772649365,0.629788300544285,0.348958169688818,0.727120713610823,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ZFX",51.0936065732892,-0.203212529472506,0.232417607315976,-0.874342231723584,0.3819319069874,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"LAMP2",15.7065308104126,-0.0109903532353405,0.368639798274201,-0.0298132575125969,0.976215985501191,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"GDE1",6.75226021374042,-0.216352032031296,0.554429268453144,-0.390224766875886,0.696370349140941,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"REX1BD",4.18998609627308,-0.410616669882967,0.687360687662575,-0.597381661845255,0.550252594297402,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"OSBPL7",6.70496904458597,-0.0854587787987912,0.564272412898108,-0.151449507091573,0.879621138799995,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MAP3K14",36.6336384515675,0.274352449964362,0.278856650204927,0.983847614043791,0.325190444232573,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"AP2B1",64.4392938530257,0.114597379703295,0.21084788381961,0.543507374261048,0.586780514965074,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ZNF263",5.50545082618657,0.810327488320517,0.66053883214178,1.22676737368044,0.219910036812259,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TNFRSF12A",0.720448421400679,1.32023863069312,1.51618264583336,0.870764900469798,0.383882533715241,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MAP3K9",7.53911517997929,0.53889445478545,0.529090044918842,1.01853070183566,0.308425818006871,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RALA",128.240085037515,0.287009094324048,0.2327775733031,1.23297571261443,0.217584825685917,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"BAIAP2L1",4.22249344426179,0.0613097930853869,0.871445632948932,0.0703541228130519,0.943911805411135,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"KDM7A",68.4862543721664,0.31675903473905,0.275183194285362,1.15108422795098,0.249697585930402,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"AGK",12.7587688943844,0.0858056669592395,0.402544963127149,0.213157969466722,0.83120375035767,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TTC22",2.55418434577534,0.174462019744956,0.849024276261266,0.205485313698227,0.837192971255942,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PHTF2",70.2284980065126,0.0874598817810769,0.268500660060084,0.325734326915641,0.744625370320814,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"FARP2",14.5003690949646,0.113733594737497,0.412231280014145,0.275897536774973,0.782626765885608,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"GGCT",3.79773972726541,-0.468972836572158,0.834466867397271,-0.562002944508629,0.574114012938979,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"DBF4",14.1674209105204,-0.313961732149134,0.419901043522523,-0.747704100745568,0.454638657139118,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"IFRD1",17.1660564913407,0.14928407593749,0.352730814080479,0.423223801205612,0.672131982940856,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"COX10",27.714573963298,0.0811000634473368,0.269450174287001,0.300983525662724,0.763427057001752,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"GTF2IRD1",11.3008414846378,0.0880969769440341,0.527740499300002,0.166932378812857,0.867423255987528,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PAF1",8.03245065051871,0.0759034127454117,0.460465269914079,0.164840689851756,0.869069376234967,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"VPS41",42.6733753909639,0.224580221924246,0.228380151855286,0.983361382763913,0.325429609339557,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ELAC2",8.44697326109248,0.433493636140171,0.574376957953111,0.75471975353085,0.450417151550468,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ARSD",0.922034007064897,-0.0949437907011534,1.32147897802548,-0.0718466144978076,0.942723975641981,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PNPLA4",1.10277521060124,0.315306451350809,1.3212036976648,0.238650899863591,0.811376292879586,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ADIPOR2",33.9555252764119,-0.0272841366981391,0.244008950345893,-0.111816130758575,0.910969197237563,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CDKL3",3.53329347237531,1.0552652336024,0.761766739571625,1.38528656973895,0.165964858725721,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"UPP2",4.90127547886067,-0.449725427589601,0.641429469643105,-0.701129974336587,0.48322190574951,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MARK4",31.76428704135,-0.0290993757174135,0.253586664664327,-0.114751206479774,0.908642325064905,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CCDC124",3.17518272369979,-0.0274837448452448,0.828870189149528,-0.0331580809697653,0.973548526266038,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CEACAM21",25.416372467311,0.204447641839606,0.309370591958517,0.660850278448639,0.508708335329332,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PAFAH1B1",102.434981379075,0.0419585666730183,0.164260601370277,0.255439017774172,0.798384038228213,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"DNAH9",1.07093090179122,-0.639998454836556,1.39269032771102,-0.459541106951202,0.645845639776274,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"BLTP2",46.6991912580636,0.268968468429103,0.250568683792518,1.07343209996593,0.283077288499141,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"GAS7",17.4728440475137,-0.961875996789547,0.570150924384169,-1.687055050956,0.0915927669679294,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TRAPPC6A",3.98612779963637,0.0382436068376948,0.684382373099184,0.055880467324883,0.955437031329155,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MATK",2.11843229867628,-0.576083451338323,0.876235732582853,-0.657452589430723,0.510889946272832,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CD79B",1.01763619826866,-1.26903137653554,1.22756795548017,-1.03377688450587,0.301240480358606,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ST7L",9.01296103977317,1.4656978536384,0.598828043442348,2.44761057817679,0.014380699019627,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RPUSD1",1.1039246651056,-0.348086207420107,1.21664653040864,-0.286102987778376,0.774799243247565,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"LUC7L",55.6547393100956,-0.258440798792132,0.25040038528829,-1.03211022816352,0.302020482892264,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CACNA2D2",3.28189905406441,-0.213326477389555,0.829891436757805,-0.257053474636361,0.797137492799412,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"BAIAP3",1.18733145361774,-1.67120489041779,1.42322730694855,-1.17423610568639,0.240300467798742,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TSR3",1.72099452157897,1.37183630170516,1.15763393896598,1.18503462582525,0.236003756773498,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PIGQ",3.85965887664368,1.34421821655992,0.816418177576408,1.64648246876414,0.0996644665440234,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CRAMP1",29.6761455995492,0.10956198948921,0.265069628844414,0.413332866412691,0.679362753164773,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"DNAJC11",19.4376074772965,0.442911856490089,0.316727386890304,1.39840087981873,0.161992719120562,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MYLIP",6.08283185879746,0.410348432235293,0.666391557290667,0.61577675729212,0.538041869535957,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"E2F2",1.18219244406173,2.01772653603784,1.99734814303687,1.0102027245836,0.312398174192761,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PSMB1",15.2397102934826,-0.482213170845077,0.354282511494591,-1.36109786737932,0.173482763529043,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"JARID2",141.117252909083,0.465673726539137,0.17512973765156,2.65902143624315,0.00783679766297223,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CDKL5",13.4801428345121,0.445003726783088,0.391218380938598,1.13748164315657,0.255336994222818,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CDK11A",31.8588536665118,-0.124376933921172,0.296527661143553,-0.419444625980305,0.674891215794722,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"NADK",7.30300346202774,-0.220262457178459,0.580685344735539,-0.37931464807119,0.704454223418596,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"DLEC1",3.18213662122161,-0.611203317547925,0.739652764884306,-0.826338177270963,0.408612282595126,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CYTH3",26.6187509826284,-0.178278447519959,0.519530663407195,-0.343152887936913,0.731483445088172,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ADAM22",4.13438442712981,0.700457647451785,0.741957992754857,0.944066448898296,0.345135693059813,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SYPL1",8.45994282233899,0.928038250428744,0.509979769421221,1.81975502965927,0.0687963188963415,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CYB561",5.848909226624,-0.0513224137899275,0.613924339562361,-0.0835972944589767,0.933376618117074,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SPAG9",72.3190221996625,0.167003115674118,0.214458658299262,0.778719390480737,0.436145031202072,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SS18L2",6.10572155317673,-0.42869924931591,0.552760666506901,-0.77556033793978,0.438008626265899,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MPND",1.46285644529313,0.357977593458668,1.11739018142275,0.32036937446762,0.748688338709928,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CRY1",38.6955930547644,-0.172935717091236,0.245964949632069,-0.703090897097026,0.481999104671357,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"NFIX",3.88914234366897,-0.33832959401125,0.736725305471061,-0.45923438695366,0.646065859405828,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"ST3GAL1",96.2270829408567,-0.294552982141762,0.221136765861203,-1.33199461878103,0.182861956810063,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MMP25",4.41729611005229,0.293178555158833,0.874839151215225,0.335122810577903,0.737532446429569,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"IL32",92.4969695888353,-0.0544699241274137,0.297797622208755,-0.182909197606791,0.854869266000946,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"PKD1",10.5627673134501,0.421829396143587,0.483586811101176,0.872293012257797,0.383048548737574,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"MED24",12.066671769974,1.0407927363127,0.448297492199538,2.32165638760575,0.0202514450507883,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RHOBTB2",1.42641358553988,-0.917551432096524,1.2327077402662,-0.744338176945641,0.456671910448228,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"HEATR5B",38.5255196030314,-0.223414157696228,0.224986846225788,-0.993009864550119,0.32070514721708,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"SEC62",45.0313304429096,-0.0742629168593782,0.271944280498419,-0.273081370651625,0.784790666733273,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"RPS20",18.1846811483975,0.00101496359015185,0.430882519730278,0.00235554598684391,0.99812054796289,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"CSDE1",91.7872964234015,0.0305991068622193,0.174009541638915,0.175847293050833,0.860413914017109,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"UBE3C",80.1433402085203,-0.00772448898387342,0.17686574542081,-0.0436743076817665,0.965164019169315,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"REV3L",61.2902767715306,0.192467833207734,0.207343874402783,0.928254252806374,0.35327569814883,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TENM1",26.602917847955,-0.497297210343179,0.350964085353249,-1.41694615231825,0.156498671509462,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"FAM76A",7.41326746395031,0.0498279922587076,0.503003510889685,0.0990609233931082,0.921089898046067,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"TRAF3IP3",58.8818859422569,-0.257051062858088,0.22645211159498,-1.13512327638541,0.256323670192285,0.999971497386551,"MAIT","week12","BCG_treated",6,4
"POMT2",5.83847067385558,0.476560649317176,0.564107526497076,0.844804628430438,0.398219929990994,0.999971497386551,"MAIT","week12","BCG_treated",6,4
