"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"NEAT1",429.725023549374,-0.834987148039458,0.195346643315876,-4.27438697622912,1.91663899773394e-05,0.25061971534369,"MAIT","week44","media_treated",5,5
"CHN2",39.8048273090378,1.04434807860716,0.279066799163173,3.74228708588341,0.000182353018020982,0.572533636051399,"MAIT","week44","media_treated",5,5
"SUSD1",8.72596368473324,1.85438556787834,0.508114892810721,3.64953988579336,0.000262710447866962,0.572533636051399,"MAIT","week44","media_treated",5,5
"IGSF11",2.8755902584952,-4.16730162291419,1.13461062238037,-3.67289142258458,0.000239821400751134,0.572533636051399,"MAIT","week44","media_treated",5,5
"ZEB2",31.7796257400643,1.53783920671125,0.409567418919875,3.75478892038553,0.000173487620915024,0.572533636051399,"MAIT","week44","media_treated",5,5
"ENSG00000197585",7.55986019336086,2.21476935509696,0.606842719932941,3.64965959440314,0.00026258805509201,0.572533636051399,"MAIT","week44","media_treated",5,5
"GM2A",9.22273231273134,-1.66585407962861,0.466537309620548,-3.57067708257569,0.000356059639376154,0.665119406354655,"MAIT","week44","media_treated",5,5
"ENSG00000250602",2.7801592180591,3.97459909285376,1.14440141715471,3.47308123991638,0.0005145195876977,0.840982266091891,"MAIT","week44","media_treated",5,5
"SLC44A3-AS1",2.71233453148389,3.4806800585671,1.01264821728596,3.43720553609012,0.000587749412176393,0.853934590402057,"MAIT","week44","media_treated",5,5
"SLC4A10",3.5663683173546,3.80899216810824,1.14006609581124,3.34102749139107,0.000834689577518562,0.88902068801741,"MAIT","week44","media_treated",5,5
"ABCA9",3.84737160516708,3.30834240728116,0.994958884165396,3.32510464495857,0.000883853544220429,0.88902068801741,"MAIT","week44","media_treated",5,5
"CD200R1",16.798862594538,1.20938970872034,0.360775194841418,3.35219750695981,0.000801728007154119,0.88902068801741,"MAIT","week44","media_treated",5,5
"OVCH1-AS1",5.19767790314213,2.6856260960597,0.797574571665487,3.36724137336977,0.000759242035706134,0.88902068801741,"MAIT","week44","media_treated",5,5
"DPM1",10.6664576916298,-0.0745054251175403,0.412495498382952,-0.180621183527125,0.856664927309987,0.99927703374185,"MAIT","week44","media_treated",5,5
"SCYL3",16.835633628941,0.0688366305698846,0.362174689252746,0.190064719077723,0.84925841620005,0.99927703374185,"MAIT","week44","media_treated",5,5
"C1orf112",6.71530988898076,0.471395631408466,0.496897670534208,0.94867748303524,0.342784669566362,0.99927703374185,"MAIT","week44","media_treated",5,5
"CFH",7.96495276639286,-1.37230279391216,0.786181063631831,-1.74553020594606,0.080892619262675,0.99927703374185,"MAIT","week44","media_treated",5,5
"FUCA2",2.29538828766252,-0.134764677106386,0.83916850829617,-0.160593105882881,0.87241388512763,0.99927703374185,"MAIT","week44","media_treated",5,5
"GCLC",10.6810166069738,-0.0293768043703754,0.424832854694788,-0.069149087801791,0.944870948091728,0.99927703374185,"MAIT","week44","media_treated",5,5
"NFYA",8.87980550825718,0.187632353179752,0.460426806548081,0.407518308037866,0.683627350358379,0.99927703374185,"MAIT","week44","media_treated",5,5
"STPG1",2.27339382995308,-0.372018922018804,0.979042031266345,-0.379982585157876,0.703958342366873,0.99927703374185,"MAIT","week44","media_treated",5,5
"NIPAL3",29.7121785099494,-0.156733046722594,0.268330742826567,-0.584103949743459,0.559150377626183,0.99927703374185,"MAIT","week44","media_treated",5,5
"LAS1L",9.31320728033364,-0.344651676732676,0.448744390725686,-0.768035620847145,0.442466022748201,0.99927703374185,"MAIT","week44","media_treated",5,5
"ENPP4",2.61312719951963,1.37744761531107,0.877760092163692,1.56927573673991,0.11658370336322,0.99927703374185,"MAIT","week44","media_treated",5,5
"ANKIB1",52.1891852095047,-0.251491038801983,0.226449582440437,-1.11058292133585,0.266747917428661,0.99927703374185,"MAIT","week44","media_treated",5,5
"CYP51A1",5.83751678427244,-0.171865369508428,0.588837372655904,-0.291872386994126,0.770384196653501,0.99927703374185,"MAIT","week44","media_treated",5,5
"KRIT1",30.3314468696835,0.182480646967338,0.300905317459702,0.606438757905221,0.544223438124258,0.99927703374185,"MAIT","week44","media_treated",5,5
"RAD52",7.90822562099231,0.0582713951809732,0.455942129773462,0.127804366773314,0.898303794221653,0.99927703374185,"MAIT","week44","media_treated",5,5
"BAD",3.5550733160878,0.122977449304147,0.695565851215495,0.176802022539268,0.85966390032669,0.99927703374185,"MAIT","week44","media_treated",5,5
"LAP3",8.03572073936912,0.0755931439144111,0.502193536683524,0.150525919576,0.880349702839746,0.99927703374185,"MAIT","week44","media_treated",5,5
"CD99",24.3145098492301,0.0476201855350828,0.302129412696677,0.157615192476778,0.874760031353217,0.99927703374185,"MAIT","week44","media_treated",5,5
"MAD1L1",59.9138121548892,-0.170424054144421,0.265129975427791,-0.642794364799525,0.520357540155904,0.99927703374185,"MAIT","week44","media_treated",5,5
"LASP1",32.819464492807,-0.138567770458498,0.241167955451786,-0.574569578279649,0.565582431488184,0.99927703374185,"MAIT","week44","media_treated",5,5
"SNX11",2.05515268885729,0.466038239977608,0.899787664589836,0.517942463892355,0.604498413381644,0.99927703374185,"MAIT","week44","media_treated",5,5
"M6PR",13.2728974622011,-0.30580270423484,0.372242615260198,-0.821514495381147,0.411353270887931,0.99927703374185,"MAIT","week44","media_treated",5,5
"ICA1",0.974762580732467,1.00543392905018,1.31108153089996,0.766873688137476,0.44315661897933,0.99927703374185,"MAIT","week44","media_treated",5,5
"ALS2",8.73547184101881,0.209181027947314,0.427134472998368,0.489731082763984,0.624324203859891,0.99927703374185,"MAIT","week44","media_treated",5,5
"CASP10",21.085350606018,0.450857559457742,0.330964476517852,1.36225362975903,0.173117856083711,0.99927703374185,"MAIT","week44","media_treated",5,5
"CFLAR",81.0025194749122,0.0298376167746594,0.203478227534763,0.146637884240277,0.883417849592028,0.99927703374185,"MAIT","week44","media_treated",5,5
"TFPI",3.73198349260832,-0.304728992381186,1.84071225441995,-0.16554949946656,0.86851149233205,0.99927703374185,"MAIT","week44","media_treated",5,5
