"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"TRAF1",196.482964906964,-1.33787258976685,0.244381565398417,-5.47452336507342,4.38690759370485e-08,0.000879311758082199,"NK","week44","media_treated",5,5
"SMAD3",1070.68535226467,-1.15055469630962,0.21769300385276,-5.28521668563964,1.25556049793324e-07,0.00125832273102869,"NK","week44","media_treated",5,5
"ARHGAP31",88.0951026593018,-1.43394869332941,0.304671028125438,-4.70654759053436,2.5194718889491e-06,0.016833431514032,"NK","week44","media_treated",5,5
"KIF13A",102.941878656955,-1.48910998845023,0.324311997492841,-4.59159698056839,4.39867159139986e-06,0.0220417433445047,"NK","week44","media_treated",5,5
"MIR3142HG",61.2859703523542,-1.68235650160786,0.373254791231681,-4.50726029813669,6.56700523480647e-06,0.0263258105852922,"NK","week44","media_treated",5,5
"DHRS3",183.264481399444,-1.14250619342315,0.289834660280427,-3.94192396560759,8.08306028635756e-05,0.270028100632918,"NK","week44","media_treated",5,5
"L3MBTL4",242.974678158179,-1.10028469233996,0.287323168341954,-3.82943254694474,0.000128439081227392,0.337967805492996,"NK","week44","media_treated",5,5
"DAB1",75.8087380877515,-1.43166904186008,0.380568555452201,-3.76192152859012,0.000168612954247154,0.337967805492996,"NK","week44","media_treated",5,5
"GCNT1",395.296040218327,0.944955023520853,0.250359935185107,3.77438595685123,0.000160402264765259,0.337967805492996,"NK","week44","media_treated",5,5
"NBPF26",21.5031811409619,-1.96549418178663,0.51822892994052,-3.79271412349021,0.000149009666493461,0.337967805492996,"NK","week44","media_treated",5,5
"FEZ1",27.0149009231634,-1.89612361118442,0.5147105233984,-3.68386408473869,0.000229724765172427,0.418600290283284,"NK","week44","media_treated",5,5
"NEDD4L",46.0677368865073,-1.15027093976964,0.322925300103118,-3.56203412802382,0.000367992532750189,0.526860166174627,"NK","week44","media_treated",5,5
"NCAM2",22.7199928229981,4.14551037292543,1.16031123870705,3.57275723498536,0.000353242208367749,0.526860166174627,"NK","week44","media_treated",5,5
"PLCB1",750.63844307816,-0.592373709392101,0.165467514523016,-3.58000004471998,0.00034359414868937,0.526860166174627,"NK","week44","media_treated",5,5
"SLC4A7",355.38831430567,0.594434052988553,0.173917867124386,3.41790100590075,0.000631060552819997,0.646345749318289,"NK","week44","media_treated",5,5
"ADGRE5",500.221753455642,-0.575801019938403,0.167482924512807,-3.4379685070186,0.00058609585873463,0.646345749318289,"NK","week44","media_treated",5,5
"IGF1R",490.641611989162,-0.588797917125896,0.169662204555318,-3.47041298130676,0.000519658694336587,0.646345749318289,"NK","week44","media_treated",5,5
"GALM",60.0456179637895,0.909327786602638,0.264369338408719,3.43961138638856,0.00058255001048924,0.646345749318289,"NK","week44","media_treated",5,5
"TNFRSF18",16.5338710086826,-1.99990428442081,0.573925058551305,-3.48460875618315,0.000492857122837044,0.646345749318289,"NK","week44","media_treated",5,5
"LINC00649",33.9790061206943,1.236749068722,0.362472474333287,3.41198065038403,0.000644926910116034,0.646345749318289,"NK","week44","media_treated",5,5
"SYNGR1",17.1670420550447,1.66717915156166,0.496607210397823,3.35713843185264,0.000787536718477138,0.751685046912179,"NK","week44","media_treated",5,5
"POU2F2",104.33307918551,-0.933161977140512,0.285007776481387,-3.2741632128815,0.00105975381816248,0.875315825598421,"NK","week44","media_treated",5,5
"IQSEC3",7.36462241555108,-3.0467796486637,0.932928930971326,-3.26582180862536,0.00109146908266128,0.875315825598421,"NK","week44","media_treated",5,5
"DIAPH2-AS1",10.340180352559,2.8067532660007,0.859451155778493,3.26575076097063,0.0010917429475135,0.875315825598421,"NK","week44","media_treated",5,5
"ENSG00000276241",126.84202747552,1.75152018012053,0.532389999899805,3.28991938325319,0.00100216090528198,0.875315825598421,"NK","week44","media_treated",5,5
"B4GALNT1",93.8761954887543,3.18184333307215,0.981431278188102,3.24204394519238,0.0011867572117778,0.881013390847196,"NK","week44","media_treated",5,5
"MSC-AS1",17.8153301817084,1.65750140222888,0.510494876585916,3.24685217864263,0.00116688979105644,0.881013390847196,"NK","week44","media_treated",5,5
"F2R",130.861411112265,0.80092347323236,0.249202412217889,3.21394751400752,0.00130923602785593,0.937225962226578,"NK","week44","media_treated",5,5
"DPM1",54.0503171311298,-0.0462599117012095,0.263992033627257,-0.175232226009237,0.860897163380666,0.999984058853987,"NK","week44","media_treated",5,5
"SCYL3",63.6758691818638,0.0458606094015527,0.256626186524985,0.17870588353651,0.858168649162937,0.999984058853987,"NK","week44","media_treated",5,5
"C1orf112",38.3041995107229,0.193347752939609,0.323511579661713,0.597653268367666,0.550071313083238,0.999984058853987,"NK","week44","media_treated",5,5
"FGR",111.624021339849,0.0546163851012948,0.224194872952541,0.243611213682199,0.807531942652145,0.999984058853987,"NK","week44","media_treated",5,5
"CFH",1.34644206763198,0.80059196003381,1.373422024962,0.582917665133527,0.559948728109277,0.999984058853987,"NK","week44","media_treated",5,5
"FUCA2",15.6421052694157,0.339288072313706,0.494950764069971,0.685498633285756,0.493029322776736,0.999984058853987,"NK","week44","media_treated",5,5
"GCLC",66.4969124414568,-0.0397251148920509,0.268810211107336,-0.147781271881032,0.882515389911681,0.999984058853987,"NK","week44","media_treated",5,5
"NFYA",45.4845686862353,-0.0605915586365904,0.279213293715168,-0.217008143954641,0.828201998212895,0.999984058853987,"NK","week44","media_treated",5,5
"STPG1",4.43366173723365,0.193802784495609,0.774898791235617,0.250100770174877,0.802509420388395,0.999984058853987,"NK","week44","media_treated",5,5
"NIPAL3",125.953675413181,0.0214901531766718,0.193253582523889,0.111201835929822,0.91145629580274,0.999984058853987,"NK","week44","media_treated",5,5
"LAS1L",44.3990312432066,-0.145592246524128,0.283277591255566,-0.513956101782784,0.607282682470479,0.999984058853987,"NK","week44","media_treated",5,5
"ENPP4",48.8228147223328,0.151245321802746,0.311930939274963,0.484867971591062,0.627770003085851,0.999984058853987,"NK","week44","media_treated",5,5
"CFTR",5.25289521299929,2.85130479595156,1.05543821396998,2.70153644070412,0.00690199165052904,0.999984058853987,"NK","week44","media_treated",5,5
"ANKIB1",413.990622868554,0.074838424956546,0.151778117088441,0.493077832247305,0.621957593521944,0.999984058853987,"NK","week44","media_treated",5,5
