"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"ADAM19",76.3613828500659,2.29203073988729,0.380185128479258,6.0287227673934,1.65260490443686e-09,2.66482540840444e-05,"Treg","week44","BCG_treated",6,4
"HFM1",22.3732044154552,-2.76490192891486,0.561149137474657,-4.92721407602578,8.34103522852788e-07,0.0067249596530006,"Treg","week44","BCG_treated",6,4
"RPS27A",49.0405861999149,-1.03898893043992,0.227870055919689,-4.55956762834212,5.12590479708677e-06,0.0275517382843414,"Treg","week44","BCG_treated",6,4
"MKRN1",54.1055724987858,1.01204720441422,0.245388773028881,4.12426042121782,3.71927896019127e-05,0.136643226291271,"Treg","week44","BCG_treated",6,4
"TLR1",15.3506171781674,2.08021695600189,0.50809359541399,4.09416094746668,4.23699926484561e-05,0.136643226291271,"Treg","week44","BCG_treated",6,4
"PDE1A",7.49621749041327,-3.52245419972222,0.888262232341686,-3.96555664697814,7.32248588816207e-05,0.196791808244356,"Treg","week44","BCG_treated",6,4
"NEDD4L",17.4530368656715,-2.15194668751271,0.553011123124989,-3.89132622749496,9.96977795667747e-05,0.204534751762108,"Treg","week44","BCG_treated",6,4
"BHLHE40-AS1",7.272762031799,3.44696558390524,0.886784491173658,3.88703864153419,0.000101474605525387,0.204534751762108,"Treg","week44","BCG_treated",6,4
"SWT1",56.1628213817419,0.922009492859714,0.24122835799959,3.82214388269095,0.000132296455370364,0.237031149205236,"Treg","week44","BCG_treated",6,4
"GRAMD1B",48.6628363722215,1.10087762388509,0.292820210650818,3.75956844453563,0.000170206708443587,0.249507561241167,"Treg","week44","BCG_treated",6,4
"PCGF5",221.710174982051,0.679161388458926,0.179522613422202,3.78315230327931,0.000154854592115095,0.249507561241167,"Treg","week44","BCG_treated",6,4
"AR",6.44299558968016,3.82105744818896,1.03241143078389,3.70109951735781,0.000214667258079746,0.288459128044659,"Treg","week44","BCG_treated",6,4
"B4GALNT1",13.6125968075462,2.77598039660463,0.755250766616532,3.67557441754189,0.000237314850033306,0.292167468785387,"Treg","week44","BCG_treated",6,4
"RPL13A",124.57088430669,-0.726017139637896,0.198444972298785,-3.65853128566433,0.000253664779100491,0.292167468785387,"Treg","week44","BCG_treated",6,4
"L3MBTL3",73.0155340736309,0.945813348009846,0.26170354592466,3.61406393890486,0.000301434673362767,0.324042273864975,"Treg","week44","BCG_treated",6,4
"RUNX3",96.7547910935073,0.646498930111333,0.181704842231042,3.5579620343265,0.000373743316281906,0.354506527943867,"Treg","week44","BCG_treated",6,4
"GLRX",77.3070724957814,-1.25788064936349,0.352172453776752,-3.57177466855735,0.000354570422202239,0.354506527943867,"Treg","week44","BCG_treated",6,4
"NEDD9",62.3796596430424,0.709069963656588,0.20309532160319,3.49131608773332,0.000480647247018057,0.430579825453676,"Treg","week44","BCG_treated",6,4
"HERC5",36.5690122971555,1.52865436287843,0.444800102074774,3.43672214945097,0.000588799281132779,0.499704653066635,"Treg","week44","BCG_treated",6,4
"FUT8",182.274777535402,0.870897085165084,0.255112935040483,3.41377078754115,0.000640704537283846,0.516568033185101,"Treg","week44","BCG_treated",6,4
"MT-ATP6",55.1300844336099,-0.881650726040071,0.260519454553979,-3.38420302449004,0.000713851966842641,0.548136331682742,"Treg","week44","BCG_treated",6,4
"MED12L",41.255354390886,1.4718629782744,0.444880981008165,3.30844212521502,0.000938165731376255,0.687632837201914,"Treg","week44","BCG_treated",6,4
"KCTD14",4.71188399250515,-3.39508932104965,1.0452358919963,-3.24815608327929,0.00116155533782871,0.814351296629908,"Treg","week44","BCG_treated",6,4
"RPS18",36.7454646409624,-0.893088447984809,0.278114460756079,-3.21122621799984,0.00132169844961014,0.888016145831816,"Treg","week44","BCG_treated",6,4
"DPM1",32.2444064472887,0.271550604035976,0.270321636314229,1.00454631652318,0.315115358131125,0.999806227802229,"Treg","week44","BCG_treated",6,4
"SCYL3",38.0735937717851,0.431921716359883,0.27644532914962,1.56241278407028,0.11819077737276,0.999806227802229,"Treg","week44","BCG_treated",6,4
"C1orf112",43.559888353506,-0.142474343014609,0.243968351005225,-0.583986990228735,0.559229064939425,0.999806227802229,"Treg","week44","BCG_treated",6,4
"FUCA2",3.12549660047075,0.159227234492226,0.730548800980585,0.217955644138354,0.827463671405191,0.999806227802229,"Treg","week44","BCG_treated",6,4
"GCLC",28.131219176287,-0.068224040842653,0.330645297883916,-0.20633603828416,0.836528429671911,0.999806227802229,"Treg","week44","BCG_treated",6,4
"NFYA",25.3063199987346,-0.0712098072849856,0.283510575549656,-0.251171608490892,0.801681434222418,0.999806227802229,"Treg","week44","BCG_treated",6,4
"STPG1",3.64952038565267,0.473388695900658,0.792851669951396,0.597070945098315,0.550460015336257,0.999806227802229,"Treg","week44","BCG_treated",6,4
"NIPAL3",71.8452399124917,-0.205833239343768,0.188663258257145,-1.0910086110313,0.275269093569702,0.999806227802229,"Treg","week44","BCG_treated",6,4
"LAS1L",29.3874230730253,-0.0294122254271273,0.255728282689899,-0.115013580499397,0.908434357796487,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ENPP4",5.83166812287454,0.56114831335023,0.565038081687787,0.9931159182653,0.320653467395506,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CFTR",2.55955465945484,-2.12758441903419,1.05499647287516,-2.01667443800634,0.0437294992017382,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ANKIB1",179.645626026608,-0.200208216990608,0.163126023888746,-1.22732236229305,0.219701453884852,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CYP51A1",10.5241857300351,0.306891744220688,0.44767618702817,0.685521707683274,0.493014767257935,0.999806227802229,"Treg","week44","BCG_treated",6,4
"KRIT1",77.1710893841105,0.130565961799784,0.181888798581353,0.717833988778512,0.472859653532537,0.999806227802229,"Treg","week44","BCG_treated",6,4
"RAD52",21.8333371954868,0.0257761205850572,0.317931188750012,0.0810745264923501,0.935382683897969,0.999806227802229,"Treg","week44","BCG_treated",6,4
"BAD",6.07382973349926,0.0612614391980512,0.609162632424203,0.100566640068281,0.919894479777951,0.999806227802229,"Treg","week44","BCG_treated",6,4
"LAP3",26.3957916643764,0.58410791999896,0.407725827772833,1.43259975260728,0.151972252501452,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CD99",43.2003705369711,0.0032266090060459,0.246596117431185,0.0130845896507122,0.989560305824665,0.999806227802229,"Treg","week44","BCG_treated",6,4
"HECW1",1.14786870647212,1.30311410152389,1.40756388232472,0.925793932259527,0.354553081109354,0.999806227802229,"Treg","week44","BCG_treated",6,4
"MAD1L1",172.162444216911,0.0436106774812288,0.19239613140773,0.226671280561292,0.82067936065769,0.999806227802229,"Treg","week44","BCG_treated",6,4
"LASP1",46.3416274435428,-0.102728373367306,0.330495537127278,-0.310831348163542,0.755928836923029,0.999806227802229,"Treg","week44","BCG_treated",6,4
"SNX11",4.6522229997438,0.342177779507983,0.650220461298069,0.526248864615665,0.598715306830386,0.999806227802229,"Treg","week44","BCG_treated",6,4
"M6PR",33.0089480912294,0.217196871683772,0.288111485835676,0.753863980999531,0.450930900710112,0.999806227802229,"Treg","week44","BCG_treated",6,4
"KLHL13",3.83044520023614,2.09241887498572,0.874256059448196,2.39337074347119,0.0166943624134363,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ICA1",17.2826609555948,0.0916096668479048,0.496768975861268,0.184411006522856,0.85369103593822,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ALS2",18.0011249193675,0.1048956948574,0.406579527385159,0.257995515740838,0.796410368027192,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CASP10",31.6766842378071,0.684778115423848,0.487651299165857,1.40423724205222,0.160248215324987,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CFLAR",291.911166740046,-0.147831867533545,0.118341133021949,-1.24920104919163,0.211591548356256,0.999806227802229,"Treg","week44","BCG_treated",6,4
"TFPI",0.607945754245589,-1.14819500211833,1.87239027814651,-0.61322418489319,0.53972811543828,0.999806227802229,"Treg","week44","BCG_treated",6,4
"NDUFAF7",35.1552237146072,-0.0583572256587643,0.263891850810279,-0.221140688807095,0.82498288933837,0.999806227802229,"Treg","week44","BCG_treated",6,4
"RBM5",163.029507245308,0.0650625037769745,0.154058512018905,0.422323329781289,0.672789031750065,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ARF5",4.94106937139306,0.231717340728436,0.582139191206774,0.398044564304434,0.690597336429812,0.999806227802229,"Treg","week44","BCG_treated",6,4
"SARM1",26.3458068783727,-0.11889575770758,0.318545186244232,-0.373246129095233,0.708965266683067,0.999806227802229,"Treg","week44","BCG_treated",6,4
"POLDIP2",8.0320221045582,-0.866669325920962,0.448653484426344,-1.93171201384761,0.0533950611074026,0.999806227802229,"Treg","week44","BCG_treated",6,4
"PLXND1",3.89910734772357,0.154060875968836,0.767092211998993,0.200837491971615,0.840825645816669,0.999806227802229,"Treg","week44","BCG_treated",6,4
"AK2",28.6946535613636,0.321917323663719,0.267448654235263,1.20366028606202,0.228720907994751,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CD38",27.9002152955268,0.687719424813329,0.339819249315157,2.02378007190382,0.042992785535686,0.999806227802229,"Treg","week44","BCG_treated",6,4
"FKBP4",14.7136605926777,-0.320511622286113,0.355276147014621,-0.902147878430249,0.366978318119399,0.999806227802229,"Treg","week44","BCG_treated",6,4
"KDM1A",56.2538210547266,0.0422379636798211,0.204203245824508,0.206842763489275,0.836132657824728,0.999806227802229,"Treg","week44","BCG_treated",6,4
"RBM6",274.094168960825,-0.0314180054466494,0.143665372899536,-0.218688782220471,0.826892487978783,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CAMKK1",10.6771205330197,0.0341430884053173,0.461157947323131,0.0740377317652372,0.940980362027552,0.999806227802229,"Treg","week44","BCG_treated",6,4
"RECQL",37.4765420512486,0.226121297362229,0.240148619105531,0.941588996865571,0.34640310526417,0.999806227802229,"Treg","week44","BCG_treated",6,4
"VPS50",80.4333614668004,-0.163981375319884,0.19200745080096,-0.854036521165374,0.393084754117067,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ARHGAP33",2.40472189842987,1.11217425893417,0.913466709622702,1.21753124357815,0.223402156504469,0.999806227802229,"Treg","week44","BCG_treated",6,4
"NDUFAB1",8.43449016392971,0.0073077801894741,0.479163200549332,0.0152511298469836,0.987831830675323,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ZMYND10",1.5955969097888,-0.668503283995774,1.30767320299622,-0.511215862238409,0.609199912715395,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ABCB5",0.626714990527826,0.897126383242832,1.57073703693467,0.571149951995527,0.567898000466265,0.999806227802229,"Treg","week44","BCG_treated",6,4
"SLC25A13",36.6291886111298,0.168148355754415,0.282932188121685,0.594306207684286,0.552307327437846,0.999806227802229,"Treg","week44","BCG_treated",6,4
"ST7",18.9495295750182,-0.166395504231157,0.384059099296323,-0.433254945751914,0.664829565491027,0.999806227802229,"Treg","week44","BCG_treated",6,4
"CDC27",86.0240200176501,0.171487300659213,0.213280302853172,0.804046592044035,0.42137006733063,0.999806227802229,"Treg","week44","BCG_treated",6,4
"HCCS",3.17002500569389,-0.256393406144933,0.702877968063646,-0.364776558370821,0.71527820485169,0.999806227802229,"Treg","week44","BCG_treated",6,4
"DVL2",13.694917417487,0.109674666867048,0.415758920507592,0.263793899438521,0.791938735665714,0.999806227802229,"Treg","week44","BCG_treated",6,4
"UPF1",37.4347646066081,0.118949949307517,0.28008509736106,0.424692175443302,0.671061088512394,0.999806227802229,"Treg","week44","BCG_treated",6,4
"SKAP2",19.6820337702411,-0.305651483161495,0.389340381280327,-0.785049529556568,0.432424529405052,0.999806227802229,"Treg","week44","BCG_treated",6,4
"SLC25A5",8.4569938085129,-0.322565114275368,0.44921983896987,-0.718056252847291,0.472722602655505,0.999806227802229,"Treg","week44","BCG_treated",6,4
"MCUB",193.957984992247,0.00391210706000621,0.201588217156272,0.0194064271969504,0.984516883213238,0.999806227802229,"Treg","week44","BCG_treated",6,4
"POLR2J",2.67004247937694,0.377713948172055,0.761794243666107,0.495821478453711,0.620020369663189,0.999806227802229,"Treg","week44","BCG_treated",6,4
