"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"BICDL1",978.654513124712,-0.772023971506499,0.137357303880408,-5.62055274598774,1.90347464421425e-08,0.000115569463023468,"gdT","week44","media_treated",5,5
"GCNT1",272.341266354778,1.48691327557241,0.264189810412112,5.62820069878155,1.82099138997087e-08,0.000115569463023468,"gdT","week44","media_treated",5,5
"PLEK",153.862407441105,1.28543130223392,0.238822993089267,5.38235990432234,7.35155892615773e-08,0.000297566600134444,"gdT","week44","media_treated",5,5
"NLGN4X",14.0703248310831,-2.48306847933485,0.500837598297746,-4.95783161602552,7.1284302429912e-07,0.0014426754740107,"gdT","week44","media_treated",5,5
"USP6NL",73.2597977321423,-1.22908299122141,0.245851192732391,-4.99929643440561,5.75398836966674e-07,0.0014426754740107,"gdT","week44","media_treated",5,5
"FMNL2",34.9316015096783,-1.29899347761948,0.261264544280296,-4.97194704010761,6.62838143219365e-07,0.0014426754740107,"gdT","week44","media_treated",5,5
"PRDM1",44.8197634693931,1.64181271118786,0.341082789105336,4.81353138777347,1.48286298247108e-06,0.00257234359944948,"gdT","week44","media_treated",5,5
"SYNGR1",11.8040687951459,2.46856371612603,0.519412599515238,4.75260653751933,2.00810895850702e-06,0.00304805838539384,"gdT","week44","media_treated",5,5
"CYSLTR1",30.9693108498297,-1.46649344759735,0.316754640873359,-4.62974573491307,3.66115014436224e-06,0.00450927448406242,"gdT","week44","media_treated",5,5
"UBE2E2",385.611068662628,-0.88973656901665,0.192300374274734,-4.62680622631295,3.71347647538699e-06,0.00450927448406242,"gdT","week44","media_treated",5,5
"GNG4",36.1121925717032,-2.60627462865038,0.565794716080556,-4.6063961973786,4.09707433633954e-06,0.00452279760601555,"gdT","week44","media_treated",5,5
"CNR2",40.8194953152726,-1.42227972586709,0.312359663874928,-4.55333991663079,5.28008539252042e-06,0.00534300641011462,"gdT","week44","media_treated",5,5
"ENC1",25.1365622694426,1.34435895978915,0.301544216493156,4.45824819797087,8.26321904091243e-06,0.00716716205812854,"gdT","week44","media_treated",5,5
"APOL6",132.288695124054,0.790721261572698,0.176952935328421,4.4685399544525,7.87553037670432e-06,0.00716716205812854,"gdT","week44","media_treated",5,5
"ORAI2",98.5477188315737,-0.890408588066302,0.203639495762942,-4.37247492059612,1.22845932657695e-05,0.00994478773508264,"gdT","week44","media_treated",5,5
"RORB",9.44389357116768,-3.43228458794293,0.80149071675049,-4.28237597293523,1.84908202431402e-05,0.0140333768882782,"gdT","week44","media_treated",5,5
"GNAQ",308.577376842615,-0.614348700021349,0.144321098759586,-4.2568183398101,2.07356706283294e-05,0.0148113675552826,"gdT","week44","media_treated",5,5
"LTBP3",120.180453734407,-1.32317262933958,0.312235756633312,-4.23773575328693,2.25785284031754e-05,0.0150328989450452,"gdT","week44","media_treated",5,5
"FMNL1-DT",272.7471090694,-0.721524600162675,0.170632285967234,-4.22853503997026,2.35217886812039e-05,0.0150328989450452,"gdT","week44","media_treated",5,5
"PDE9A",140.400630115088,-1.01124181187816,0.241614743361073,-4.18534811994871,2.84729397406235e-05,0.0172873453635195,"gdT","week44","media_treated",5,5
"GSAP",81.0449455803296,1.17593500005968,0.284409766346716,4.13465056128253,3.55495131435885e-05,0.0205560827667902,"gdT","week44","media_treated",5,5
"WDR86",17.4446243501457,-1.52354392427591,0.369955694260896,-4.11817941421248,3.81877344799686e-05,0.02107789362683,"gdT","week44","media_treated",5,5
"JAM3",26.6810047590072,-1.32905140516465,0.325829103260966,-4.07898309838878,4.52331249542244e-05,0.023487095965786,"gdT","week44","media_treated",5,5
"PDE4DIPP2",170.130580696868,-0.818411556205799,0.200938182070172,-4.07295192866825,4.6421008249927e-05,0.023487095965786,"gdT","week44","media_treated",5,5
"SMAD3",1119.48331267468,-0.528919193797247,0.130408760838606,-4.05585629673943,4.99509645682237e-05,0.0242621825100776,"gdT","week44","media_treated",5,5
"ITGB1",328.070024331024,0.814123981135334,0.203220703175083,4.00610749011105,6.17275667025782e-05,0.0288291477872849,"gdT","week44","media_treated",5,5
"PDE4DIP",111.681805451752,-0.809931971961502,0.203255873374858,-3.98479000145678,6.75398279595377e-05,0.0303754122560247,"gdT","week44","media_treated",5,5
"FCGR3A",38.0709114274947,1.70746536618247,0.434809124321681,3.92693085465072,8.60367019893144e-05,0.0373122740091516,"gdT","week44","media_treated",5,5
"NLRP2",19.0770835661521,1.61840510328982,0.413723287627834,3.91180567226291,9.16086130079512e-05,0.0377484051950336,"gdT","week44","media_treated",5,5
"TLR1",25.6046138618781,1.14891625354692,0.294627278209956,3.89955831831764,9.63683242235067e-05,0.0377484051950336,"gdT","week44","media_treated",5,5
"LINC02384",83.1895349567666,1.60236687586405,0.410589031100783,3.90260517083988,9.51628667571805e-05,0.0377484051950336,"gdT","week44","media_treated",5,5
"KLRF1",31.1256275441638,1.95400259259535,0.505907265446889,3.86237305935763,0.000112290916248072,0.0426108936250104,"gdT","week44","media_treated",5,5
"CCL4",22.1225853495535,1.33798305533371,0.347297895795213,3.85255157469386,0.000116893345431646,0.0430132088962568,"gdT","week44","media_treated",5,5
"LRRC8D",814.204168821538,-0.685361076546013,0.179896782398839,-3.80974616336682,0.000139109540838777,0.046922420955702,"gdT","week44","media_treated",5,5
"IRAK4",152.099329590584,0.619159105103387,0.162461650004797,3.81110929924141,0.000138344577170758,0.046922420955702,"gdT","week44","media_treated",5,5
"ENSG00000273112",13.2358359106005,2.13788466194689,0.559481898898141,3.82118646940553,0.000132811182667592,0.046922420955702,"gdT","week44","media_treated",5,5
"TRAF1",250.972215096048,-0.642307039437182,0.169992095057293,-3.77845239933482,0.000157806008021815,0.0504273251423394,"gdT","week44","media_treated",5,5
"SMAP2",540.721932390532,-0.43683969814314,0.115472618108307,-3.78305874846803,0.000154912831841301,0.0504273251423394,"gdT","week44","media_treated",5,5
"MGST2",37.5480131968658,-1.09222091383697,0.291788312153673,-3.74319624310976,0.00018169421483372,0.0560914876318525,"gdT","week44","media_treated",5,5
"ZFYVE9",39.4676417610629,-1.04900297862058,0.280558734785371,-3.7389781480982,0.000184769785495685,0.0560914876318525,"gdT","week44","media_treated",5,5
"ENSG00000267320",61.2153753477521,-5.13770016892045,1.38034428143938,-3.72204256431085,0.000197617699713681,0.0585285787225177,"gdT","week44","media_treated",5,5
"ANKRD20A11P",13.0511690369643,-1.9890175020022,0.536150352232596,-3.7098129166934,0.000207412458184326,0.0599668923745777,"gdT","week44","media_treated",5,5
"KAT2B",360.789432529423,0.560175254953772,0.152214953731563,3.68015915139102,0.000233088431672372,0.0658230889720375,"gdT","week44","media_treated",5,5
"ZBTB18",52.8971034057918,-1.21289968837996,0.331393618355524,-3.65999711883029,0.000252218084194595,0.0696064590085219,"gdT","week44","media_treated",5,5
"ABCD2",95.9930882656312,0.956849465092212,0.262079720296582,3.65098628771961,0.000261235188609979,0.0704928643397995,"gdT","week44","media_treated",5,5
"CHROMR",37.4019929032006,1.1079393647892,0.304439712268059,3.63927345921828,0.000273408341662306,0.0721738585392474,"gdT","week44","media_treated",5,5
"SUCLG2-DT",27.6407849378181,-1.23023876029748,0.338716520625515,-3.63206010154324,0.000281167613434812,0.0726429431901898,"gdT","week44","media_treated",5,5
"DENND1B",293.528201449113,0.590166444800982,0.163023085976533,3.62014030875318,0.000294443306505138,0.0744880223102478,"gdT","week44","media_treated",5,5
"ECE1",174.918109592549,-0.706946456345959,0.196594042362418,-3.59597090456442,0.000323183923059981,0.0771247504379193,"gdT","week44","media_treated",5,5
