"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NFKB1",4.7537774122993e-62,1.24288949256768,0.964,0.884,2.98109381525289e-57
"ARHGAP31",8.25852067686663e-59,1.7780431391968,0.697,0.272,5.17891831646307e-54
"ADGRE5",9.17781105759931e-52,1.15611061485371,0.894,0.78,5.75540531422052e-47
"IL2RA",3.83038279308535e-48,2.42887940849476,0.479,0.122,2.40203304954382e-43
"CD83",4.787117714462e-41,2.21964945867452,0.629,0.3,3.00200151873912e-36
"POU2F2",6.41495325593241e-40,1.67324879602702,0.641,0.302,4.02281718679522e-35
"FES",1.01887773135992e-39,1.81643856036258,0.6,0.323,6.38938225335805e-35
"REL",1.72554715682239e-38,1.14155249522127,0.894,0.781,1.08209062204332e-33
"PIM1",1.85731840942354e-38,2.11706026423885,0.412,0.106,1.1647243745495e-33
"ECE1",1.32314723137893e-36,1.30206425000081,0.756,0.485,8.29745628797728e-32
"CREM",1.44951354082639e-36,1.41360134974295,0.714,0.369,9.08989941452229e-32
"CDK6",1.54767109841134e-36,2.28281749233187,0.53,0.319,9.7054454581375e-32
"BHLHE40",2.90292062761812e-35,1.06102878351832,0.779,0.614,1.82042152557932e-30
"FURIN",1.40766476373719e-34,1.38164269220329,0.661,0.383,8.82746573339591e-30
"TANK",1.30229698906025e-33,1.00005488949157,0.838,0.675,8.16670441839685e-29
"CSF2",3.15580237476771e-33,3.55196629635462,0.266,0.032,1.97900366921683e-28
"CCND2",3.87917790744103e-33,2.36467000966099,0.457,0.229,2.43263246575627e-28
"DUSP4",5.98135650769168e-33,1.60966115147126,0.61,0.33,3.75090866597346e-28
"TRAF1",1.70238783967612e-32,1.26483136649288,0.748,0.522,1.0675674142609e-27
"NFKBIZ",3.58181791221922e-32,1.53214113370171,0.552,0.242,2.24615801275267e-27
"IL21R",5.87914804441022e-31,1.51582135727135,0.664,0.381,3.68681373864965e-26
"SEC14L1",2.46971898199267e-30,1.02868119850034,0.782,0.635,1.5487607736076e-25
"IL4R",2.51285977701194e-30,0.907965440706104,0.831,0.631,1.57581436616419e-25
"BCL2L1",3.0219570786896e-30,2.37709671669176,0.491,0.224,1.89506928404625e-25
"ABCB1",6.76014072330811e-30,-1.1152121751549,0.463,0.751,4.23928424758652e-25
"NFAT5",9.23990427498711e-30,0.998710513030227,0.867,0.811,5.79434397084442e-25
"TNFSF10",1.64587790474034e-29,1.4581214712075,0.647,0.42,1.03213003406267e-24
"GLCCI1",1.65694791979994e-29,-0.912441888272345,0.622,0.84,1.03907204050654e-24
"SIPA1L1",7.1028742298576e-29,0.900941983431171,0.927,0.884,4.4542124295437e-24
"PDE4A",7.27050799379381e-29,1.63519242902957,0.526,0.277,4.5593355629081e-24
"ATM",1.31723849341146e-28,-0.633661754121063,0.906,0.961,8.26040259218326e-24
"SEMA4D",1.90899763337123e-28,-0.944458368112538,0.642,0.855,1.1971324158871e-23
"UTRN",2.37619203526766e-27,-0.488729394208058,0.945,0.996,1.49011002531635e-22
"MYO1F",2.51304904306693e-27,-0.819365561247529,0.632,0.862,1.57593305490727e-22
"TC2N",2.52873771810427e-27,-1.12055869998461,0.443,0.686,1.58577142302319e-22
"AFF3",6.03737233376351e-27,-0.873347437080025,0.678,0.861,3.7860361905031e-22
"BIRC3",1.02540100733801e-25,1.08447954466923,0.807,0.608,6.43028971701665e-21
"SPAG1",3.44593979168624e-25,1.54710906227524,0.511,0.263,2.16094884336644e-20
"MIR3142HG",3.58605983693937e-25,1.15325923127354,0.535,0.243,2.24881812374468e-20
"PTPN22",7.38510447790542e-25,-0.639574187573168,0.635,0.868,4.63119901809449e-20
"SAMD3",3.1194017177267e-24,-0.593182582101528,0.867,0.951,1.95617681718642e-19
"KLRF1",4.88236021268667e-24,-1.04532372950654,0.477,0.7,3.06172808937581e-19
"NFKB2",5.98285081413014e-24,1.1478907248989,0.646,0.404,3.75184574554101e-19
"ZDHHC14",9.59811273223624e-24,1.40665857682497,0.654,0.434,6.01897649438535e-19
"SORL1",1.11417197288145e-23,-0.675498178207708,0.787,0.915,6.98697244193959e-19
"ENSG00000259354",1.56148192438877e-23,2.22769890410817,0.361,0.122,9.79205314784199e-19
"VDR",1.92887992385505e-23,2.82065976837918,0.264,0.055,1.2096006002495e-18
"EPHA4",7.78885357537577e-23,-0.833992113027018,0.56,0.797,4.88439007711814e-18
"FNDC3B",8.75552839455754e-23,1.04017446701067,0.797,0.631,5.49059185622703e-18
"PRRC2C",2.68956391093005e-22,0.493115620809329,0.964,0.94,1.68662552854423e-17
"OTULIN",3.8759712979221e-22,0.825800927585402,0.782,0.681,2.43062160092695e-17
"VAV3",5.88875298068482e-22,-0.695803867360527,0.75,0.898,3.69283699418745e-17
"TNIP1",1.80493258438986e-21,0.860581892298895,0.75,0.584,1.13187322367088e-16
"SYNE1",9.71537540882526e-21,-0.919024986424883,0.538,0.76,6.09251191887432e-16
"HSP90AB1",2.41483003270498e-20,1.29721653789511,0.571,0.422,1.5143399135093e-15
"PLCG2",2.61022643694025e-20,-0.614767723325252,0.787,0.937,1.63687299860523e-15
"AHNAK",6.04127095464658e-20,-0.928324893072204,0.533,0.772,3.78848101565887e-15
"SLC7A1",2.56552361102914e-19,1.91973013324318,0.317,0.111,1.60883985647637e-14
"CCDC6",2.67703848197614e-19,1.15188979832813,0.583,0.395,1.67877083204724e-14
"NMT2",4.64530726791986e-19,-1.34195520194833,0.283,0.524,2.91307218771254e-14
"TNRC6B",7.30966939121813e-19,-0.418722705488952,0.934,0.989,4.58389367523289e-14
"PFKFB3",8.17405953784429e-19,0.804015752185887,0.787,0.651,5.12595273618215e-14
"HIVEP2",1.24256781197961e-18,0.565376575971155,0.93,0.875,7.79214274892415e-14
"BACH2",1.74913392956941e-18,0.485290808324789,0.971,0.963,1.09688188723298e-13
"TRAF3",2.61037643964521e-18,0.730671284481276,0.83,0.66,1.63696706530151e-13
"TGFBR3",4.19736241272178e-18,-0.904809163944464,0.525,0.748,2.63216596901783e-13
"TNFRSF1B",4.26848507293251e-18,1.64471756407573,0.399,0.185,2.67676698923598e-13
"KDM6B",5.17077870025833e-18,1.02563081456783,0.472,0.236,3.242595322932e-13
"MAP2K6",7.10521440427846e-18,-2.15424234469995,0.077,0.256,4.45567995292302e-13
"ST6GAL1",7.53990126157937e-18,-0.770470566677061,0.596,0.797,4.72827208113643e-13
"CLASP1",1.14435676144025e-17,-0.521617735016203,0.894,0.963,7.17626125099182e-13
"SCML4",2.19110407219987e-17,-1.2725939666708,0.257,0.49,1.37404136367654e-12
"FYB1",2.34582626018535e-17,-0.60778851041406,0.773,0.901,1.47106764776223e-12
"BTG2",2.86271180462974e-17,1.59276639533222,0.332,0.134,1.79520657268331e-12
"ADAMTS12",4.17514927633945e-17,-5.47106558818276,0.007,0.113,2.61823611119247e-12
"EIF1",1.00803206142013e-16,1.17479381596518,0.436,0.243,6.32136905716566e-12
"ATP8A1",1.1763408577292e-16,-0.489455350224723,0.871,0.949,7.37683351881983e-12
"FAM102A",1.34506160512427e-16,-1.12327885899838,0.279,0.513,8.43488132573432e-12
"ERMP1",1.41230566470172e-16,-1.076869313427,0.4,0.612,8.85656882334446e-12
"DENND4A",1.49203558184286e-16,0.806899628277115,0.848,0.748,9.35655513373655e-12
"IQGAP2",1.77099666880472e-16,-0.474420452435159,0.874,0.952,1.11059201100744e-11
"PLCB1",1.80698215089252e-16,-0.704084338430952,0.768,0.905,1.1331585068247e-11
"WARS1",1.83220970171207e-16,1.89262184099129,0.334,0.141,1.14897870394364e-11
"ABTB2",1.92718590365967e-16,1.51708745719928,0.324,0.127,1.20853828018498e-11
"PIK3CD",3.82991359068048e-16,0.49475313747235,0.915,0.922,2.40173881271573e-11
"TRANK1",3.85789497585534e-16,-0.72962319299793,0.545,0.746,2.41928593935889e-11
"CCM2",4.01260816840847e-16,-0.690879391445896,0.704,0.854,2.51630658240895e-11
"MPP7",5.04249400594894e-16,-0.84743460470101,0.353,0.591,3.16214799113058e-11
"IPCEF1",6.3784261351455e-16,-0.962377254434466,0.336,0.541,3.99991102934975e-11
"ABLIM1",6.8330271290679e-16,-0.409817249577244,0.569,0.799,4.28499131263848e-11
"DDX21",7.11925111450694e-16,1.35856978773929,0.446,0.266,4.4644823739073e-11
"GNG2",8.67061765636523e-16,1.52925531563761,0.424,0.226,5.43734433230664e-11
"SAMD4A",1.05964588288228e-15,4.60566958610912,0.128,0.025,6.64503933155477e-11
"GZMB",1.2254833136068e-15,1.66870684035523,0.37,0.235,7.68500585962823e-11
"ITGA1",2.80324311490014e-15,1.56082388842598,0.554,0.365,1.75791375735388e-10
"EPB41",3.29763358345942e-15,-0.489572376923869,0.833,0.929,2.0679460201874e-10
"PDE4B",3.73869272896493e-15,0.875353979320362,0.685,0.594,2.3445342103339e-10
"HAVCR2",4.31607372534356e-15,0.973674812714584,0.555,0.42,2.70660983316295e-10
"DNAJA1",5.2001073517277e-15,1.03688343942508,0.501,0.298,3.26098732026844e-10
"PSTPIP1",5.63033748699105e-15,-0.746265540266098,0.482,0.707,3.53078463809209e-10
"PACS1",6.77185512500792e-15,-0.600823732406212,0.816,0.929,4.24663034889247e-10
"PFN1",1.16736350292401e-14,0.87573984680998,0.562,0.393,7.32053652683645e-10
"ADD3",1.30310756557371e-14,-0.694831560571805,0.535,0.735,8.17178754371271e-10
