"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WNT5B",1.14124821519041e-39,-5.81561338014632,0.024,0.163,7.15676755745908e-35
"NRG1",6.80721741666567e-36,-5.09255529037468,0.051,0.305,4.26880604199104e-31
"MT-RNR1",3.25277970078409e-35,-0.197921022697853,0.906,0.992,2.0398181503617e-30
"SULF1",3.77550773751691e-34,-9.21535929416967,0.018,0.143,2.36762090219686e-29
"MT-RNR2",2.11321247239218e-33,-0.208461296370986,0.94,0.998,1.32519554143714e-28
"IGF2BP3",1.90244085364867e-28,-1.88599367595819,0.186,0.477,1.19302065932308e-23
"ENSG00000276241",3.89002360258957e-27,1.86238584080187,0.378,0.121,2.43943380118392e-22
"RNU4-2",1.48342898642391e-26,0.645428248495623,0.764,0.674,9.30258317386436e-22
"ADAM11",8.04655636551578e-22,-6.53111642241695,0.003,0.141,5.04599549681494e-17
"ST6GALNAC1",9.38398501994124e-22,-3.53225692178622,0.055,0.255,5.88469700600515e-17
"ENSG00000256199",1.0003623727748e-21,3.44474597848312,0.11,0.017,6.27327243967077e-17
"RNF149",5.86199133574972e-21,0.50607671652149,0.96,0.926,3.67605476664865e-16
"GABRG3",6.62694242602821e-21,-4.80970880581977,0.022,0.114,4.15575559536229e-16
"TEX56P",2.05940674201495e-20,5.36791720963254,0.126,0.02,1.29145396791758e-15
"SPC25",6.93447540740222e-19,-2.98477222109915,0.021,0.156,4.34860952798193e-14
"ENSG00000259672",1.12423969811845e-18,-7.58451665689262,0.001,0.101,7.0501071469008e-14
"NPSR1-AS1",3.57091846145436e-18,-3.41237376338743,0.023,0.146,2.23932296717803e-13
"NR3C2",5.87529023087261e-17,2.33677101694734,0.231,0.07,3.68439450378021e-12
"ANKRD44",1.34115714288407e-16,0.212450735577566,0.997,0.988,8.41039644302601e-12
"HLA-C",1.63192749732936e-15,-0.39315130392901,0.865,0.94,1.02338173357524e-10
"RNU4-1",1.80417907438973e-15,0.848426530678876,0.352,0.216,1.1314006975498e-10
"ENSG00000275016",4.60117979054136e-15,-5.23682218473475,0.006,0.111,2.88539984664849e-10
"ENSG00000285909",4.65411041706653e-15,4.15752350131729,0.135,0.044,2.91859264254242e-10
"EDA",6.15477767365022e-15,-1.90831967639436,0.036,0.102,3.85966107914605e-10
"B3GAT1",2.7504513624156e-14,1.638191155149,0.209,0.069,1.72480804937082e-09
"CD38",3.39175510804603e-14,-0.484211528494572,0.514,0.617,2.12696962825567e-09
"SLC38A2",7.28704416486551e-14,3.16664752367188,0.772,0.799,4.56970539578716e-09
"MT-CO1",2.15452837989703e-13,-0.275867280944282,0.757,0.856,1.35110474703343e-08
"COL4A6",4.2324310316222e-13,-4.12009910096957,0.009,0.109,2.65415749993028e-08
"IL12A-AS1",5.95213618555698e-13,-3.41096026181264,0.017,0.131,3.73258460196278e-08
"7SK",6.03974671595005e-13,-0.983577066042681,0.757,0.834,3.78752516557228e-08
"LINC02641",6.75786992778085e-13,1.86022498424477,0.105,0.04,4.23786023171137e-08
"RNF217",1.5872210848719e-12,-7.03899574342371,0.016,0.141,9.95346342323171e-08
"ENSG00000286100",3.60357141486257e-12,-4.03786036065143,0.014,0.121,2.25979963426032e-07
"PRSS23",4.63470463572533e-12,2.07404951096495,0.24,0.077,2.90642327706336e-07
