"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SAMD4A",3.83619137935329e-19,-3.46003633742634,0.022,0.128,2.40567561399245e-14
"OXR1",6.27725483379515e-18,6.42827557090838,0.581,0.516,3.93646650627294e-13
"H4C8",1.35549109275294e-15,3.91846164632219,0.172,0.036,8.50028464265371e-11
"JDP2",6.93881364963715e-14,5.77293429051877,0.134,0.007,4.35133003968746e-09
"7SK",6.98806822838565e-14,-0.52363249443057,0.915,0.857,4.38221758602064e-09
"ENSG00000283907",8.48334006306723e-13,2.09895052040161,0.243,0.068,5.31990255354946e-08
"RN7SKP255",2.41656363878348e-11,-2.16290185901896,0.073,0.164,1.51542705788112e-06
"CDH12",1.5733717528151e-09,-3.60380771179424,0.034,0.106,9.86661426190352e-05
"MALAT1",1.86802938088789e-09,0.105044208725092,1,1,0.00011714412247548
"ENSG00000232855",6.67199627857114e-09,1.4274769020659,0.474,0.344,0.000418400886629196
"CSMD1",9.61772980834447e-09,2.59717374633405,0.16,0.051,0.000603127836281282
"BACH2",1.48800384738864e-08,-0.316459173627566,0.98,0.971,0.000933127212697418
"APAF1",3.84956835729531e-08,1.95426374852506,0.278,0.213,0.00241406431685989
"IL2RB",1.5656791022973e-07,-0.344520386262646,0.802,0.755,0.00981837365050639
"L3MBTL4",2.21942539882119e-07,0.468596913566499,0.512,0.37,0.0139180166760077
"RNU4-1",3.06637001423143e-07,0.815621458278325,0.379,0.259,0.0192292063592453
"CCDC144BP",3.41540276936218e-07,-1.41895738830627,0.151,0.182,0.0214179907666702
"SMAD3",4.99525423061405e-07,0.272031311544195,0.956,0.917,0.0313252392801807
"COLGALT2",5.29751863912643e-07,0.70155851983563,0.296,0.177,0.0332207393859618
"AUTS2",1.66205792198304e-06,0.186152699188414,0.895,0.871,0.104227652287557
"HFM1",1.73814417741359e-06,0.506143299126906,0.142,0.056,0.108999021365606
"ITGA1",2.59724770336332e-06,0.291223123805052,0.697,0.554,0.162873403477914
"RPS8",4.93088002901093e-06,-0.807404537307013,0.437,0.508,0.309215486619276
"CAMK4",5.44483628499214e-06,-0.631004981645164,0.474,0.576,0.341445683431857
"SEC14L1",6.93353501909748e-06,-0.114197273638007,0.762,0.782,0.434801981047603
"CERS6",8.47268908272382e-06,0.236977094024016,0.789,0.709,0.531322332377611
"CARM1",9.15398442361848e-06,-1.32680290965427,0.089,0.172,0.574046363205115
"SNHG22",9.7604015981505e-06,0.472138489722731,0.762,0.584,0.612074784220018
"FAM222B",9.85398421511014e-06,-1.29203367274465,0.468,0.455,0.617943350129557
"IL21R",1.03548649274501e-05,-0.382021391711483,0.619,0.664,0.649353579600397
"IFI44L",1.08695253913995e-05,0.507609285761862,0.574,0.371,0.681627937294665
"LCP1",1.33880452933426e-05,-0.296271503204718,0.728,0.698,0.839564320345513
"DENND4A",2.44683246686473e-05,-0.189635565854497,0.809,0.848,1
"PRKX",2.45212654548131e-05,-0.361606266183303,0.853,0.826,1
"CTSW",3.20467467098836e-05,-0.515059275606366,0.523,0.593,1
"COTL1",3.22193096742744e-05,-0.605638269385576,0.515,0.581,1
"DPF3",3.73225279784944e-05,-0.622441094109705,0.258,0.31,1
"IFI44",4.64918551892927e-05,0.659533841000899,0.465,0.269,1
"FMNL3",4.7522099761423e-05,-0.384158184566357,0.662,0.666,1
"ACSS2",5.17216283311348e-05,-3.08554587861715,0.025,0.101,1
"RAB8B",5.24146007085902e-05,-0.15909517301278,0.762,0.756,1
"IL2RG",5.84735203341423e-05,-0.184084740355269,0.668,0.654,1
"ADGRE5",6.19592337881983e-05,-0.179936401106944,0.917,0.894,1
"OGT",6.24371499020983e-05,-0.17693818896617,0.858,0.828,1
"MIRLET7BHG",6.44990635313156e-05,0.350539227718756,0.234,0.15,1
"CAPN2",6.96645429763718e-05,0.489340189308292,0.508,0.378,1
"ATP6V1A",8.64263602427596e-05,0.770970854057479,0.397,0.302,1
"TGIF1",9.06089769557839e-05,0.749805577536065,0.131,0.065,1
"SYNPO2",0.000101644721206797,-1.21056691175976,0.045,0.111,1
"SH2B3",0.00011035656218288,-0.329796425721629,0.459,0.45,1
"DAAM1",0.000116364091164486,-0.367382557317173,0.428,0.436,1
"FGFR1OP2",0.000117053557585619,-0.18846476887228,0.539,0.492,1
"BHLHE40",0.00011898787497623,-0.272240613015846,0.799,0.779,1
"ME2",0.000121155455939051,-0.359641276353503,0.479,0.451,1
"HEATR3",0.000124857058479759,0.865981813461196,0.234,0.198,1
"IGF2BP3",0.000126627398198986,-1.65842011172196,0.078,0.164,1
"ST6GAL1",0.000135818604342237,0.103105301047264,0.672,0.596,1
"RNF125",0.000142545197712941,-0.428552182111225,0.548,0.598,1
"IFITM1",0.00014368536063674,-0.828220053623678,0.265,0.363,1
"ADAMTS3",0.000163806959272127,-7.71691909791801,0.169,0.203,1
"LRIG1",0.000170171101197904,0.911604185609163,0.241,0.114,1
"SAMD12",0.000190399049931462,0.118087553020036,0.299,0.247,1
"ENSG00000260269",0.000190780959725067,1.57753769430913,0.103,0.046,1
"RNF165",0.000196400303194529,-0.477976225933488,0.232,0.286,1
"NCAM1",0.000201038289989818,-0.253274601630731,0.762,0.726,1
"CSF2",0.000204705819275087,-0.917039881620985,0.22,0.266,1
"PDXDC1",0.000213551697708321,0.199281824645694,0.566,0.438,1
"FBXO22",0.000218309924087989,0.160501328932911,0.281,0.201,1
"MT-ND1",0.000218946748224526,-0.784636755029494,0.358,0.451,1
"SMIM14",0.000225861571791658,-0.163372254326862,0.376,0.313,1
"VDR",0.000244637348565414,-0.419153751914586,0.227,0.264,1
"ATG5",0.000249511187447718,-0.295954912512108,0.523,0.484,1
"FLNB",0.000250212645086341,-0.218745093536555,0.532,0.545,1
"ITK",0.000281904906071678,-0.148784532568053,0.701,0.639,1
"MPZL3",0.000299170226942209,0.552919667738205,0.272,0.199,1
"CFAP418-AS1",0.000310101054429396,-1.19831637930475,0.067,0.121,1
"ITGAX",0.000313848193441947,-0.470264063562775,0.417,0.443,1
"FAM117A",0.000320647395241918,0.348979788826523,0.45,0.329,1
"RAC2",0.000345116429884576,-0.24657852101018,0.561,0.518,1
"YY1AP1",0.000362041053812013,0.360680272640697,0.492,0.363,1
"HMGXB3",0.000375000423335208,-0.612467457088641,0.225,0.261,1
"MCL1",0.000386277753391396,-0.238575116110604,0.61,0.606,1
"MT-ND4",0.000387083443987945,-0.551168367544392,0.751,0.785,1
"ACTN4",0.000387092618958607,-0.2638160194626,0.817,0.782,1
"ECSIT",0.00038778727794191,1.17358457401471,0.122,0.065,1
