Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CCR6- CXCR3- / CCR4+,Infants 12wks,BCG,CD4,35,2.07,0.717923875432526,1.6794888178913738,523,6.771382897551666e-4,0.1698412698412698,0.0010157074346327497
CCR6- CXCR3- / CCR4+,Infants 12wks,DosR,CD4,34,4.915,0.3935416666666667,3.8476428571428576,582,1.2008396221900547e-6,0.021848739495798353,1.4410075466280656e-5
CCR6- CXCR3- / CCR4+,Infants 44wks,BCG,CD4,34,4.275,0.43308306709265176,3.647258064516129,536,4.722130486153451e-5,0.0991596638655462,9.444260972306902e-5
CCR6- CXCR3- / CCR4+,Infants 44wks,DosR,CD4,32,5.62,0.43254545454545457,5.142110215053764,487,3.1753200365200484e-5,0.07765151515151514,7.620768087648116e-5
CCR6- CXCR3- / CCR4+,Mothers Dx,BCG,CD4,3,12,1.098709677419355,9.80258064516129,6,0.1814492077214203,0,0.1814492077214203
CCR6- CXCR3- / CCR4+,Mothers Dx,DosR,CD4,6,7.109999999999999,0.11504792332268371,7.007453674121406,21,0.036031686218233556,0,0.043238023461880264
CCR6- CXCR3- / CCR4+,Mothers Dx,E6C10,CD4,6,8.145,1.0483870967741935,7.096612903225806,21,0.036031686218233556,0,0.043238023461880264
CCR6- CXCR3- / CCR4+,Mothers Dx,GAG,CD4,5,5.99,0.45290322580645165,5.537096774193548,15,0.059058229090536735,0,0.06442715900785825
CCR6- CXCR3- / CCR4+,Mothers Entry,BCG,CD4,18,7.13,0.9258304498269896,6.7187103848330505,171,2.1409202584601812e-4,0,3.6701490145031677e-4
CCR6- CXCR3- / CCR4+,Mothers Entry,DosR,CD4,29,8.24,0.18515151515151515,8.156184210526316,435,2.7023691404779837e-6,0,1.5724845561700743e-5
CCR6- CXCR3- / CCR4+,Mothers Entry,E6C10,CD4,31,6.03,0.14857142857142855,5.577891373801917,484,3.931211390425186e-6,0.024193548387096753,1.5724845561700743e-5
CCR6- CXCR3- / CCR4+,Mothers Entry,GAG,CD4,24,13.2,0.6269264069264069,12.661551066680406,299,2.206919308346755e-5,0.0033333333333332993,6.620757925040265e-5
