Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CCR6- CXCR3-,Infants 12wks,BCG,CD4,35,56.96558139534884,78.05911330049263,-18.81253810975609,35,4.695089709517213e-6,0.9444444444444444,1.3976711640591773e-4
CCR6- CXCR3-,Infants 12wks,BCG,CD8,35,62.97908961593172,98.61003584229388,-33,54,1.9832632829152364e-5,0.9142857142857143,1.4279495636989703e-4
CCR6- CXCR3-,Infants 12wks,BCG,gdTCR,35,67.2503328894807,42.36424957841484,14.438082570759747,523,6.771382897551666e-4,0.1698412698412698,0.0022160889482896362
CCR6- CXCR3-,Infants 12wks,DosR,CD4,34,64.7272636262514,93.3289117726081,-10.798260365087422,128,0.003860221421355403,0.7848739495798319,0.009264531411252967
CCR6- CXCR3-,Infants 12wks,DosR,CD8,34,71.35070216971592,105.70593583930574,-36.55585474914218,38,9.507638412332797e-6,0.9361344537815126,1.3976711640591773e-4
CCR6- CXCR3-,Infants 12wks,DosR,gdTCR,34,52.47978137779175,44.61927383780115,4.179184048036408,400,0.08118064458592432,0.32773109243697474,0.15354862215168805
CCR6- CXCR3-,Infants 44wks,BCG,CD4,34,63.808536052221825,89.05367048174563,-26.22739178326183,74,1.3755549522030178e-4,0.8756302521008403,7.074282611329807e-4
CCR6- CXCR3-,Infants 44wks,BCG,CD8,34,82.90339878781904,101.31204235075327,-30.53976467043956,93,4.872142821086758e-4,0.8436974789915966,0.0019488571284347032
CCR6- CXCR3-,Infants 44wks,BCG,gdTCR,34,73.54757071871651,47.504218340354086,24.97005759792058,495,7.571189437194855e-4,0.16806722689075626,0.0022713568311584563
CCR6- CXCR3-,Infants 44wks,DosR,CD4,32,68.49870967741936,96.13175872093024,-19.070407547580235,67,0.00023846345859379901,0.8731060606060606,0.0010730855636720956
CCR6- CXCR3-,Infants 44wks,DosR,CD8,32,80.36307611548557,112.0568641216908,-33.969548262357186,107,0.0034292727929585167,0.7973484848484849,0.00906240658437145
CCR6- CXCR3-,Infants 44wks,DosR,gdTCR,32,53.878488569969946,47.68905335628227,3.071039020917109,298,0.5310431122204022,0.43560606060606055,0.5793197587858933
CCR6- CXCR3-,Mothers Dx,BCG,CD4,3,52.3563043478261,74.29972375690608,-20.887480182560637,0,0.1814492077214203,1,0.24193227696189373
CCR6- CXCR3-,Mothers Dx,BCG,CD8,3,62.56543385490754,89.79390681003584,-27.228472955128296,0,0.1814492077214203,1,0.24193227696189373
CCR6- CXCR3-,Mothers Dx,BCG,gdTCR,3,28.72109589041096,40.32469879518072,-12.178301699950485,0,0.1814492077214203,1,0.24193227696189373
CCR6- CXCR3-,Mothers Dx,DosR,CD4,6,88.30083244962884,80.73135359116023,5.269670923007801,14,0.5293681061847979,0.33333333333333337,0.5793197587858933
CCR6- CXCR3-,Mothers Dx,DosR,CD8,6,85.79217769364891,94.36523297491038,-16.080880201083914,7,0.5293681061847979,0.6666666666666667,0.5793197587858933
CCR6- CXCR3-,Mothers Dx,DosR,gdTCR,6,16.069565217391304,42.236379961651835,-22.600325762723894,1,0.05917206782585943,0.9523809523809523,0.11834413565171886
CCR6- CXCR3-,Mothers Dx,E6C10,CD4,6,90.98322375397666,80.68335635359117,-0.8541971067290106,12,0.833935414088552,0.4285714285714286,0.833935414088552
CCR6- CXCR3-,Mothers Dx,E6C10,CD8,6,74.51775107058987,96.1611111111111,-17.273449935504253,4,0.20841280368414858,0.8095238095238095,0.26795931902247677
CCR6- CXCR3-,Mothers Dx,E6C10,gdTCR,6,29.09506849315069,39.81961909395301,-13.911558012873408,8,0.6749867139704894,0.6190476190476191,0.6942720486553604
CCR6- CXCR3-,Mothers Dx,GAG,CD4,5,75.70304347826088,82.98507462686567,-4.8363211626230935,5,0.589638551626567,0.6666666666666667,0.6243231723104827
CCR6- CXCR3-,Mothers Dx,GAG,CD8,5,72.9068278805121,97.95698924731181,-21.45416961953464,4,0.41849223344681974,0.7333333333333334,0.5021906801361836
CCR6- CXCR3-,Mothers Dx,GAG,gdTCR,5,22.213972602739727,42.81506024096386,-14.243553391648788,1,0.10564542920187692,0.9333333333333333,0.16535806309858997
CCR6- CXCR3-,Mothers Entry,BCG,CD4,18,63.16644519203813,87.09083850931677,-21.156371172004736,18,0.0035242692272555638,0.8947368421052632,0.00906240658437145
CCR6- CXCR3-,Mothers Entry,BCG,CD8,18,78.95542987004674,90.72587209302324,-25.137809352517984,46,0.08942024630072908,0.7309941520467836,0.15354862215168805
CCR6- CXCR3-,Mothers Entry,BCG,gdTCR,18,56.397154617036506,42.68213068198317,6.85626740910396,121,0.1274431640156041,0.29239766081871343,0.19116474602340616
CCR6- CXCR3-,Mothers Entry,DosR,CD4,29,55.36528735632184,89.57298136645962,-30.51054189552211,16,1.3847624671827247e-5,0.9632183908045977,1.3976711640591773e-4
CCR6- CXCR3-,Mothers Entry,DosR,CD8,29,76.335,98.6,-19.39999999999999,110,0.020685143152550794,0.7471264367816092,0.04380383255834286
CCR6- CXCR3-,Mothers Entry,DosR,gdTCR,29,29.610826771653542,51.5144893111639,-19.41965311768461,59,6.34396353547879e-4,0.864367816091954,0.0022160889482896362
CCR6- CXCR3-,Mothers Entry,E6C10,CD4,31,66.50137931034483,92.4384236453202,-26.640165198785894,27,1.5529679600657525e-5,0.9455645161290323,1.3976711640591773e-4
CCR6- CXCR3-,Mothers Entry,E6C10,CD8,31,87.5,98.5,-8.5060163729094,162,0.09383526909269825,0.6733870967741935,0.15354862215168805
CCR6- CXCR3-,Mothers Entry,E6C10,gdTCR,31,41.9,48.129729729729725,-10.727218934911242,161,0.09005623486475885,0.6754032258064516,0.15354862215168805
CCR6- CXCR3-,Mothers Entry,GAG,CD4,24,61.16689085209462,89.63694103936464,-23.24987365543643,7,4.6725690857941415e-5,0.9766666666666667,2.803541451476485e-4
CCR6- CXCR3-,Mothers Entry,GAG,CD8,24,87.28713910761155,97.77673501577286,-12.37786717107599,113,0.2970144612105074,0.6233333333333333,0.3687076070199402
CCR6- CXCR3-,Mothers Entry,GAG,gdTCR,24,24.074740484429064,44.489973561626584,-13.127329463723935,59,0.009717744667395035,0.8033333333333333,0.021864925501638828
