Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CD45RO+ CD27+,Infants 12wks,BCG,CD4,35,29.855072463768117,4.496629213483145,27.027634996582364,625,3.9918759416421435e-7,0.007936507936507908,1.6720331938235018e-6
CD45RO+ CD27+,Infants 12wks,BCG,CD8,35,32.95356679636835,3.689387755102041,28.482580331061342,630,2.587691416709574e-7,0,1.6720331938235018e-6
CD45RO+ CD27+,Infants 12wks,DosR,CD4,34,60.51014492753623,4.254884711779448,55.32196038396537,595,3.8191520023814874e-7,0,1.6720331938235018e-6
CD45RO+ CD27+,Infants 12wks,DosR,CD8,34,43.77140488269385,3.8431710804888013,40.23290969936612,595,3.8191520023814874e-7,0,1.6720331938235018e-6
CD45RO+ CD27+,Infants 44wks,BCG,CD4,34,28.94782608695652,5.499219712525666,22.300542835542064,594,4.1800829845587545e-7,0.001680672268907557,1.6720331938235018e-6
CD45RO+ CD27+,Infants 44wks,BCG,CD8,34,37.321518987341776,3.238882386012256,31.999446906980054,594,4.1800829845587545e-7,0.001680672268907557,1.6720331938235018e-6
CD45RO+ CD27+,Infants 44wks,DosR,CD4,32,51.237761378986974,5.767926326269377,47.73658160370607,527,9.178887232818187e-7,0.0018939393939394478,3.1470470512519493e-6
CD45RO+ CD27+,Infants 44wks,DosR,CD8,32,52.23266422018349,3.8077083333333333,47.1815031311518,525,1.1099335898158979e-6,0.005681818181818232,3.3298007694476938e-6
CD45RO+ CD27+,Mothers Dx,BCG,CD4,3,39.61038961038961,16.644736842105264,22.965652768284347,6,0.1814492077214203,0,0.1814492077214203
CD45RO+ CD27+,Mothers Dx,BCG,CD8,3,27.749382716049382,11.55347222222222,18.792868074686254,6,0.1814492077214203,0,0.1814492077214203
CD45RO+ CD27+,Mothers Dx,DosR,CD4,6,45.77922077922078,14.937385172376525,29.780415411821934,21,0.036031686218233556,0,0.045513708907242385
CD45RO+ CD27+,Mothers Dx,DosR,CD8,6,29.23234567901234,10.370833333333334,24.27022446689113,19,0.09349248368983569,0.09523809523809523,0.10199180038891166
CD45RO+ CD27+,Mothers Dx,E6C10,CD4,6,28.209366391184574,13.527631578947368,17.296732650776057,21,0.036031686218233556,0,0.045513708907242385
CD45RO+ CD27+,Mothers Dx,E6C10,CD8,6,20.008765432098766,5.235150654269972,14.89714152254872,21,0.036031686218233556,0,0.045513708907242385
CD45RO+ CD27+,Mothers Dx,GAG,CD4,5,36.103896103896105,13.981578947368423,22.122317156527682,15,0.059058229090536735,0,0.0674951189606134
CD45RO+ CD27+,Mothers Dx,GAG,CD8,5,21.120987654320988,7.978263888888888,13.1427237654321,15,0.059058229090536735,0,0.0674951189606134
CD45RO+ CD27+,Mothers Entry,BCG,CD4,18,34.92376795090782,15.730766939687266,23.517102502465953,160,0.001269768125062661,0.06432748538011701,0.0019046521875939917
CD45RO+ CD27+,Mothers Entry,BCG,CD8,18,26.395253164556962,8.20075910931174,19.762155963302746,170,2.539632194415226e-4,0.005847953216374324,4.063411511064361e-4
CD45RO+ CD27+,Mothers Entry,DosR,CD4,29,52.46376811594203,17.262921348314606,32.98511085741754,435,2.7023691404779837e-6,0,5.896078124679237e-6
CD45RO+ CD27+,Mothers Entry,DosR,CD8,29,30.82765432098765,10.37923076923077,23.14,424,8.41361896319573e-6,0.025287356321839094,1.682723792639146e-5
CD45RO+ CD27+,Mothers Entry,E6C10,CD4,31,40.41753653444676,15.725951557093426,25.41753653444676,492,1.8262420102708948e-6,0.008064516129032251,4.382980824650147e-6
CD45RO+ CD27+,Mothers Entry,E6C10,CD8,31,24.660999999999998,7.86,16.780275229357795,494,1.5021323634098428e-6,0.0040322580645161255,4.005686302426247e-6
CD45RO+ CD27+,Mothers Entry,GAG,CD4,24,40.170798898071624,13.650464396284828,22.612819415548014,300,1.94224739173131e-5,0,3.329566957253674e-5
CD45RO+ CD27+,Mothers Entry,GAG,CD8,24,31.960997530864198,9.524663920614117,21.80222222222222,300,1.94224739173131e-5,0,3.329566957253674e-5
