Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CD45RO+ CD27-,Infants 12wks,BCG,CD4,35,57.32537192591843,21.938623658218575,32.936070575967314,620,6.118175170377125e-7,0.015873015873015928,7.341810204452549e-6
CD45RO+ CD27-,Infants 12wks,BCG,CD8,35,31.215799650124303,4.376670113667375,26.58500462459423,629,2.823521433723432e-7,0.0015873015873015817,6.776451440936238e-6
CD45RO+ CD27-,Infants 12wks,DosR,CD4,34,29.69594297747589,12.500560347880823,13.032927272527136,559,8.1095208870489e-6,0.060504201680672276,4.86571253222934e-5
CD45RO+ CD27-,Infants 12wks,DosR,CD8,34,9.305460997916594,0.8400000000000001,6.619642022377404,572,2.806020783190199e-6,0.03865546218487392,2.2448166265521593e-5
CD45RO+ CD27-,Infants 44wks,BCG,CD4,34,57.19929588109867,27.269982542207245,34.856526399237836,543,2.8062349316033767e-5,0.0873949579831933,1.1224939726413507e-4
CD45RO+ CD27-,Infants 44wks,BCG,CD8,34,26.11693439720637,8.311926371039096,20.665978516852753,551,1.5224266949994899e-5,0.07394957983193273,7.307648135997551e-5
CD45RO+ CD27-,Infants 44wks,DosR,CD4,32,25.543003933691487,12.946853932897335,8.068333660584068,422,0.0032286801886073813,0.2007575757575758,0.011069760646653878
CD45RO+ CD27-,Infants 44wks,DosR,CD8,32,4.726177249927268,4.34975986116301,1.8756094882067946,347,0.05357466938601571,0.3428030303030303,0.14286578502937522
CD45RO+ CD27-,Mothers Dx,BCG,CD4,3,57.55119633088358,40.50265890877153,17.048537422112048,6,0.1814492077214203,0,0.43547809853140873
CD45RO+ CD27-,Mothers Dx,BCG,CD8,3,44.07453132796353,23.506018356928333,14.536313833549833,5,0.42267807417063546,0.16666666666666663,0.7209101809011486
CD45RO+ CD27-,Mothers Dx,DosR,CD4,6,28.73111615135833,30.3289849353722,3.8642488459007964,10,1,0.5238095238095238,1
CD45RO+ CD27-,Mothers Dx,DosR,CD8,6,9.4502393930895785,22.639642886098535,-9.87431898857039,6,0.40167816646977295,0.7142857142857143,0.7209101809011486
CD45RO+ CD27-,Mothers Dx,E6C10,CD4,6,65.0508967204724,47.160513421414144,7.106980652106278,14,0.5293681061847979,0.33333333333333337,0.7473432087314794
CD45RO+ CD27-,Mothers Dx,E6C10,CD8,6,45.2174468010694,30.872026974886538,4.380725206288295,13,0.6749867139704894,0.38095238095238093,0.8526147965943023
CD45RO+ CD27-,Mothers Dx,GAG,CD4,5,34.51865386284812,34.16147338369946,0.3571804791486599,7,1,0.5333333333333333,1
CD45RO+ CD27-,Mothers Dx,GAG,CD8,5,23.812112003631924,26.448352546870353,5.820958123682953,10,0.589638551626567,0.33333333333333337,0.7861847355020892
CD45RO+ CD27-,Mothers Entry,BCG,CD4,18,62.22158199051436,46.59418227005021,15.718501752576405,132,0.04514334268117585,0.22807017543859653,0.13543002804352755
CD45RO+ CD27-,Mothers Entry,BCG,CD8,18,37.64565139823213,31.793224322345587,5.563822644397274,115,0.20660344266812514,0.32748538011695905,0.43550795905038914
CD45RO+ CD27-,Mothers Entry,DosR,CD4,29,33.01031617066715,29.315968981243234,-3.693413559351825,186,0.502654307083789,0.5724137931034483,0.7473432087314794
CD45RO+ CD27-,Mothers Entry,DosR,CD8,29,18.742854925496687,28.397085943004015,-7.605938804696912,160,0.21775397952519457,0.632183908045977,0.43550795905038914
CD45RO+ CD27-,Mothers Entry,E6C10,CD4,31,42.74850760057866,34.85171983603635,-0.30000000000001137,287,0.4505688630632178,0.4213709677419355,0.7209101809011486
CD45RO+ CD27-,Mothers Entry,E6C10,CD8,31,31.620737796442345,30.100537502593205,-4.21304282293427,250,0.9765497060062646,0.4959677419354839,1
CD45RO+ CD27-,Mothers Entry,GAG,CD4,24,45.717200063243816,40.774022180346876,-4.053294394349896,155,0.8976967753236552,0.4833333333333333,1
CD45RO+ CD27-,Mothers Entry,GAG,CD8,24,32.25566832536828,28.155980962055594,2.569115782199659,145,0.8976967753236552,0.5166666666666666,1
