Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
IL-21,Infants 12wks,BCG,CD4,35,11.524141405659586,0.49,10.330000000000004,630,2.587691416709574e-7,0,3.598825423958299e-6
IL-21,Infants 12wks,BCG,CD8,35,5.01,0.32,4.29,592,4.998368644386526e-7,0.060317460317460325,3.598825423958299e-6
IL-21,Infants 12wks,BCG,gdTCR,35,11.762368115022728,0.43,10.147007731760146,630,2.587691416709574e-7,0,3.598825423958299e-6
IL-21,Infants 12wks,DosR,CD4,34,11.567440488919303,0.24,11.404940488919301,595,3.8191520023814874e-7,0,3.598825423958299e-6
IL-21,Infants 12wks,DosR,CD8,34,6.705,0.12,6.5725,544,2.610127690904928e-6,0.08571428571428574,8.844117187018856e-6
IL-21,Infants 12wks,DosR,gdTCR,34,18.405725376910276,0.235,17.068998032931553,594,4.178056494520179e-7,0.001680672268907557,3.598825423958299e-6
IL-21,Infants 44wks,BCG,CD4,34,14.899731242530084,0.7,13.550245930342708,560,7.489279427617951e-6,0.05882352941176472,2.0739543030326634e-5
IL-21,Infants 44wks,BCG,CD8,34,4.16,0.25,4.083,526,1.199833269249234e-5,0.11596638655462188,2.6294837759742254e-5
IL-21,Infants 44wks,BCG,gdTCR,34,9.744472983997678,0.51,9.101524467220436,558,8.785347337048639e-6,0.06218487394957983,2.2590893152410787e-5
IL-21,Infants 44wks,DosR,CD4,32,15.25774851959179,0.34,14.783168874989716,522,1.4721684638829557e-6,0.011363636363636354,6.624758087473301e-6
IL-21,Infants 44wks,DosR,CD8,32,6.140000000000001,0.096,6.0375,414,2.2537176213361276e-5,0.21590909090909094,4.507435242672255e-5
IL-21,Infants 44wks,DosR,gdTCR,32,29.474270820388345,0.375,28.834270820388344,522,1.4721684638829557e-6,0.011363636363636354,6.624758087473301e-6
IL-21,Mothers Dx,BCG,CD4,3,22.34342339552528,2.1,20.24342339552528,6,0.1814492077214203,0,0.18663347079917517
IL-21,Mothers Dx,BCG,CD8,3,4.72,1.97,2.83,6,0.1814492077214203,0,0.18663347079917517
IL-21,Mothers Dx,BCG,gdTCR,3,38.168140559292944,3.7,34.46814055929294,6,0.1814492077214203,0,0.18663347079917517
IL-21,Mothers Dx,DosR,CD4,6,3.6985319132685994,0.995,2.8685319132685994,19,0.09349248368983569,0.09523809523809523,0.12020462188693161
IL-21,Mothers Dx,DosR,CD8,6,4.605,1.405,3.2250000000000005,16,0.2945073936801101,0.23809523809523814,0.2945073936801101
IL-21,Mothers Dx,DosR,gdTCR,6,41.869503840904414,1.925,39.19450384090442,20,0.05917206782585943,0.04761904761904767,0.07889609043447923
IL-21,Mothers Dx,E6C10,CD4,6,9.155848400832635,0.815,8.885848400832636,20,0.05917206782585943,0.04761904761904767,0.07889609043447923
IL-21,Mothers Dx,E6C10,CD8,6,6.165,1.4649999999999999,2.36,18,0.1422132419363925,0.1428571428571429,0.1599898971784416
IL-21,Mothers Dx,E6C10,gdTCR,6,35.75779989126963,1.03,35.17779989126963,20,0.05917206782585943,0.04761904761904767,0.07889609043447923
IL-21,Mothers Dx,GAG,CD4,5,14.23187396088988,0.55,13.76187396088988,14,0.10564542920187692,0.06666666666666665,0.12268501455701836
IL-21,Mothers Dx,GAG,CD8,5,2.19,0.31,1.88,14,0.10564542920187692,0.06666666666666665,0.12268501455701836
IL-21,Mothers Dx,GAG,gdTCR,5,26.795731582690234,0.78,26.305731582690235,14,0.10564542920187692,0.06666666666666665,0.12268501455701836
IL-21,Mothers Entry,BCG,CD4,18,12.514461013760513,1.76,9.24004411039009,171,2.1409202584601812e-4,0,3.6701490145031677e-4
IL-21,Mothers Entry,BCG,CD8,18,3.25,0.5800000000000001,2.085,170,2.539632194415226e-4,0.005847953216374324,4.1557617726794606e-4
IL-21,Mothers Entry,BCG,gdTCR,18,12.19192799812668,1.335,8.080854591091018,156,0.0022996785844149603,0.08771929824561409,0.0034495178766224405
IL-21,Mothers Entry,DosR,CD4,29,12.210902149555979,0.94,11.353205749172096,435,2.7023691404779837e-6,0,8.844117187018856e-6
IL-21,Mothers Entry,DosR,CD8,29,11.1,0.43,10.18,421,1.1360643958951265e-5,0.03218390804597704,2.6294837759742254e-5
IL-21,Mothers Entry,DosR,gdTCR,29,34.81675077106598,1.12,32.55024880089063,434,3.0030449393951785e-6,0.0022988505747126853,9.009134818185536e-6
IL-21,Mothers Entry,E6C10,CD4,31,11.026212650806185,1.08,9.02947550853692,495,1.3615754282698416e-6,0.0020161290322581182,6.624758087473301e-6
IL-21,Mothers Entry,E6C10,CD8,31,4.86,0.35,3.5799999999999996,471.5,1.2417006719878287e-5,0.04939516129032262,2.6294837759742254e-5
IL-21,Mothers Entry,E6C10,gdTCR,31,22.831744153024058,1.08,14.996107437675441,492,1.8262420102708948e-6,0.008064516129032251,7.304968041083579e-6
IL-21,Mothers Entry,GAG,CD4,24,7.8587737604101084,0.515,6.728681356806435,297,2.842707418395655e-5,0.010000000000000009,5.116873353112179e-5
IL-21,Mothers Entry,GAG,CD8,24,1.9849999999999999,0.345,1.521195,255,3.9508989747959774e-4,0.15000000000000002,6.184015786637183e-4
IL-21,Mothers Entry,GAG,gdTCR,24,9.422675002247548,0.63,7.599452471427319,297,2.842707418395655e-5,0.010000000000000009,5.116873353112179e-5
