"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",2.94721518167146e-229,1.64909540900598,0.823,0.253,5.18002540330576e-225
"RBFOX2",6.30944025080635e-98,-0.728837077755252,0.933,0.994,1.10894721848172e-93
"GNLY",6.59226778201299e-96,1.06937210556017,0.839,0.579,1.1586569853666e-91
"XIST",1.59164402247729e-69,-4.37445243197686,0.008,0.171,2.79747353390609e-65
"HLA-C",2.59715251086864e-60,0.373806532064059,0.999,1,4.56475525310271e-56
"DDX3Y",8.38086352172214e-56,1.64192854916201,0.337,0.098,1.47302057257788e-51
"RPS4X",3.16597441859692e-48,-0.344123146500695,0.998,1,5.56451663812595e-44
"UTY",2.74892783034638e-47,1.67234592981967,0.289,0.083,4.83151555461679e-43
"FGFBP2",3.37013329613782e-45,0.641565057962616,0.928,0.825,5.92334628129183e-41
"GZMB",1.34625399650038e-43,0.572647512849048,0.962,0.907,2.36617602424907e-39
"TMSB4X",2.0913627268656e-43,0.351858186036288,0.998,0.996,3.67577912873899e-39
"ST8SIA1",8.40958838670474e-42,-1.77613810107938,0.134,0.312,1.47806925484722e-37
"USP9Y",1.86801599265475e-41,1.90555067620444,0.227,0.056,3.28322490868999e-37
"RPS27",2.60588234751952e-39,-0.247745965279719,0.999,1,4.58009881400031e-35
"CCL4L2",1.9501491279069e-38,-1.51378438240696,0.139,0.338,3.42758210720916e-34
"RPL34",2.72915623684942e-38,-0.265879695444484,0.999,1,4.79676500188655e-34
"ENSG00000289901",4.94887014229415e-37,0.776138595379513,0.722,0.508,8.69813416209619e-33
"S100A4",6.02021621442516e-36,0.7012510442025,0.8,0.62,1.05811320184737e-31
"HLA-DPA1",1.2911293824897e-34,0.881957459681499,0.619,0.421,2.2692890026639e-30
"PRF1",9.97582223737985e-34,0.572601750023079,0.869,0.747,1.75335051644188e-29
"HBB",1.08562899916666e-33,0.941959433230125,0.263,0.091,1.90810152893532e-29
"CTSW",2.86002732301539e-33,0.777385187439543,0.691,0.573,5.02678402293184e-29
"NPEPPSP1",8.02940697695601e-32,-1.39071363014245,0.123,0.293,1.41124857026979e-27
"HLA-DPB1",4.20766879674969e-31,0.650767877030827,0.769,0.605,7.39539867716725e-27
"EIF1AY",5.15155253134409e-30,2.17924054778921,0.169,0.041,9.05436872909036e-26
"SNHG5",2.08491593449803e-28,-1.03109629729311,0.252,0.419,3.66444824647374e-24
"CRIP1",4.47831311623845e-27,0.437012546164191,0.979,0.937,7.8710831331007e-23
"NFKB1",7.14662843557469e-27,-0.731421742957748,0.559,0.691,1.25609141383661e-22
"SPON2",1.86724670489132e-26,0.759042602083689,0.623,0.495,3.28187280851698e-22
