"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",1.60953107002134e-17,-0.85601975034377,0.991,1,2.82891180866951e-13
"RPS29",1.33386090259906e-13,0.680312680986347,0.997,1,2.34439392240811e-09
"HLA-B",1.99012671928448e-12,-0.634435851390443,1,1,3.4978467218144e-08
"RPL41",1.27477201714232e-10,0.698510162729162,0.997,1,2.24053929732934e-06
"RPS4Y1",5.9599617845391e-10,-0.892581750076068,0.523,0.915,1.04752288325059e-05
"ENSG00000289901",2.08748728209172e-09,3.55332783173921,0.544,0.136,3.66896764700442e-05
"RPS25",2.2553962305191e-08,0.423155189785223,1,1,0.000396408441476036
"TUBA4A",2.60807005898504e-08,-1.57407612083256,0.284,0.627,0.00045839439356721
"TUBA1B",8.35595807283647e-08,-0.946838272881471,0.599,0.881,0.00146864319088174
"RPS20",2.8678294083586e-06,0.74464822817113,0.921,0.746,0.0504049696813108
"TXNIP",3.57887095480721e-06,1.26490379182964,0.684,0.356,0.0629022359016915
"AP2M1",6.6016311990017e-06,-0.987826984244028,0.351,0.525,0.116030269953654
"IL32",1.87075519123692e-05,1.40222358976671,0.632,0.373,0.3288039324118
"CAMK2D",2.03787587854056e-05,-0.89944555835172,0.137,0.136,0.358177064412289
"MRPS2",2.4569164577611e-05,1.46394735630335,0.135,0.017,0.431827636616091
"RPS14",4.83034720864678e-05,0.325418728552699,0.994,1,0.848981825391758
"NTSR1",6.9550685969324e-05,-2.57715744579804,0.032,0.186,1
"GNAS",0.000106230462227175,-0.608791352784569,0.836,0.949,1
"MT2A",0.000143464644000754,3.01303483057549,0.24,0.034,1
"C9orf78",0.000181368062322401,-0.70166912404055,0.444,0.729,1
"LINC01619",0.000203113788692761,-1.16079389047866,0.339,0.593,1
"UBA2",0.000343987326118492,-1.05700654481318,0.322,0.542,1
"PKIA",0.000436256606441898,-0.899532603518669,0.213,0.237,1
"PSME2",0.00045723322571795,-1.00054574375756,0.404,0.559,1
"JAK1",0.000497753270473138,-0.635347644680504,0.816,0.915,1
"TUBA1A",0.000525868304535347,-0.719077073288398,0.623,0.729,1
"EIF2S3",0.000529730074195811,1.12573171734681,0.556,0.305,1
"MRPS30",0.000559797500594716,-0.781209900445231,0.155,0.186,1
