"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD48",7.4030366943523e-07,5.08561021587754,1,1,0.000101421602712626
"CD45RA",4.30502352350003e-06,4.00951939143712,1,0.941,0.000589788222719504
"CD45",6.86076723981398e-05,5.9299547865465,0.966,0.765,0.00939925111854515
"CD38",0.000299934165924998,3.69226972911102,1,0.941,0.0410909807317248
"TNFRSF14",0.0012957956900966,1.52065630376756,0.207,0,0.177524009543234
"CD52",0.00145527210130448,5.80751910557646,0.276,0,0.199372277878713
"CD44",0.00285693315536603,6.75365486624803,1,1,0.391399842285146
"ITGAL",0.0138634357993086,8.47352103308851,0.517,0.235,1
"CD47",0.0156250839228871,4.97378480833494,0.448,0.353,1
"HLA-A",0.0210532525676613,5.33440700357948,0.966,0.941,1
"MCAM",0.0287137822193785,-1.10167529499169,0.034,0.235,1
"IGLC1",0.0340869014088662,2.18432868634898,0.207,0.118,1
"TCR-AB",0.0382644047268074,2.87046628494501,0.138,0.176,1
"IGHM",0.0396532092768633,7.8994833130136,0.207,0,1
"ITGB2",0.046448626509947,3.8621155034084,0.586,0.294,1
"CD1D",0.0488737515144484,-3.57597749306787,0,0.176,1
"NT5E",0.0567437280744392,-12.7265831337116,0,0.118,1
"SLAMF6",0.0676336935109739,4.00025957050408,0.966,1,1
"SIGLEC7",0.0771520443638686,0.169208835131436,0.138,0,1
"BTLA",0.0865474958135346,2.54003256751806,0.207,0.118,1
"CD79B",0.0919143207939336,3.92609438390318,0.069,0,1
"CD101",0.111268844852044,-1.66007527930796,0,0.118,1
"CCR5",0.125282236311847,-0.127950263617831,0.069,0,1
"DPP4",0.129031717151197,-0.488695209977479,0.103,0.118,1
"HLA-E",0.130810148932769,1.78372550990422,0.276,0.176,1
"SLAMF7",0.13943888862795,-2.70316889607969,0.379,0.882,1
"CD2",0.143392522663908,6.63904656386045,0.172,0.118,1
"CD58",0.143972023339315,-0.498282885415223,0.069,0.353,1
"CTLA4",0.148045506983039,-1.74211797186862,0,0.118,1
"CD3D",0.154643007106234,1.24251121750728,0.103,0.118,1
"CD4",0.154643007106234,1.26386645122079,0.103,0.118,1
"ICOS",0.154643007106234,-1.55153416163392,0.103,0.118,1
"TNFRSF9",0.180418822254581,-1.41683727168625,0.103,0.176,1
"NCR1",0.19981720533095,-0.31167893712314,0.034,0.059,1
"CD7",0.213324105718853,6.27043083977849,0.138,0.118,1
"CD163",0.222084945922247,0.159477079969986,0.034,0,1
"CXCR5",0.222084945922247,3.11125047815707,0.034,0,1
"IFNGR1",0.222084945922247,1.8179949783677,0.034,0,1
"LILRB1",0.222084945922247,-0.548702164173539,0.034,0,1
"TNFRSF13B",0.222084945922247,-0.445917173923964,0.034,0,1
"CD19",0.239420280474929,5.77251639826639,1,1,1
"CD83",0.239529755460237,-1.19254117294759,0,0.059,1
"ITGB1",0.243312140171605,2.48763370903947,0.724,0.471,1
"CD36",0.254965226224144,-2.82667043436547,0,0.059,1
"CD27",0.255593550857468,1.00330503332614,0.586,0.471,1
"ADGRG1",0.262318455336158,4.96223847581495,0.069,0,1
"CD244",0.262318455336158,7.41384668761549,0.069,0,1
"IL7R",0.266891417317391,-2.39681027517284,0.103,0.118,1
"ITGA2B",0.270820395675558,2.7695818481008,0.069,0,1
"SELP",0.270820395675558,1.96711610703132,0.069,0,1
"ICAM1",0.277453869583479,-0.24632411064973,0.414,0.235,1
"SELL",0.27798011860303,5.69753234877618,0.172,0.118,1
"CD69",0.278651788171079,3.37920193365656,0.103,0.059,1
"KLRD1",0.284373392055101,7.91207212858076,0.069,0,1
"CD8A",0.295606648577218,14.418968688165,0.069,0,1
"CD99",0.29747504157974,-0.230876147345637,0.862,0.765,1
"MS4A1",0.302554879783575,9.38515667438452,0.069,0.176,1
"TCR-vA7.2",0.315655193613406,-1.42548551810402,0.034,0.118,1
"CD82",0.347205959647416,2.47250591870465,0.069,0.059,1
"KIR2DL3",0.364879955492656,1.38030329726019,0.069,0,1
"LAMP1",0.375097864795417,-5.78701410296306,0,0.118,1
"CXCR3",0.417871423771104,-0.753178001338738,0.034,0,1
"THBD",0.441409450718117,-0.458453206341343,0.034,0,1
"FCGR3A",0.44708530658472,7.5561152458972,0.034,0,1
"Hamster-IgG",0.44708530658472,-0.234795152660616,0.034,0,1
"NCAM1",0.44708530658472,0.458685473824618,0.034,0,1
"CLEC4C",0.470811079457817,1.1167970486636,0.034,0,1
"ITGA6",0.470811079457817,-0.179306862093096,0.034,0,1
"TFRC",0.487992689216285,2.10508030758975,0.724,0.588,1
"FCGR2A",0.508115423889624,1.52498449736635,0.448,0.529,1
"B3GAT1",0.511165462471317,-0.580476830346233,0.034,0,1
"GGT1",0.522418521047855,-1.72493703543301,0.034,0.118,1
"CD22",0.52606514557946,-3.29379795431209,0.069,0.118,1
"FAS",0.554947134865837,1.49710262771985,0.345,0.294,1
"IL3RA",0.604003736414586,-2.31179900803988,0.241,0.588,1
"FCER2",0.613081039782376,-5.68740538141986,0,0.059,1
"CCR6",0.61604646232066,1.60812916211224,0.103,0.059,1
"ITGAE",0.617819965077729,-1.59886167358066,0.103,0.059,1
"ENTPD1",0.624616472858454,-5.70517104606459,1,0.941,1
"ITGA1",0.630735093826241,1.55720994644193,0.034,0.059,1
"PECAM1",0.643114685365895,4.25741308790312,0.172,0.176,1
"CD33",0.644863059635179,-0.727961452704958,0.034,0,1
"SIGLEC1",0.659179479325334,-0.300878312790624,0.034,0,1
"CR1",0.668603810603427,5.93422992329799,0.483,0.353,1
"ANPEP",0.671577894893353,0.11851528979969,0.034,0,1
"HLA-DRA",0.723508541689304,1.12601017432659,0.483,0.647,1
"CD40",0.773452442698543,2.0556106876162,0.069,0.118,1
"CCR4",0.776499644622479,-0.188150305803535,0.034,0.059,1
"CD86",0.808653444225557,-6.12405165549033,0.655,0.765,1
"CD81",0.840814185522309,1.78765458959733,0.241,0.353,1
"CD28",0.851962049929522,-2.00782726219917,0.034,0.118,1
"IGHD",0.859680043401296,0.375506627262743,0.034,0.059,1
"CR2",0.933237540733275,23.3453186659277,0.448,0.235,1
"CD1C",0.936018748742996,25.2518549256788,0.069,0.059,1
"IGKC",0.939011023617338,-3.3474296245598,0.069,0.059,1
"ITGA4",0.961603209951677,7.17097639237451,1,1,1
"TNFRSF13C",0.978753040041906,4.28963241616605,0.103,0.118,1
