"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD44",3.24213218193023e-08,4.67424411323808,0.984,1,4.44172108924442e-06
"TFRC",5.22801730203354e-07,8.21767859682409,0.352,0.113,7.16238370378595e-05
"CR1",1.13316029577319e-06,4.27626135083496,0.459,0.305,0.000155242960520927
"CD99",1.70450331479841e-06,2.69074832433629,0.877,0.858,0.000233516954127382
"ITGA4",3.64750582114991e-06,5.24442917292375,0.869,0.879,0.000499708297497538
"CD82",8.86456119537822e-06,3.18264870303307,0.295,0.085,0.00121444488376682
"CD45",2.52956516385995e-05,1.85145458100703,0.746,0.915,0.00346550427448814
"PECAM1",6.35763678043447e-05,4.669457859946,0.246,0.05,0.00870996238919522
"CD47",6.62369392660481e-05,2.92668029387722,0.279,0.113,0.00907446067944858
"CD226",0.000104105852171874,2.99724425407412,0.393,0.291,0.0142625017475467
"CD48",0.000166502650691667,1.95933160253579,0.934,0.979,0.0228108631447583
"KLRB1",0.000309290844809394,2.29749950354093,0.918,0.979,0.0423728457388869
"CD58",0.000440055753732032,3.11328049734126,0.164,0.035,0.0602876382612884
"KLRG1",0.000447642085907744,4.26559681111684,0.574,0.688,0.061326965769361
"ITGA1",0.000890118781450374,4.96788052462432,0.369,0.525,0.121946273058701
"GGT1",0.00109413883913516,2.46716631879736,0.459,0.362,0.149897020961516
"ITGA6",0.00214824646072632,1.76447626820052,0.59,0.397,0.294309765119506
"DPP4",0.00216744116679496,4.83676891670866,0.787,0.816,0.296939439850909
"CD3D",0.00256541896892323,3.54666780923979,0.443,0.362,0.351462398742482
"TCR-vD2",0.00273113411496093,23.727250620966,0.025,0.043,0.374165373749648
"IL7R",0.00323967820169346,1.15381195604724,0.82,0.872,0.443835913632004
"CD27",0.00617989368261962,-3.6685034613689,0.426,0.319,0.846645434518888
"CD2",0.0127790553553745,2.3455287350266,0.27,0.184,1
"CD52",0.0130121349798055,1.81353073367419,0.377,0.284,1
"CD28",0.0169388229725301,1.11219501595999,0.557,0.532,1
"IL3RA",0.0190082191090103,0.601169990784059,0.016,0.05,1
"FAS",0.0257922158126277,1.04420433388614,0.287,0.191,1
"SLAMF6",0.0272643966803599,0.5714578614112,0.861,0.887,1
"B3GAT1",0.0284620776116402,-3.10583800800298,0,0.028,1
"HLA-E",0.0294847228403478,-1.82852324854803,0.098,0.22,1
"KLRK1",0.0320093701472869,1.56273538457801,0.139,0.05,1
"ADGRG1",0.0348062849096302,-4.99178904056583,0,0.035,1
"CCR6",0.0387110954098736,14.1087021128276,0.369,0.284,1
"FCGR1A",0.0436129781368882,5.27482777437634,0.057,0.014,1
"CD163",0.0440726734083874,1.27709151042651,0.025,0,1
"SELP",0.0445624178548994,2.22180939581064,0.049,0.007,1
"TNFRSF13C",0.045679820221833,-0.138813924345246,0,0.021,1
"CCR4",0.0465805473716003,7.89987037659929,0.426,0.44,1
"CCR5",0.0502451798584274,3.08737765308445,0.025,0,1
"TNFRSF14",0.052776853527263,2.41379537844566,0.09,0.043,1
"GP1BB",0.077749974487852,1.40841759000073,0.016,0,1
"CD45RO",0.0901389291302488,0.801094828949211,0.164,0.092,1
"NT5E",0.0910611689734312,-11.6049033405257,0.213,0.106,1
"ENG",0.0977072246624395,-0.937806605493325,0,0.021,1
"CD101",0.0998077585200145,-0.526480854308568,0,0.021,1
"NCR1",0.119872727863584,1.63410380525922,0.066,0.021,1
"CD86",0.123833053927063,3.72378215716763,0.049,0.021,1
"ENTPD1",0.130947051392214,1.93239138505735,0.057,0.014,1
"HLA-A",0.132204062709611,1.20182934899198,0.484,0.567,1
"CD5",0.151200169888953,5.5916239650371,0.402,0.333,1
"BTLA",0.165828200203316,2.10850440723144,0.074,0.05,1
"ITGA2B",0.175980817563771,2.15808357362233,0.049,0.014,1
"C5AR1",0.178561928985874,4.9201530423945,0.016,0,1
"CXCR5",0.181407551582467,1.26462618178468,0.016,0,1
"CD40",0.186648133245408,0.935782498515182,0.016,0,1
"CX3CR1",0.191279685138358,-1.41952173140766,0,0.014,1
"ITGB7",0.19478196258794,-2.7109295993668,0.303,0.234,1
"CLEC12A",0.205764357699739,8.24263236196891,0.025,0.007,1
"CLEC4C",0.220137533149977,1.83430007132109,0.033,0.014,1
"ITGAX",0.226717776637837,4.90077193234357,0.123,0.05,1
"MCAM",0.230967999190814,-0.537757543337162,0.057,0.043,1
"ICAM1",0.240761064917092,5.67510866660466,0.369,0.277,1
"MS4A1",0.243834479159355,0.514329995435149,0.025,0.007,1
"CD22",0.262008620551188,2.52735203058605,0.066,0.035,1
"SIGLEC7",0.264016293120727,10.5136665387515,0.082,0.028,1
"ITGAE",0.272200070492432,2.86244155650547,0.361,0.319,1
"FCGR3A",0.340796417040455,-0.520677556539787,0.016,0.035,1
"TNFRSF9",0.346888217553388,-0.307616617028661,0.287,0.241,1
"CD81",0.366354357698693,1.63631382996937,0.131,0.085,1
"CR2",0.373674549854086,1.95977315687111,0.115,0.142,1
"CD19",0.398116854345722,0.575753472035688,0.025,0.028,1
"NCAM1",0.440964600277153,-17.5398745381068,0.066,0.05,1
"CD36",0.472215150334864,1.81130762390156,0.025,0.014,1
"TCR-AB",0.506545471094065,-0.521964866438786,0.262,0.248,1
"KIR2DL1",0.531945029945827,-0.876738548307215,0.008,0.014,1
"CD4",0.539243542971396,4.58929259033165,0.057,0.05,1
"CD244",0.569807920747315,1.21160508491178,0.082,0.05,1
"ITGA2",0.576623397953698,-1.50244793237931,0.025,0.021,1
"TCR-vA7.2",0.63682662225909,5.63351579807721,0.074,0.05,1
"CD69",0.647457330374401,-1.79596749283283,0.262,0.227,1
"KIR3DL1",0.667507038020352,-16.6594127472352,0.016,0.021,1
"SELL",0.67085404516344,4.50214673332026,0.713,0.709,1
"CD1C",0.680526179649691,1.86391080098898,0.033,0.021,1
"ICOS",0.702950559813886,-7.59623516898897,0.484,0.567,1
"Hamster-IgG",0.703975127344125,-1.4586117175325,0.008,0.014,1
"KIR2DL3",0.706120478402384,-1.54719053077639,0.025,0.035,1
"SIGLEC1",0.751447201027704,0.181848816756954,0.008,0.014,1
"THBD",0.767782406525698,-2.08711760457639,0.016,0.028,1
"ITGB1",0.77043940850233,-1.35589425092711,0.91,0.929,1
"KLRD1",0.776551116846226,9.11801626181469,0.033,0.05,1
"CD38",0.79378327931746,2.01832318233257,0.082,0.064,1
"ANPEP",0.810062257922507,0.663446993249706,0.033,0.021,1
"ITGAL",0.810996899350517,0.740188469719257,0.82,0.844,1
"Mouse-IgG2b",0.820694890692572,-1.12638990117374,0.016,0.021,1
"Rat-IgG2a",0.839425438924166,-0.759951869633351,0.008,0.014,1
"IFNGR1",0.845431855993332,0.788574413457086,0.016,0.014,1
"IL2RA",0.848214614406549,-0.904244646763486,0.811,0.794,1
"CD33",0.852707739622921,-2.76573153220756,0.09,0.064,1
