"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PECAM1",1.09509116417147e-10,4.2208120367798,0.588,0.186,1.50027489491491e-08
"CD47",1.78234983940891e-08,3.19023521793266,0.626,0.356,2.44181927999021e-06
"ICOS",6.1402405551148e-06,2.25531219587304,0.83,0.576,0.000841212956050728
"CD44",0.00022395434509148,3.37309701729014,0.994,1,0.0306817452775327
"BTLA",0.000249022826781384,2.44377078714497,0.199,0.017,0.0341161272690496
"IL7R",0.000890866076096037,2.10463328438608,0.76,0.644,0.122048652425157
"ITGAM",0.00121869836323514,-3.33071507251033,0,0.051,0.166961675763215
"GGT1",0.00213173366535627,4.25845647031667,0.094,0,0.292047512153809
"CCR6",0.00709393246682687,-1.11560069651559,0.012,0.051,0.971868747955281
"TNFRSF4",0.00712901669973485,-3.59220106985228,0,0.034,0.976675287863675
"SIGLEC7",0.00935510193593688,-3.99252841717715,0.006,0.051,1
"CD99",0.00947857063238949,1.63932375486086,0.617,0.508,1
"ITGAL",0.0098125074368272,1.65695392585102,0.839,0.898,1
"HLA-A",0.013946880680143,2.26203484720875,0.243,0.102,1
"CD48",0.0153976758820178,1.59175689826718,0.965,1,1
"TFRC",0.0176252834365892,3.21704975380167,0.058,0,1
"ITGA6",0.0231467801981381,0.478570906562754,0.053,0,1
"DPP4",0.035382539430281,0.268220697109442,0.886,0.966,1
"CD27",0.0372469743701867,2.49563046681029,0.88,0.881,1
"CD22",0.0420713815360709,-1.06665822228792,0.026,0.102,1
"CLEC4C",0.0655639949388811,0.127816989927922,0.035,0,1
"CD52",0.0668515256786374,1.44501337560646,0.655,0.593,1
"CR2",0.0683282974581161,4.8400957625794,0.287,0.203,1
"LAMP1",0.0756593628195818,-2.85399303963947,0.018,0.017,1
"SLAMF6",0.0787025180056508,1.49478063560784,0.336,0.288,1
"ENG",0.0850236343585558,-2.67573591892629,0,0.017,1
"KIR2DL3",0.0973128836400829,-4.23308098116505,0.006,0.034,1
"FCER1A",0.117295953768104,-2.76818370205462,0.009,0.051,1
"CD19",0.118769988965907,4.80213589407915,0.029,0.085,1
"ITGB1",0.126200935998591,0.530485248071643,0.094,0.034,1
"ITGAX",0.135410882508338,-2.71989687399009,0.006,0.017,1
"ITGA4",0.147110974270624,1.80681775689847,0.316,0.203,1
"TCR-vA7.2",0.187745275373884,15.2485750869865,0.023,0,1
"SELL",0.189275780725177,4.817245866705,0.985,1,1
