"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGAL",2.4651861611565e-14,4.04847232073938,1,0.995,3.3773050407844e-12
"CD99",1.01086506750155e-13,3.3422355563034,0.97,0.95,1.38488514247712e-11
"CD28",7.99074168360468e-11,3.38638273085098,0.501,0.4,1.09473161065384e-08
"CR1",6.07469202153708e-09,4.74005955272188,0.24,0.158,8.3223280695058e-07
"PECAM1",7.2169951699624e-09,1.68667946243859,0.535,0.383,9.88728338284849e-07
"HLA-A",2.76619813074941e-08,2.24132770129767,0.637,0.538,3.78969143912669e-06
"CD44",2.04076512614202e-07,1.63660717230015,0.981,0.976,2.79584822281457e-05
"ITGB2",5.99688759336001e-07,1.17384059572991,0.976,0.947,8.21573600290321e-05
"FAS",8.00586744989346e-07,2.42122905499799,0.223,0.129,0.00010968038406354
"CD69",8.72062188440665e-07,1.25607919767397,0.265,0.311,0.000119472519816371
"TNFRSF14",1.11732914008045e-06,2.61011514086489,0.111,0.041,0.000153074092191022
"CD47",1.11913490711632e-06,0.851527941949573,0.431,0.256,0.000153321482274936
"CD226",1.80709207541228e-06,3.74382117055861,0.059,0.005,0.000247571614331483
"NT5E",2.19711274836691e-06,3.91115661693776,0.453,0.378,0.000301004446526267
"IL7R",8.29585755320534e-06,1.16127138366102,0.517,0.438,0.00113653248478913
"KLRD1",1.04321266136741e-05,1.22145917691686,0.075,0.189,0.00142920134607335
"SLAMF6",1.74109268785928e-05,1.36961793949577,0.917,0.883,0.00238529698236721
"CD48",3.44663261785324e-05,1.28922092691446,0.99,0.988,0.00472188668645894
"CD27",0.000389968237142473,-8.94992199123073,0.927,0.897,0.0534256484885188
"BTLA",0.000553175355861572,3.19557676402797,0.062,0.022,0.0757850237530354
"CD81",0.000605535818674098,1.33379090254885,0.527,0.474,0.0829584071583514
"SLAMF7",0.000678514230905012,2.7586796107456,0.044,0.019,0.0929564496339867
"TNFRSF9",0.000922665090675715,0.991003811207504,0.298,0.225,0.126405117422573
"CXCR3",0.00102369576035082,2.09855267768294,0.272,0.182,0.140246319168062
"ITGB7",0.00114495526111851,0.422087886322828,0.264,0.215,0.156858870773236
"CD52",0.00160262595385863,0.512388250348942,0.804,0.746,0.219559755678632
"CD244",0.00267414197823179,2.54129990062192,0.314,0.419,0.366357451017755
"CD38",0.00396834923250723,4.40950455745163,0.41,0.366,0.54366384485349
"GGT1",0.00480836911596044,2.82371366426802,0.046,0.031,0.65874656888658
"TIGIT",0.00518661803539979,1.80897115654879,0.138,0.1,0.710566670849771
"CD45RO",0.00686445391939006,2.25789935258513,0.23,0.158,0.940430186956438
"ICOS",0.00807746814402764,0.343865628098844,0.345,0.309,1
"CD7",0.011942411897772,4.2859243215561,0.973,0.981,1
"IGHD",0.0135049174689714,0.46546963356706,0.01,0.033,1
"CD36",0.0135770451489171,1.04443249985097,0.014,0.017,1
"CD8A",0.013727348903249,5.51477277482301,0.35,0.411,1
"ITGAX",0.0180062095431232,2.83044954601748,0.099,0.16,1
"KLRB1",0.0182175895354144,3.720310296991,0.048,0.024,1
"KLRK1",0.0195200093240588,-2.06512688351817,0.219,0.349,1
"ADGRG1",0.020243988437055,1.96780591583236,0.043,0.089,1
"PDCD1",0.021032037557179,2.43230163038291,0.168,0.105,1
"CD19",0.0216752738582429,4.37184582358195,0.029,0.06,1
"CD58",0.0240153131592875,1.3732488625796,0.019,0.005,1
"ENG",0.0321822309972701,-1.9623148712838,0.001,0.01,1
"KIR2DL1",0.0372128390316998,-7.23590887719819,0.03,0.057,1
"CD45RA",0.0385186884120695,0.734152272074555,0.724,0.679,1
"KIR2DL3",0.0451813589492859,5.02369149555898,0.073,0.057,1
"CR2",0.0466503057126811,3.25793225919293,0.397,0.318,1
"CD101",0.0644088044070188,3.46179055582162,0.035,0.045,1
"KLRG1",0.0678106557774239,1.4701174502317,0.322,0.299,1
"CD5",0.0695357226696255,0.840192896498083,0.946,0.938,1
"CD33",0.081337087024255,-2.12608417320396,0.014,0.036,1
"SIGLEC7",0.0930986505444976,-2.3210053102423,0.019,0.036,1
"CD22",0.0944533660918521,-8.96381186213833,0.033,0.038,1
"TFRC",0.0960327808672427,7.36201218959221,0.077,0.053,1
"C5AR1",0.101435182021473,0.335824099277408,0.023,0.017,1
"SELL",0.108783783448787,-3.31548649556918,0.654,0.694,1
"LILRB1",0.113917928950147,-14.1889716490638,0.006,0.014,1
"CD2",0.117834025362172,3.48836777919018,0.992,0.988,1
"GP1BB",0.122616014089594,-4.16531418670565,0.009,0.026,1
"ITGAM",0.123560486561769,4.68760328054173,0.061,0.124,1
"B3GAT1",0.140345274420887,14.7130870543485,0.01,0.005,1
"ITGA4",0.178148077659936,0.840719185061145,0.803,0.804,1
"FCGR1A",0.178329827329447,-1.7216096120277,0.008,0.022,1
"Hamster-IgG",0.215411362495699,0.765723755630361,0.014,0.007,1
"CD1D",0.218826450372915,-0.985072020558483,0.005,0.014,1
"Mouse-IgG2b",0.236159741803524,-2.28199493353215,0.006,0.012,1
"IFNGR1",0.261949679135116,1.44823947337746,0.02,0.014,1
"CLEC12A",0.263900870904558,2.72588808149025,0.005,0.014,1
"CD45",0.276740758398484,3.45952177420146,0.996,0.993,1
"CD4",0.293463648092901,1.20086077493117,0.08,0.086,1
"ICAM1",0.293536179715171,5.86377256992999,0.291,0.354,1
"CCR6",0.296661079707549,-2.1216594470817,0.01,0.017,1
"HLA-DRA",0.324368380074077,-0.625190930416944,0.023,0.029,1
"CD86",0.335640022676278,4.90687333504398,0.02,0.022,1
"ENTPD1",0.385963126072758,0.478964825998934,0.021,0.038,1
"FCGR2A",0.426466480644429,-0.123191208498098,0.006,0.014,1
"TCR-vA7.2",0.445076831045224,10.8100838724998,0.032,0.038,1
"SIGLEC1",0.449558667029609,-0.917743382924662,0.004,0.01,1
"NCR1",0.454406879320995,-0.846855857234433,0.039,0.043,1
"ITGB1",0.470654271886319,0.160269124328546,0.29,0.316,1
"CD3D",0.471001749688676,-0.438012914794434,0.9,0.897,1
"ITGA1",0.474729195161533,5.00311085769278,0.104,0.1,1
"TCR-vD2",0.504202747076886,6.53636061826832,0.032,0.019,1
"CXCR5",0.50727301209169,5.07526065552326,0.033,0.022,1
"SELP",0.521795979688275,0.959498957367609,0.01,0.014,1
"CD82",0.529281092327263,1.24231247877588,0.057,0.045,1
"CD40",0.616319117324915,-0.405917468373008,0.016,0.014,1
"Rat-IgG2b",0.624092187951631,0.235468579557438,0.01,0.005,1
"ANPEP",0.636907851947345,0.839518992235141,0.025,0.036,1
"CD1C",0.65142603894669,6.28168150891142,0.038,0.041,1
"CCR4",0.667205562517485,8.29161630936499,0.042,0.05,1
"THBD",0.689732926368149,-0.928789471263388,0.01,0.01,1
"LAMP1",0.693264108383548,4.03381178263632,0.025,0.029,1
